Country,Year,Category,Percentage,Amount_Billions_USD,Total_Budget_Billions_USD
Argentina,1946,Defense,5.78,0.09,1.552
Argentina,1946,Education,15.4,0.239,1.552
Argentina,1946,Health,17.82,0.276,1.552
Argentina,1946,Interest_Payments,8.65,0.134,1.552
Argentina,1946,Infrastructure,13.09,0.203,1.552
Argentina,1946,Agriculture,7.85,0.122,1.552
Argentina,1946,State_Transfers,10.47,0.162,1.552
Argentina,1946,Social_Welfare,10.47,0.162,1.552
Argentina,1946,Administration_and_Others,10.47,0.162,1.552
Argentina,1947,Defense,5.78,0.094,1.629
Argentina,1947,Education,15.4,0.251,1.629
Argentina,1947,Health,17.82,0.29,1.629
Argentina,1947,Interest_Payments,8.65,0.141,1.629
Argentina,1947,Infrastructure,13.09,0.213,1.629
Argentina,1947,Agriculture,7.85,0.128,1.629
Argentina,1947,State_Transfers,10.47,0.171,1.629
Argentina,1947,Social_Welfare,10.47,0.171,1.629
Argentina,1947,Administration_and_Others,10.47,0.171,1.629
Argentina,1948,Defense,5.78,0.099,1.711
Argentina,1948,Education,15.4,0.263,1.711
Argentina,1948,Health,17.82,0.305,1.711
Argentina,1948,Interest_Payments,8.65,0.148,1.711
Argentina,1948,Infrastructure,13.09,0.224,1.711
Argentina,1948,Agriculture,7.85,0.134,1.711
Argentina,1948,State_Transfers,10.47,0.179,1.711
Argentina,1948,Social_Welfare,10.47,0.179,1.711
Argentina,1948,Administration_and_Others,10.47,0.179,1.711
Argentina,1949,Defense,5.78,0.104,1.796
Argentina,1949,Education,15.4,0.277,1.796
Argentina,1949,Health,17.82,0.32,1.796
Argentina,1949,Interest_Payments,8.65,0.155,1.796
Argentina,1949,Infrastructure,13.09,0.235,1.796
Argentina,1949,Agriculture,7.85,0.141,1.796
Argentina,1949,State_Transfers,10.47,0.188,1.796
Argentina,1949,Social_Welfare,10.47,0.188,1.796
Argentina,1949,Administration_and_Others,10.47,0.188,1.796
Argentina,1950,Defense,5.78,0.109,1.886
Argentina,1950,Education,15.4,0.29,1.886
Argentina,1950,Health,17.82,0.336,1.886
Argentina,1950,Interest_Payments,8.65,0.163,1.886
Argentina,1950,Infrastructure,13.09,0.247,1.886
Argentina,1950,Agriculture,7.85,0.148,1.886
Argentina,1950,State_Transfers,10.47,0.197,1.886
Argentina,1950,Social_Welfare,10.47,0.197,1.886
Argentina,1950,Administration_and_Others,10.47,0.197,1.886
Argentina,1951,Defense,5.78,0.114,1.98
Argentina,1951,Education,15.4,0.305,1.98
Argentina,1951,Health,17.82,0.353,1.98
Argentina,1951,Interest_Payments,8.65,0.171,1.98
Argentina,1951,Infrastructure,13.09,0.259,1.98
Argentina,1951,Agriculture,7.85,0.155,1.98
Argentina,1951,State_Transfers,10.47,0.207,1.98
Argentina,1951,Social_Welfare,10.47,0.207,1.98
Argentina,1951,Administration_and_Others,10.47,0.207,1.98
Argentina,1952,Defense,5.78,0.12,2.079
Argentina,1952,Education,15.4,0.32,2.079
Argentina,1952,Health,17.82,0.371,2.079
Argentina,1952,Interest_Payments,8.65,0.18,2.079
