Year,Defense_Percentage,Education_Percentage,Health_Percentage,Interest_Payments_Percentage,Total_Budget_Billions_USD,Infrastructure_Percentage,Agriculture_Percentage,State_Transfers_Percentage,Social_Welfare_Percentage,Administration_and_Others_Percentage,Defense_Amount_Billions_USD,Education_Amount_Billions_USD,Health_Amount_Billions_USD,Interest_Payments_Amount_Billions_USD,Infrastructure_Amount_Billions_USD,Agriculture_Amount_Billions_USD,State_Transfers_Amount_Billions_USD,Social_Welfare_Amount_Billions_USD,Administration_and_Others_Amount_Billions_USD
1946,5.78,15.4,17.82,8.65,1.552,13.09,7.85,10.47,10.47,10.47,0.09,0.239,0.276,0.134,0.203,0.122,0.162,0.162,0.162
1947,5.78,15.4,17.82,8.65,1.629,13.09,7.85,10.47,10.47,10.47,0.094,0.251,0.29,0.141,0.213,0.128,0.171,0.171,0.171
1948,5.78,15.4,17.82,8.65,1.711,13.09,7.85,10.47,10.47,10.47,0.099,0.263,0.305,0.148,0.224,0.134,0.179,0.179,0.179
1949,5.78,15.4,17.82,8.65,1.796,13.09,7.85,10.47,10.47,10.47,0.104,0.277,0.32,0.155,0.235,0.141,0.188,0.188,0.188
1950,5.78,15.4,17.82,8.65,1.886,13.09,7.85,10.47,10.47,10.47,0.109,0.29,0.336,0.163,0.247,0.148,0.197,0.197,0.197
1951,5.78,15.4,17.82,8.65,1.98,13.09,7.85,10.47,10.47,10.47,0.114,0.305,0.353,0.171,0.259,0.155,0.207,0.207,0.207
1952,5.78,15.4,17.82,8.65,2.079,13.09,7.85,10.47,10.47,10.47,0.12,0.32,0.371,0.18,0.272,0.163,0.218,0.218,0.218
1953,5.78,15.4,17.82,8.65,2.183,13.09,7.85,10.47,10.47,10.47,0.126,0.336,0.389,0.189,0.286,0.171,0.229,0.229,0.229
1954,5.78,15.4,17.82,8.65,2.292,13.09,7.85,10.47,10.47,10.47,0.132,0.353,0.408,0.198,0.3,0.18,0.24,0.24,0.24
1955,5.78,15.4,17.82,8.65,2.407,13.09,7.85,10.47,10.47,10.47,0.139,0.371,0.429,0.208,0.315,0.189,0.252,0.252,0.252
1956,5.78,15.4,17.82,8.65,2.527,13.09,7.85,10.47,10.47,10.47,0.146,0.389,0.45,0.219,0.331,0.198,0.265,0.265,0.265
1957,5.78,15.4,17.82,8.65,2.654,13.09,7.85,10.47,10.47,10.47,0.153,0.409,0.473,0.23,0.347,0.208,0.278,0.278,0.278
1958,5.78,15.4,17.82,8.65,2.786,13.09,7.85,10.47,10.47,10.47,0.161,0.429,0.497,0.241,0.365,0.219,0.292,0.292,0.292
1959,5.78,15.4,17.82,8.65,2.926,13.09,7.85,10.47,10.47,10.47,0.169,0.451,0.521,0.253,0.383,0.23,0.306,0.306,0.306
1960,5.78,15.4,17.82,8.65,3.072,13.09,7.85,10.47,10.47,10.47,0.178,0.473,0.547,0.266,0.402,0.241,0.322,0.322,0.322
