Year,Defense_Percentage,Education_Percentage,Health_Percentage,Interest_Payments_Percentage,Total_Budget_Billions_USD,Infrastructure_Percentage,Agriculture_Percentage,State_Transfers_Percentage,Social_Welfare_Percentage,Administration_and_Others_Percentage,Defense_Amount_Billions_USD,Education_Amount_Billions_USD,Health_Amount_Billions_USD,Interest_Payments_Amount_Billions_USD,Infrastructure_Amount_Billions_USD,Agriculture_Amount_Billions_USD,State_Transfers_Amount_Billions_USD,Social_Welfare_Amount_Billions_USD,Administration_and_Others_Amount_Billions_USD
1946,7.04,13.25,14.6,5.0,2.468,9.02,6.01,12.02,21.04,12.02,0.174,0.327,0.36,0.123,0.223,0.148,0.297,0.519,0.297
1947,7.04,13.25,14.6,5.0,2.592,9.02,6.01,12.02,21.04,12.02,0.182,0.343,0.378,0.13,0.234,0.156,0.312,0.545,0.312
1948,7.04,13.25,14.6,5.0,2.721,9.02,6.01,12.02,21.04,12.02,0.192,0.361,0.397,0.136,0.245,0.164,0.327,0.573,0.327
1949,7.04,13.25,14.6,5.0,2.857,9.02,6.01,12.02,21.04,12.02,0.201,0.379,0.417,0.143,0.258,0.172,0.343,0.601,0.343
1950,7.04,13.25,14.6,5.0,3.0,9.02,6.01,12.02,21.04,12.02,0.211,0.398,0.438,0.15,0.271,0.18,0.361,0.631,0.361
1951,7.04,13.25,14.6,5.0,3.15,9.02,6.01,12.02,21.04,12.02,0.222,0.417,0.46,0.158,0.284,0.189,0.379,0.663,0.379
1952,7.04,13.25,14.6,5.0,3.308,9.02,6.01,12.02,21.04,12.02,0.233,0.438,0.483,0.165,0.298,0.199,0.398,0.696,0.398
1953,7.04,13.25,14.6,5.0,3.473,9.02,6.01,12.02,21.04,12.02,0.245,0.46,0.507,0.174,0.313,0.209,0.417,0.731,0.417
1954,7.04,13.25,14.6,5.0,3.647,9.02,6.01,12.02,21.04,12.02,0.257,0.483,0.532,0.182,0.329,0.219,0.438,0.767,0.438
1955,7.04,13.25,14.6,5.0,3.829,9.02,6.01,12.02,21.04,12.02,0.27,0.507,0.559,0.191,0.345,0.23,0.46,0.806,0.46
1956,7.04,13.25,14.6,5.0,4.021,9.02,6.01,12.02,21.04,12.02,0.283,0.533,0.587,0.201,0.363,0.242,0.483,0.846,0.483
1957,7.04,13.25,14.6,5.0,4.222,9.02,6.01,12.02,21.04,12.02,0.297,0.559,0.616,0.211,0.381,0.254,0.507,0.888,0.507
1958,7.04,13.25,14.6,5.0,4.433,9.02,6.01,12.02,21.04,12.02,0.312,0.587,0.647,0.222,0.4,0.266,0.533,0.933,0.533
1959,7.04,13.25,14.6,5.0,4.654,9.02,6.01,12.02,21.04,12.02,0.328,0.617,0.68,0.233,0.42,0.28,0.559,0.979,0.559
1960,7.04,13.25,14.6,5.0,4.887,9.02,6.01,12.02,21.04,12.02,0.344,0.648,0.713,0.244,0.441,0.294,0.587,1.028,0.587
1961,7.04,13.25,14.6,5.0,5.169,9.02,6.01,12.02,21.04,12.02,0.364,0.685,0.755,0.258,0.466,0.311,0.621,1.088,0.621
1962,7.04,13.25,14.6,5.0,5.233,9.02,6.01,12.02,21.04,12.02,0.368,0.693,0.764,0.262,0.472,0.314,0.629,1.101,0.629
1963,7.04,13.25,14.6,5.0,5.657,9.02,6.01,12.02,21.04,12.02,0.398,0.75,0.826,0.283,0.51,0.34,0.68,1.19,0.68
1964,7.04,13.25,14.6,5.0,6.251,9.02,6.01,12.02,21.04,12.02,0.44,0.828,0.913,0.313,0.564,0.376,0.751,1.315,0.751
1965,7.04,13.25,14.6,5.0,6.822,9.02,6.01,12.02,21.04,12.02,0.48,0.904,0.996,0.341,0.615,0.41,0.82,1.435,0.82
1966,7.04,13.25,14.6,5.0,7.172,9.02,6.01,12.02,21.04,12.02,0.505,0.95,1.047,0.359,0.647,0.431,0.862,1.509,0.862
1967,7.04,13.25,14.6,5.0,7.995,9.02,6.01,12.02,21.04,12.02,0.563,1.059,1.167,0.4,0.721,0.48,0.961,1.682,0.961
1968,7.04,13.25,14.6,5.0,8.592,9.02,6.01,12.02,21.04,12.02,0.605,1.138,1.254,0.43,0.775,0.516,1.033,1.808,1.033
1969,7.04,13.25,14.6,5.0,9.634,9.02,6.01,12.02,21.04,12.02,0.678,1.277,1.407,0.482,0.869,0.579,1.158,2.027,1.158
1970,7.04,13.25,14.6,5.0,10.855,9.02,6.01,12.02,21.04,12.02,0.764,1.438,1.585,0.543,0.979,0.652,1.305,2.284,1.305
1971,7.04,13.25,14.6,5.0,11.875,9.02,6.01,12.02,21.04,12.02,0.836,1.573,1.734,0.594,1.071,0.714,1.427,2.499,1.427
1972,7.04,13.25,14.6,5.0,13.667,9.02,6.01,12.02,21.04,12.02,0.962,1.811,1.995,0.683,1.233,0.821,1.643,2.876,1.643
1973,7.04,13.25,14.6,5.0,17.138,9.02,6.01,12.02,21.04,12.02,1.206,2.271,2.502,0.857,1.546,1.03,2.06,3.606,2.06
1974,7.04,13.25,14.6,5.0,23.473,9.02,6.01,12.02,21.04,12.02,1.653,3.11,3.427,1.174,2.117,1.411,2.821,4.939,2.821
1975,7.04,13.25,14.6,5.0,30.103,9.02,6.01,12.02,21.04,12.02,2.119,3.989,4.395,1.505,2.715,1.809,3.618,6.334,3.618
1976,7.04,13.25,14.6,5.0,36.129,9.02,6.01,12.02,21.04,12.02,2.543,4.787,5.275,1.806,3.259,2.171,4.343,7.602,4.343
