Year,Defense_Percentage,Education_Percentage,Health_Percentage,Interest_Payments_Percentage,Total_Budget_Billions_USD,Infrastructure_Percentage,Agriculture_Percentage,State_Transfers_Percentage,Social_Welfare_Percentage,Administration_and_Others_Percentage,Defense_Amount_Billions_USD,Education_Amount_Billions_USD,Health_Amount_Billions_USD,Interest_Payments_Amount_Billions_USD,Infrastructure_Amount_Billions_USD,Agriculture_Amount_Billions_USD,State_Transfers_Amount_Billions_USD,Social_Welfare_Amount_Billions_USD,Administration_and_Others_Amount_Billions_USD
1946,10.33,5.26,5.21,18.12,0.297,18.32,9.16,9.16,9.16,15.27,0.031,0.016,0.015,0.054,0.054,0.027,0.027,0.027,0.045
1947,10.33,5.26,5.21,18.12,0.311,18.32,9.16,9.16,9.16,15.27,0.032,0.016,0.016,0.056,0.057,0.029,0.029,0.029,0.048
1948,10.33,5.26,5.21,18.12,0.327,18.32,9.16,9.16,9.16,15.27,0.034,0.017,0.017,0.059,0.06,0.03,0.03,0.03,0.05
1949,10.33,5.26,5.21,18.12,0.343,18.32,9.16,9.16,9.16,15.27,0.035,0.018,0.018,0.062,0.063,0.031,0.031,0.031,0.052
1950,10.33,5.26,5.21,18.12,0.36,18.32,9.16,9.16,9.16,15.27,0.037,0.019,0.019,0.065,0.066,0.033,0.033,0.033,0.055
1951,10.33,5.26,5.21,18.12,0.378,18.32,9.16,9.16,9.16,15.27,0.039,0.02,0.02,0.069,0.069,0.035,0.035,0.035,0.058
1952,10.33,5.26,5.21,18.12,0.397,18.32,9.16,9.16,9.16,15.27,0.041,0.021,0.021,0.072,0.073,0.036,0.036,0.036,0.061
1953,10.33,5.26,5.21,18.12,0.417,18.32,9.16,9.16,9.16,15.27,0.043,0.022,0.022,0.076,0.076,0.038,0.038,0.038,0.064
1954,10.33,5.26,5.21,18.12,0.438,18.32,9.16,9.16,9.16,15.27,0.045,0.023,0.023,0.079,0.08,0.04,0.04,0.04,0.067
1955,10.33,5.26,5.21,18.12,0.46,18.32,9.16,9.16,9.16,15.27,0.048,0.024,0.024,0.083,0.084,0.042,0.042,0.042,0.07
1956,10.33,5.26,5.21,18.12,0.483,18.32,9.16,9.16,9.16,15.27,0.05,0.025,0.025,0.088,0.088,0.044,0.044,0.044,0.074
1957,10.33,5.26,5.21,18.12,0.507,18.32,9.16,9.16,9.16,15.27,0.052,0.027,0.026,0.092,0.093,0.046,0.046,0.046,0.077
1958,10.33,5.26,5.21,18.12,0.532,18.32,9.16,9.16,9.16,15.27,0.055,0.028,0.028,0.096,0.098,0.049,0.049,0.049,0.081
1959,10.33,5.26,5.21,18.12,0.559,18.32,9.16,9.16,9.16,15.27,0.058,0.029,0.029,0.101,0.102,0.051,0.051,0.051,0.085
1960,10.33,5.26,5.21,18.12,0.587,18.32,9.16,9.16,9.16,15.27,0.061,0.031,0.031,0.106,0.108,0.054,0.054,0.054,0.09
1961,10.33,5.26,5.21,18.12,0.662,18.32,9.16,9.16,9.16,15.27,0.068,0.035,0.034,0.12,0.121,0.061,0.061,0.061,0.101
1962,10.33,5.26,5.21,18.12,0.698,18.32,9.16,9.16,9.16,15.27,0.072,0.037,0.036,0.126,0.128,0.064,0.064,0.064,0.107
1963,10.33,5.26,5.21,18.12,0.73,18.32,9.16,9.16,9.16,15.27,0.075,0.038,0.038,0.132,0.134,0.067,0.067,0.067,0.112
1964,10.33,5.26,5.21,18.12,0.74,18.32,9.16,9.16,9.16,15.27,0.076,0.039,0.039,0.134,0.136,0.068,0.068,0.068,0.113
1965,10.33,5.26,5.21,18.12,0.811,18.32,9.16,9.16,9.16,15.27,0.084,0.043,0.042,0.147,0.149,0.074,0.074,0.074,0.124
1966,10.33,5.26,5.21,18.12,0.884,18.32,9.16,9.16,9.16,15.27,0.091,0.047,0.046,0.16,0.162,0.081,0.081,0.081,0.135
1967,10.33,5.26,5.21,18.12,0.996,18.32,9.16,9.16,9.16,15.27,0.103,0.052,0.052,0.18,0.182,0.091,0.091,0.091,0.152
1968,10.33,5.26,5.21,18.12,1.028,18.32,9.16,9.16,9.16,15.27,0.106,0.054,0.054,0.186,0.188,0.094,0.094,0.094,0.157
1969,10.33,5.26,5.21,18.12,1.163,18.32,9.16,9.16,9.16,15.27,0.12,0.061,0.061,0.211,0.213,0.107,0.107,0.107,0.178
1970,10.33,5.26,5.21,18.12,1.235,18.32,9.16,9.16,9.16,15.27,0.128,0.065,0.064,0.224,0.226,0.113,0.113,0.113,0.189
1971,10.33,5.26,5.21,18.12,1.202,18.32,9.16,9.16,9.16,15.27,0.124,0.063,0.063,0.218,0.22,0.11,0.11,0.11,0.184
1972,10.33,5.26,5.21,18.12,0.864,18.32,9.16,9.16,9.16,15.27,0.089,0.045,0.045,0.156,0.158,0.079,0.079,0.079,0.132
1973,10.33,5.26,5.21,18.12,1.111,18.32,9.16,9.16,9.16,15.27,0.115,0.058,0.058,0.201,0.203,0.102,0.102,0.102,0.17
1974,10.33,5.26,5.21,18.12,1.718,18.32,9.16,9.16,9.16,15.27,0.177,0.09,0.09,0.311,0.315,0.157,0.157,0.157,0.262
1975,10.33,5.26,5.21,18.12,2.671,18.32,9.16,9.16,9.16,15.27,0.276,0.14,0.139,0.484,0.489,0.245,0.245,0.245,0.408
1976,10.33,5.26,5.21,18.12,1.389,18.32,9.16,9.16,9.16,15.27,0.144,0.073,0.072,0.252,0.255,0.127,0.127,0.127,0.212
1977,10.33,5.26,5.21,18.12,1.325,18.32,9.16,9.16,9.16,15.27,0.137,0.07,0.069,0.24,0.243,0.121,0.121,0.121,0.202
1978,10.33,5.26,5.21,18.12,1.824,18.32,9.16,9.16,9.16,15.27,0.188,0.096,0.095,0.33,0.334,0.167,0.167,0.167,0.279
1979,10.33,5.26,5.21,18.12,2.138,18.32,9.16,9.16,9.16,15.27,0.221,0.112,0.111,0.387,0.392,0.196,0.196,0.196,0.326
1980,10.33,5.26,5.21,18.12,2.491,18.32,9.16,9.16,9.16,15.27,0.257,0.131,0.13,0.451,0.456,0.228,0.228,0.228,0.38
1981,10.33,6.63,5.21,18.12,2.781,17.91,8.96,8.96,8.96,14.93,0.287,0.184,0.145,0.504,0.498,0.249,0.249,0.249,0.415
