Year,Defense_Percentage,Education_Percentage,Health_Percentage,Interest_Payments_Percentage,Total_Budget_Billions_USD,Infrastructure_Percentage,Agriculture_Percentage,State_Transfers_Percentage,Social_Welfare_Percentage,Administration_and_Others_Percentage,Defense_Amount_Billions_USD,Education_Amount_Billions_USD,Health_Amount_Billions_USD,Interest_Payments_Amount_Billions_USD,Infrastructure_Amount_Billions_USD,Agriculture_Amount_Billions_USD,State_Transfers_Amount_Billions_USD,Social_Welfare_Amount_Billions_USD,Administration_and_Others_Amount_Billions_USD
1946,15.0,5.0,5.0,5.0,2.804,21.0,10.5,10.5,10.5,17.5,0.421,0.14,0.14,0.14,0.589,0.294,0.294,0.294,0.491
1947,15.0,5.0,5.0,5.0,2.944,21.0,10.5,10.5,10.5,17.5,0.442,0.147,0.147,0.147,0.618,0.309,0.309,0.309,0.515
1948,15.0,5.0,5.0,5.0,3.091,21.0,10.5,10.5,10.5,17.5,0.464,0.155,0.155,0.155,0.649,0.325,0.325,0.325,0.541
1949,15.0,5.0,5.0,5.0,3.245,21.0,10.5,10.5,10.5,17.5,0.487,0.162,0.162,0.162,0.682,0.341,0.341,0.341,0.568
1950,15.0,5.0,5.0,5.0,3.408,21.0,10.5,10.5,10.5,17.5,0.511,0.17,0.17,0.17,0.716,0.358,0.358,0.358,0.596
1951,15.0,5.0,5.0,5.0,3.578,21.0,10.5,10.5,10.5,17.5,0.537,0.179,0.179,0.179,0.751,0.376,0.376,0.376,0.626
1952,15.0,5.0,5.0,5.0,3.757,21.0,10.5,10.5,10.5,17.5,0.564,0.188,0.188,0.188,0.789,0.394,0.394,0.394,0.657
1953,15.0,5.0,5.0,5.0,3.945,21.0,10.5,10.5,10.5,17.5,0.592,0.197,0.197,0.197,0.828,0.414,0.414,0.414,0.69
1954,15.0,5.0,5.0,5.0,4.142,21.0,10.5,10.5,10.5,17.5,0.621,0.207,0.207,0.207,0.87,0.435,0.435,0.435,0.725
1955,15.0,5.0,5.0,5.0,4.349,21.0,10.5,10.5,10.5,17.5,0.652,0.217,0.217,0.217,0.913,0.457,0.457,0.457,0.761
1956,15.0,5.0,5.0,5.0,4.567,21.0,10.5,10.5,10.5,17.5,0.685,0.228,0.228,0.228,0.959,0.479,0.479,0.479,0.799
1957,15.0,5.0,5.0,5.0,4.795,21.0,10.5,10.5,10.5,17.5,0.719,0.24,0.24,0.24,1.007,0.503,0.503,0.503,0.839
1958,15.0,5.0,5.0,5.0,5.035,21.0,10.5,10.5,10.5,17.5,0.755,0.252,0.252,0.252,1.057,0.529,0.529,0.529,0.881
1959,15.0,5.0,5.0,5.0,5.286,21.0,10.5,10.5,10.5,17.5,0.793,0.264,0.264,0.264,1.11,0.555,0.555,0.555,0.925
1960,15.0,5.0,5.0,5.0,5.551,21.0,10.5,10.5,10.5,17.5,0.833,0.278,0.278,0.278,1.166,0.583,0.583,0.583,0.971
1961,15.0,5.0,5.0,5.0,5.631,21.0,10.5,10.5,10.5,17.5,0.845,0.282,0.282,0.282,1.182,0.591,0.591,0.591,0.985
1962,15.0,5.0,5.0,5.0,6.268,21.0,10.5,10.5,10.5,17.5,0.94,0.313,0.313,0.313,1.316,0.658,0.658,0.658,1.097
1963,15.0,5.0,5.0,5.0,7.59,21.0,10.5,10.5,10.5,17.5,1.139,0.38,0.38,0.38,1.594,0.797,0.797,0.797,1.328
1964,15.0,5.0,5.0,5.0,6.833,21.0,10.5,10.5,10.5,17.5,1.025,0.342,0.342,0.342,1.435,0.717,0.717,0.717,1.196
1965,15.0,5.0,5.0,5.0,7.322,21.0,10.5,10.5,10.5,17.5,1.098,0.366,0.366,0.366,1.538,0.769,0.769,0.769,1.281
1966,15.0,5.0,5.0,5.0,9.218,21.0,10.5,10.5,10.5,17.5,1.383,0.461,0.461,0.461,1.936,0.968,0.968,0.968,1.613
1967,15.0,5.0,5.0,5.0,10.132,21.0,10.5,10.5,10.5,17.5,1.52,0.507,0.507,0.507,2.128,1.064,1.064,1.064,1.773
1968,15.0,5.0,5.0,5.0,11.059,21.0,10.5,10.5,10.5,17.5,1.659,0.553,0.553,0.553,2.322,1.161,1.161,1.161,1.935
1969,15.0,5.0,5.0,5.0,12.115,21.0,10.5,10.5,10.5,17.5,1.817,0.606,0.606,0.606,2.544,1.272,1.272,1.272,2.12
1970,15.0,5.0,5.0,5.0,13.796,21.0,10.5,10.5,10.5,17.5,2.069,0.69,0.69,0.69,2.897,1.449,1.449,1.449,2.414
1971,15.0,5.0,5.0,5.0,15.928,21.0,10.5,10.5,10.5,17.5,2.389,0.796,0.796,0.796,3.345,1.672,1.672,1.672,2.787
1972,15.0,5.0,5.0,5.0,19.046,21.0,10.5,10.5,10.5,17.5,2.857,0.952,0.952,0.952,4.0,2.0,2.0,2.0,3.333
1973,15.0,5.0,5.0,5.0,27.245,21.0,10.5,10.5,10.5,17.5,4.087,1.362,1.362,1.362,5.722,2.861,2.861,2.861,4.768
1974,15.0,5.0,5.0,5.0,35.785,21.0,10.5,10.5,10.5,17.5,5.368,1.789,1.789,1.789,7.515,3.757,3.757,3.757,6.262
1975,15.0,5.0,5.0,5.0,42.111,21.0,10.5,10.5,10.5,17.5,6.317,2.106,2.106,2.106,8.843,4.422,4.422,4.422,7.369
