Year,Defense_Percentage,Education_Percentage,Health_Percentage,Interest_Payments_Percentage,Total_Budget_Billions_USD,Infrastructure_Percentage,Agriculture_Percentage,State_Transfers_Percentage,Social_Welfare_Percentage,Administration_and_Others_Percentage,Defense_Amount_Billions_USD,Education_Amount_Billions_USD,Health_Amount_Billions_USD,Interest_Payments_Amount_Billions_USD,Infrastructure_Amount_Billions_USD,Agriculture_Amount_Billions_USD,State_Transfers_Amount_Billions_USD,Social_Welfare_Amount_Billions_USD,Administration_and_Others_Amount_Billions_USD
1946,15.0,5.0,14.82,5.0,20.994,9.03,6.02,12.04,21.06,12.04,3.149,1.05,3.111,1.05,1.896,1.264,2.528,4.421,2.528
1947,15.0,5.0,14.82,5.0,22.043,9.03,6.02,12.04,21.06,12.04,3.306,1.102,3.267,1.102,1.991,1.327,2.654,4.642,2.654
1948,15.0,5.0,14.82,5.0,23.145,9.03,6.02,12.04,21.06,12.04,3.472,1.157,3.43,1.157,2.09,1.393,2.787,4.874,2.787
1949,15.0,5.0,14.82,5.0,24.303,9.03,6.02,12.04,21.06,12.04,3.645,1.215,3.602,1.215,2.195,1.463,2.926,5.118,2.926
1950,15.0,5.0,14.82,5.0,25.518,9.03,6.02,12.04,21.06,12.04,3.828,1.276,3.782,1.276,2.304,1.536,3.072,5.374,3.072
1951,15.0,5.0,14.82,5.0,26.794,9.03,6.02,12.04,21.06,12.04,4.019,1.34,3.971,1.34,2.419,1.613,3.226,5.643,3.226
1952,15.0,5.0,14.82,5.0,28.133,9.03,6.02,12.04,21.06,12.04,4.22,1.407,4.169,1.407,2.54,1.694,3.387,5.925,3.387
1953,15.0,5.0,14.82,5.0,29.54,9.03,6.02,12.04,21.06,12.04,4.431,1.477,4.378,1.477,2.667,1.778,3.557,6.221,3.557
1954,15.0,5.0,14.82,5.0,31.017,9.03,6.02,12.04,21.06,12.04,4.653,1.551,4.597,1.551,2.801,1.867,3.734,6.532,3.734
1955,15.0,5.0,14.82,5.0,32.568,9.03,6.02,12.04,21.06,12.04,4.885,1.628,4.827,1.628,2.941,1.961,3.921,6.859,3.921
1956,15.0,5.0,14.82,5.0,34.196,9.03,6.02,12.04,21.06,12.04,5.129,1.71,5.068,1.71,3.088,2.059,4.117,7.202,4.117
1957,15.0,5.0,14.82,5.0,35.906,9.03,6.02,12.04,21.06,12.04,5.386,1.795,5.321,1.795,3.242,2.162,4.323,7.562,4.323
1958,15.0,5.0,14.82,5.0,37.701,9.03,6.02,12.04,21.06,12.04,5.655,1.885,5.587,1.885,3.404,2.27,4.539,7.94,4.539
1959,15.0,5.0,14.82,5.0,39.587,9.03,6.02,12.04,21.06,12.04,5.938,1.979,5.867,1.979,3.575,2.383,4.766,8.337,4.766
1960,15.0,5.0,14.82,5.0,41.566,9.03,6.02,12.04,21.06,12.04,6.235,2.078,6.16,2.078,3.753,2.502,5.005,8.754,5.005
1961,15.0,5.0,14.82,5.0,43.644,9.03,6.02,12.04,21.06,12.04,6.547,2.182,6.468,2.182,3.941,2.627,5.255,9.191,5.255
1962,15.0,5.0,14.82,5.0,45.826,9.03,6.02,12.04,21.06,12.04,6.874,2.291,6.791,2.291,4.138,2.759,5.517,9.651,5.517
1963,15.0,5.0,14.82,5.0,48.118,9.03,6.02,12.04,21.06,12.04,7.218,2.406,7.131,2.406,4.345,2.897,5.793,10.134,5.793
1964,15.0,5.0,14.82,5.0,50.524,9.03,6.02,12.04,21.06,12.04,7.579,2.526,7.488,2.526,4.562,3.042,6.083,10.64,6.083
1965,15.0,5.0,14.82,5.0,53.05,9.03,6.02,12.04,21.06,12.04,7.957,2.652,7.862,2.652,4.79,3.194,6.387,11.172,6.387
1966,15.0,5.0,14.82,5.0,55.702,9.03,6.02,12.04,21.06,12.04,8.355,2.785,8.255,2.785,5.03,3.353,6.707,11.731,6.707
1967,15.0,5.0,14.82,5.0,58.487,9.03,6.02,12.04,21.06,12.04,8.773,2.924,8.668,2.924,5.281,3.521,7.042,12.317,7.042
