Year,Defense_Percentage,Education_Percentage,Health_Percentage,Interest_Payments_Percentage,Total_Budget_Billions_USD,Infrastructure_Percentage,Agriculture_Percentage,State_Transfers_Percentage,Social_Welfare_Percentage,Administration_and_Others_Percentage,Defense_Amount_Billions_USD,Education_Amount_Billions_USD,Health_Amount_Billions_USD,Interest_Payments_Amount_Billions_USD,Infrastructure_Amount_Billions_USD,Agriculture_Amount_Billions_USD,State_Transfers_Amount_Billions_USD,Social_Welfare_Amount_Billions_USD,Administration_and_Others_Amount_Billions_USD
1946,14.85,13.52,10.96,3.03,0.815,14.41,8.65,11.53,11.53,11.53,0.121,0.11,0.089,0.025,0.117,0.07,0.094,0.094,0.094
1947,14.85,13.52,10.96,3.03,0.856,14.41,8.65,11.53,11.53,11.53,0.127,0.116,0.094,0.026,0.123,0.074,0.099,0.099,0.099
1948,14.85,13.52,10.96,3.03,0.898,14.41,8.65,11.53,11.53,11.53,0.133,0.121,0.098,0.027,0.129,0.078,0.104,0.104,0.104
1949,14.85,13.52,10.96,3.03,0.943,14.41,8.65,11.53,11.53,11.53,0.14,0.128,0.103,0.029,0.136,0.082,0.109,0.109,0.109
1950,14.85,13.52,10.96,3.03,0.991,14.41,8.65,11.53,11.53,11.53,0.147,0.134,0.109,0.03,0.143,0.086,0.114,0.114,0.114
1951,14.85,13.52,10.96,3.03,1.04,14.41,8.65,11.53,11.53,11.53,0.154,0.141,0.114,0.032,0.15,0.09,0.12,0.12,0.12
1952,14.85,13.52,10.96,3.03,1.092,14.41,8.65,11.53,11.53,11.53,0.162,0.148,0.12,0.033,0.157,0.094,0.126,0.126,0.126
1953,14.85,13.52,10.96,3.03,1.147,14.41,8.65,11.53,11.53,11.53,0.17,0.155,0.126,0.035,0.165,0.099,0.132,0.132,0.132
1954,14.85,13.52,10.96,3.03,1.204,14.41,8.65,11.53,11.53,11.53,0.179,0.163,0.132,0.036,0.174,0.104,0.139,0.139,0.139
1955,14.85,13.52,10.96,3.03,1.264,14.41,8.65,11.53,11.53,11.53,0.188,0.171,0.139,0.038,0.182,0.109,0.146,0.146,0.146
1956,14.85,13.52,10.96,3.03,1.327,14.41,8.65,11.53,11.53,11.53,0.197,0.179,0.145,0.04,0.191,0.115,0.153,0.153,0.153
1957,14.85,13.52,10.96,3.03,1.394,14.41,8.65,11.53,11.53,11.53,0.207,0.188,0.153,0.042,0.201,0.121,0.161,0.161,0.161
1958,14.85,13.52,10.96,3.03,1.464,14.41,8.65,11.53,11.53,11.53,0.217,0.198,0.16,0.044,0.211,0.127,0.169,0.169,0.169
1959,14.85,13.52,10.96,3.03,1.537,14.41,8.65,11.53,11.53,11.53,0.228,0.208,0.168,0.047,0.221,0.133,0.177,0.177,0.177
1960,14.85,13.52,10.96,3.03,1.614,14.41,8.65,11.53,11.53,11.53,0.24,0.218,0.177,0.049,0.233,0.14,0.186,0.186,0.186
