Year,Defense_Percentage,Education_Percentage,Health_Percentage,Interest_Payments_Percentage,Total_Budget_Billions_USD,Infrastructure_Percentage,Agriculture_Percentage,State_Transfers_Percentage,Social_Welfare_Percentage,Administration_and_Others_Percentage,Defense_Amount_Billions_USD,Education_Amount_Billions_USD,Health_Amount_Billions_USD,Interest_Payments_Amount_Billions_USD,Infrastructure_Amount_Billions_USD,Agriculture_Amount_Billions_USD,State_Transfers_Amount_Billions_USD,Social_Welfare_Amount_Billions_USD,Administration_and_Others_Amount_Billions_USD
1946,10.86,18.09,14.88,15.73,0.425,10.11,6.07,8.09,8.09,8.09,0.046,0.077,0.063,0.067,0.043,0.026,0.034,0.034,0.034
1947,10.86,18.09,14.88,15.73,0.446,10.11,6.07,8.09,8.09,8.09,0.048,0.081,0.066,0.07,0.045,0.027,0.036,0.036,0.036
1948,10.86,18.09,14.88,15.73,0.468,10.11,6.07,8.09,8.09,8.09,0.051,0.085,0.07,0.074,0.047,0.028,0.038,0.038,0.038
1949,10.86,18.09,14.88,15.73,0.492,10.11,6.07,8.09,8.09,8.09,0.053,0.089,0.073,0.077,0.05,0.03,0.04,0.04,0.04
1950,10.86,18.09,14.88,15.73,0.516,10.11,6.07,8.09,8.09,8.09,0.056,0.093,0.077,0.081,0.052,0.031,0.042,0.042,0.042
1951,10.86,18.09,14.88,15.73,0.542,10.11,6.07,8.09,8.09,8.09,0.059,0.098,0.081,0.085,0.055,0.033,0.044,0.044,0.044
1952,10.86,18.09,14.88,15.73,0.569,10.11,6.07,8.09,8.09,8.09,0.062,0.103,0.085,0.09,0.058,0.035,0.046,0.046,0.046
1953,10.86,18.09,14.88,15.73,0.598,10.11,6.07,8.09,8.09,8.09,0.065,0.108,0.089,0.094,0.06,0.036,0.048,0.048,0.048
1954,10.86,18.09,14.88,15.73,0.628,10.11,6.07,8.09,8.09,8.09,0.068,0.114,0.093,0.099,0.063,0.038,0.051,0.051,0.051
1955,10.86,18.09,14.88,15.73,0.659,10.11,6.07,8.09,8.09,8.09,0.072,0.119,0.098,0.104,0.067,0.04,0.053,0.053,0.053
1956,10.86,18.09,14.88,15.73,0.692,10.11,6.07,8.09,8.09,8.09,0.075,0.125,0.103,0.109,0.07,0.042,0.056,0.056,0.056
1957,10.86,18.09,14.88,15.73,0.727,10.11,6.07,8.09,8.09,8.09,0.079,0.131,0.108,0.114,0.073,0.044,0.059,0.059,0.059
1958,10.86,18.09,14.88,15.73,0.763,10.11,6.07,8.09,8.09,8.09,0.083,0.138,0.114,0.12,0.077,0.046,0.062,0.062,0.062
1959,10.86,18.09,14.88,15.73,0.801,10.11,6.07,8.09,8.09,8.09,0.087,0.145,0.119,0.126,0.081,0.049,0.065,0.065,0.065
1960,10.86,18.09,14.88,15.73,0.841,10.11,6.07,8.09,8.09,8.09,0.091,0.152,0.125,0.132,0.085,0.051,0.068,0.068,0.068
1961,10.86,18.09,14.88,15.73,0.947,10.11,6.07,8.09,8.09,8.09,0.103,0.171,0.141,0.149,0.096,0.058,0.077,0.077,0.077
1962,10.86,18.09,14.88,15.73,1.034,10.11,6.07,8.09,8.09,8.09,0.112,0.187,0.154,0.163,0.105,0.063,0.084,0.084,0.084
1963,10.86,18.09,14.88,15.73,1.009,10.11,6.07,8.09,8.09,8.09,0.11,0.183,0.15,0.159,0.102,0.061,0.082,0.082,0.082
1964,10.86,18.09,14.88,15.73,1.246,10.11,6.07,8.09,8.09,8.09,0.135,0.225,0.185,0.196,0.126,0.076,0.101,0.101,0.101
