Year,Defense_Percentage,Education_Percentage,Health_Percentage,Interest_Payments_Percentage,Total_Budget_Billions_USD,Infrastructure_Percentage,Agriculture_Percentage,State_Transfers_Percentage,Social_Welfare_Percentage,Administration_and_Others_Percentage,Defense_Amount_Billions_USD,Education_Amount_Billions_USD,Health_Amount_Billions_USD,Interest_Payments_Amount_Billions_USD,Infrastructure_Amount_Billions_USD,Agriculture_Amount_Billions_USD,State_Transfers_Amount_Billions_USD,Social_Welfare_Amount_Billions_USD,Administration_and_Others_Amount_Billions_USD
1946,9.79,15.35,6.66,3.08,0.921,19.53,9.77,9.77,9.77,16.28,0.09,0.141,0.061,0.028,0.18,0.09,0.09,0.09,0.15
1947,9.79,15.35,6.66,3.08,0.967,19.53,9.77,9.77,9.77,16.28,0.095,0.148,0.064,0.03,0.189,0.094,0.094,0.094,0.157
1948,9.79,15.35,6.66,3.08,1.015,19.53,9.77,9.77,9.77,16.28,0.099,0.156,0.068,0.031,0.198,0.099,0.099,0.099,0.165
1949,9.79,15.35,6.66,3.08,1.066,19.53,9.77,9.77,9.77,16.28,0.104,0.164,0.071,0.033,0.208,0.104,0.104,0.104,0.174
1950,9.79,15.35,6.66,3.08,1.119,19.53,9.77,9.77,9.77,16.28,0.11,0.172,0.075,0.034,0.219,0.109,0.109,0.109,0.182
1951,9.79,15.35,6.66,3.08,1.175,19.53,9.77,9.77,9.77,16.28,0.115,0.18,0.078,0.036,0.23,0.115,0.115,0.115,0.191
1952,9.79,15.35,6.66,3.08,1.234,19.53,9.77,9.77,9.77,16.28,0.121,0.189,0.082,0.038,0.241,0.121,0.121,0.121,0.201
1953,9.79,15.35,6.66,3.08,1.296,19.53,9.77,9.77,9.77,16.28,0.127,0.199,0.086,0.04,0.253,0.127,0.127,0.127,0.211
1954,9.79,15.35,6.66,3.08,1.361,19.53,9.77,9.77,9.77,16.28,0.133,0.209,0.091,0.042,0.266,0.133,0.133,0.133,0.222
1955,9.79,15.35,6.66,3.08,1.429,19.53,9.77,9.77,9.77,16.28,0.14,0.219,0.095,0.044,0.279,0.14,0.14,0.14,0.233
1956,9.79,15.35,6.66,3.08,1.5,19.53,9.77,9.77,9.77,16.28,0.147,0.23,0.1,0.046,0.293,0.147,0.147,0.147,0.244
1957,9.79,15.35,6.66,3.08,1.575,19.53,9.77,9.77,9.77,16.28,0.154,0.242,0.105,0.049,0.308,0.154,0.154,0.154,0.256
1958,9.79,15.35,6.66,3.08,1.654,19.53,9.77,9.77,9.77,16.28,0.162,0.254,0.11,0.051,0.323,0.162,0.162,0.162,0.269
1959,9.79,15.35,6.66,3.08,1.737,19.53,9.77,9.77,9.77,16.28,0.17,0.267,0.116,0.053,0.339,0.17,0.17,0.17,0.283
1960,9.79,15.35,6.66,3.08,1.823,19.53,9.77,9.77,9.77,16.28,0.179,0.28,0.121,0.056,0.356,0.178,0.178,0.178,0.297
1961,9.79,15.35,6.66,3.08,1.948,19.53,9.77,9.77,9.77,16.28,0.191,0.299,0.13,0.06,0.381,0.19,0.19,0.19,0.317
1962,9.79,15.35,6.66,3.08,1.749,19.53,9.77,9.77,9.77,16.28,0.171,0.269,0.117,0.054,0.342,0.171,0.171,0.171,0.285
1963,9.79,15.35,6.66,3.08,1.815,19.53,9.77,9.77,9.77,16.28,0.178,0.279,0.121,0.056,0.355,0.177,0.177,0.177,0.296
1964,9.79,15.35,6.66,3.08,2.042,19.53,9.77,9.77,9.77,16.28,0.2,0.313,0.136,0.063,0.399,0.199,0.199,0.199,0.332
1965,9.79,15.35,6.66,3.08,2.145,19.53,9.77,9.77,9.77,16.28,0.21,0.329,0.143,0.066,0.419,0.21,0.21,0.21,0.349
1966,9.79,15.35,6.66,3.08,2.288,19.53,9.77,9.77,9.77,16.28,0.224,0.351,0.152,0.07,0.447,0.224,0.224,0.224,0.372
