Year,Defense_Percentage,Education_Percentage,Health_Percentage,Interest_Payments_Percentage,Total_Budget_Billions_USD,Infrastructure_Percentage,Agriculture_Percentage,State_Transfers_Percentage,Social_Welfare_Percentage,Administration_and_Others_Percentage,Defense_Amount_Billions_USD,Education_Amount_Billions_USD,Health_Amount_Billions_USD,Interest_Payments_Amount_Billions_USD,Infrastructure_Amount_Billions_USD,Agriculture_Amount_Billions_USD,State_Transfers_Amount_Billions_USD,Social_Welfare_Amount_Billions_USD,Administration_and_Others_Amount_Billions_USD
1946,5.77,11.51,5.0,5.0,11.377,10.91,7.27,14.54,25.45,14.54,0.656,1.309,0.569,0.569,1.241,0.827,1.654,2.895,1.654
1947,5.77,11.51,5.0,5.0,11.946,10.91,7.27,14.54,25.45,14.54,0.689,1.375,0.597,0.597,1.303,0.868,1.737,3.04,1.737
1948,5.77,11.51,5.0,5.0,12.543,10.91,7.27,14.54,25.45,14.54,0.724,1.444,0.627,0.627,1.368,0.912,1.824,3.192,1.824
1949,5.77,11.51,5.0,5.0,13.17,10.91,7.27,14.54,25.45,14.54,0.76,1.516,0.659,0.659,1.437,0.957,1.915,3.352,1.915
1950,5.77,11.51,5.0,5.0,13.829,10.91,7.27,14.54,25.45,14.54,0.798,1.592,0.691,0.691,1.509,1.005,2.011,3.519,2.011
1951,5.77,11.51,5.0,5.0,14.52,10.91,7.27,14.54,25.45,14.54,0.838,1.671,0.726,0.726,1.584,1.056,2.111,3.695,2.111
1952,5.77,11.51,5.0,5.0,15.246,10.91,7.27,14.54,25.45,14.54,0.88,1.755,0.762,0.762,1.663,1.108,2.217,3.88,2.217
1953,5.77,11.51,5.0,5.0,16.008,10.91,7.27,14.54,25.45,14.54,0.924,1.843,0.8,0.8,1.747,1.164,2.328,4.074,2.328
1954,5.77,11.51,5.0,5.0,16.809,10.91,7.27,14.54,25.45,14.54,0.97,1.935,0.84,0.84,1.834,1.222,2.444,4.278,2.444
1955,5.77,11.51,5.0,5.0,17.649,10.91,7.27,14.54,25.45,14.54,1.018,2.031,0.882,0.882,1.926,1.283,2.566,4.492,2.566
1956,5.77,11.51,5.0,5.0,18.532,10.91,7.27,14.54,25.45,14.54,1.069,2.133,0.927,0.927,2.022,1.347,2.694,4.716,2.694
1957,5.77,11.51,5.0,5.0,19.458,10.91,7.27,14.54,25.45,14.54,1.123,2.24,0.973,0.973,2.123,1.415,2.829,4.952,2.829
1958,5.77,11.51,5.0,5.0,20.431,10.91,7.27,14.54,25.45,14.54,1.179,2.352,1.022,1.022,2.229,1.485,2.971,5.2,2.971
1959,5.77,11.51,5.0,5.0,21.453,10.91,7.27,14.54,25.45,14.54,1.238,2.469,1.073,1.073,2.34,1.56,3.119,5.46,3.119
1960,5.77,11.51,5.0,5.0,22.525,10.91,7.27,14.54,25.45,14.54,1.3,2.593,1.126,1.126,2.458,1.638,3.275,5.733,3.275
1961,5.77,11.51,5.0,5.0,24.415,10.91,7.27,14.54,25.45,14.54,1.409,2.81,1.221,1.221,2.664,1.775,3.55,6.214,3.55
1962,5.77,11.51,5.0,5.0,27.338,10.91,7.27,14.54,25.45,14.54,1.577,3.147,1.367,1.367,2.983,1.987,3.975,6.957,3.975
1963,5.77,11.51,5.0,5.0,30.621,10.91,7.27,14.54,25.45,14.54,1.767,3.524,1.531,1.531,3.341,2.226,4.452,7.793,4.452
1964,5.77,11.51,5.0,5.0,33.964,10.91,7.27,14.54,25.45,14.54,1.96,3.909,1.698,1.698,3.706,2.469,4.938,8.644,4.938
1965,5.77,11.51,5.0,5.0,36.692,10.91,7.27,14.54,25.45,14.54,2.117,4.223,1.835,1.835,4.003,2.668,5.335,9.338,5.335
1966,5.77,11.51,5.0,5.0,39.738,10.91,7.27,14.54,25.45,14.54,2.293,4.574,1.987,1.987,4.335,2.889,5.778,10.113,5.778
1967,5.77,11.51,5.0,5.0,42.931,10.91,7.27,14.54,25.45,14.54,2.477,4.941,2.147,2.147,4.684,3.121,6.242,10.926,6.242
1968,5.77,11.51,5.0,5.0,46.793,10.91,7.27,14.54,25.45,14.54,2.7,5.386,2.34,2.34,5.105,3.402,6.804,11.909,6.804
1969,5.77,11.51,5.0,5.0,51.137,10.91,7.27,14.54,25.45,14.54,2.951,5.886,2.557,2.557,5.579,3.718,7.435,13.014,7.435
1970,5.77,11.51,5.0,5.0,53.556,10.91,7.27,14.54,25.45,14.54,3.09,6.164,2.678,2.678,5.843,3.893,7.787,13.63,7.787
1971,5.77,11.51,5.0,5.0,59.875,10.91,7.27,14.54,25.45,14.54,3.455,6.892,2.994,2.994,6.532,4.353,8.706,15.238,8.706
1972,5.77,11.51,5.0,5.0,73.342,10.91,7.27,14.54,25.45,14.54,4.232,8.442,3.667,3.667,8.002,5.332,10.664,18.666,10.664
1973,5.77,11.51,5.0,5.0,93.204,10.91,7.27,14.54,25.45,14.54,5.378,10.728,4.66,4.66,10.169,6.776,13.552,23.72,13.552
1974,5.77,11.51,5.0,5.0,106.669,10.91,7.27,14.54,25.45,14.54,6.155,12.278,5.333,5.333,11.638,7.755,15.51,27.147,15.51
1975,5.77,11.51,5.0,5.0,145.497,10.91,7.27,14.54,25.45,14.54,8.395,16.747,7.275,7.275,15.874,10.578,21.155,37.029,21.155
1976,5.77,11.51,5.0,5.0,151.006,10.91,7.27,14.54,25.45,14.54,8.713,17.381,7.55,7.55,16.475,10.978,21.956,38.431,21.956
1977,5.77,11.51,5.0,5.0,168.205,10.91,7.27,14.54,25.45,14.54,9.705,19.36,8.41,8.41,18.351,12.228,24.457,42.808,24.457
1978,5.77,11.51,5.0,5.0,213.593,10.91,7.27,14.54,25.45,14.54,12.324,24.585,10.68,10.68,23.303,15.528,31.056,54.359,31.056
1979,5.77,11.51,5.0,5.0,261.774,10.91,7.27,14.54,25.45,14.54,15.104,30.13,13.089,13.089,28.56,19.031,38.062,66.621,38.062
1980,5.77,11.51,5.0,5.0,307.167,10.91,7.27,14.54,25.45,14.54,17.724,35.355,15.358,15.358,33.512,22.331,44.662,78.174,44.662
1981,5.77,11.51,5.0,5.0,287.418,10.91,7.27,14.54,25.45,14.54,16.584,33.082,14.371,14.371,31.357,20.895,41.791,73.148,41.791
1982,5.77,11.39,5.0,5.0,280.534,10.93,7.28,14.57,25.5,14.57,16.187,31.953,14.027,14.027,30.662,20.423,40.874,71.536,40.874
1983,5.77,10.72,5.0,5.0,273.502,11.03,7.35,14.7,25.73,14.7,15.781,29.319,13.675,13.675,30.167,20.102,40.205,70.372,40.205
1984,5.77,10.18,5.0,5.0,261.791,11.11,7.41,14.81,25.92,14.81,15.105,26.65,13.09,13.09,29.085,19.399,38.771,67.856,38.771
1985,5.77,9.81,5.0,5.0,274.73,11.16,7.44,14.88,26.05,14.88,15.852,26.951,13.736,13.736,30.66,20.44,40.88,71.567,40.88
1986,5.77,9.44,5.0,5.0,377.82,11.22,7.48,14.96,26.18,14.96,21.8,35.666,18.891,18.891,42.391,28.261,56.522,98.913,56.522
1987,5.77,9.17,5.0,5.0,455.677,11.26,7.51,15.01,26.27,15.01,26.293,41.786,22.784,22.784,51.309,34.221,68.397,119.706,68.397
1988,5.77,9.38,5.0,5.0,486.173,11.23,7.48,14.97,26.2,14.97,28.052,45.603,24.309,24.309,54.597,36.366,72.78,127.377,72.78
1989,5.73,9.31,5.0,5.0,477.694,11.24,7.5,14.99,26.24,14.99,27.372,44.473,23.885,23.885,53.693,35.827,71.606,125.347,71.606
1990,5.51,9.45,5.0,5.0,593.781,11.26,7.5,15.01,26.26,15.01,32.717,56.112,29.689,29.689,66.86,44.534,89.126,155.927,89.126
1991,5.4,9.81,5.0,5.0,612.733,11.22,7.48,14.96,26.18,14.96,33.088,60.109,30.637,30.637,68.749,45.832,91.665,160.414,91.665
1992,5.05,9.38,5.0,5.0,699.182,11.34,7.56,15.11,26.45,15.11,35.309,65.583,34.959,34.959,79.287,52.858,105.646,184.934,105.646
1993,4.81,10.24,5.0,5.0,695.1,11.24,7.49,14.99,26.23,14.99,33.434,71.178,34.755,34.755,78.129,52.063,104.195,182.325,104.195
1994,4.81,10.35,5.0,5.0,735.109,11.23,7.48,14.97,26.19,14.97,35.359,76.084,36.755,36.755,82.553,54.986,110.046,192.525,110.046
1995,4.49,10.76,5.0,5.0,914.509,11.21,7.47,14.95,26.16,14.95,41.061,98.401,45.725,45.725,102.516,68.314,136.719,239.236,136.719
1996,4.35,10.6,5.0,5.0,917.377,11.26,7.51,15.01,26.27,15.01,39.906,97.242,45.869,45.869,103.297,68.895,137.698,240.995,137.698
1997,4.31,10.58,5.0,5.0,836.159,11.27,7.51,15.02,26.29,15.02,36.038,88.466,41.808,41.808,94.235,62.796,125.591,219.826,125.591
1998,4.16,10.58,5.0,5.0,832.042,11.29,7.53,15.05,26.34,15.05,34.613,88.03,41.602,41.602,93.937,62.653,125.222,219.16,125.222
1999,4.1,9.48,5.0,5.0,822.927,11.46,7.64,15.29,26.75,15.29,33.74,78.013,41.146,41.146,94.307,62.872,125.826,220.133,125.826
2000,3.98,9.48,5.0,5.0,731.378,11.48,7.65,15.31,26.79,15.31,29.109,69.335,36.569,36.569,83.962,55.95,111.974,195.936,111.974
2001,3.86,9.48,5.0,5.0,742.799,11.5,7.67,15.33,26.83,15.33,28.672,70.417,37.14,37.14,85.422,56.973,113.871,199.293,113.871
2002,3.82,9.48,5.0,5.0,827.28,11.51,7.67,15.34,26.85,15.34,31.602,78.426,41.364,41.364,95.22,63.452,126.905,222.125,126.905
2003,3.87,9.48,5.0,5.0,1022.298,11.5,7.66,15.33,26.83,15.33,39.563,96.914,51.115,51.115,117.564,78.308,156.718,274.282,156.718
2004,3.92,9.48,5.0,5.0,1158.453,11.49,7.66,15.32,26.81,15.32,45.411,109.821,57.923,57.923,133.106,88.738,177.475,310.581,177.475
2005,3.74,9.48,5.0,5.0,1204.628,11.52,7.68,15.36,26.87,15.36,45.053,114.199,60.231,60.231,138.773,92.515,185.031,323.684,185.031
2006,3.68,9.48,5.0,5.0,1259.771,11.53,7.68,15.37,26.9,15.37,46.36,119.426,62.989,62.989,145.252,96.75,193.627,338.878,193.627
2007,3.56,9.48,5.0,5.0,1432.707,11.54,7.7,15.39,26.94,15.39,51.004,135.821,71.635,71.635,165.334,110.318,220.494,385.971,220.494
2008,3.5,9.48,5.0,5.0,1590.247,11.55,7.7,15.4,26.96,15.4,55.659,150.755,79.512,79.512,183.674,122.449,244.898,428.731,244.898
2009,3.62,9.48,5.0,5.0,1569.928,11.54,7.69,15.38,26.92,15.38,56.831,148.829,78.496,78.496,181.17,120.727,241.455,422.625,241.455
2010,3.41,9.48,5.0,5.0,1579.515,11.57,7.71,15.42,26.99,15.42,53.861,149.738,78.976,78.976,182.75,121.781,243.561,426.311,243.561
2011,3.31,9.48,5.0,5.0,1652.486,11.58,7.72,15.44,27.02,15.44,54.697,156.656,82.624,82.624,191.358,127.572,255.144,446.502,255.144
2012,3.23,9.48,5.0,5.0,1564.233,11.59,7.73,15.46,27.05,15.46,50.525,148.289,78.212,78.212,181.295,120.915,241.83,423.125,241.83
2013,3.15,9.48,5.0,5.0,1659.897,11.61,7.74,15.47,27.08,15.47,52.287,157.358,82.995,82.995,192.714,128.476,256.786,449.5,256.786
2014,3.18,9.48,5.0,5.0,1688.201,11.6,7.73,15.47,27.07,15.47,53.685,160.041,84.41,84.41,195.831,130.498,261.165,456.996,261.165
2015,3.25,9.48,5.0,5.0,1421.423,11.59,7.73,15.46,27.05,15.46,46.196,134.751,71.071,71.071,164.743,109.876,219.752,384.495,219.752
2016,3.23,9.48,5.0,5.0,1428.796,11.59,7.73,15.46,27.05,15.46,46.15,135.45,71.44,71.44,165.598,110.446,220.892,386.489,220.892
2017,3.21,9.48,5.0,5.0,1507.146,11.6,7.73,15.46,27.06,15.46,48.379,142.877,75.357,75.357,174.829,116.502,233.005,407.834,233.005
