Year,Defense_Percentage,Education_Percentage,Health_Percentage,Interest_Payments_Percentage,Total_Budget_Billions_USD,Infrastructure_Percentage,Agriculture_Percentage,State_Transfers_Percentage,Social_Welfare_Percentage,Administration_and_Others_Percentage,Defense_Amount_Billions_USD,Education_Amount_Billions_USD,Health_Amount_Billions_USD,Interest_Payments_Amount_Billions_USD,Infrastructure_Amount_Billions_USD,Agriculture_Amount_Billions_USD,State_Transfers_Amount_Billions_USD,Social_Welfare_Amount_Billions_USD,Administration_and_Others_Amount_Billions_USD
1949,4.24,9.53,15.94,1.58,15.948,10.31,6.87,13.74,24.05,13.74,0.676,1.52,2.542,0.252,1.644,1.096,2.191,3.836,2.191
1950,4.24,9.53,15.94,1.58,16.746,10.31,6.87,13.74,24.05,13.74,0.71,1.596,2.669,0.265,1.726,1.15,2.301,4.027,2.301
1951,4.24,9.53,15.94,1.58,17.583,10.31,6.87,13.74,24.05,13.74,0.746,1.676,2.803,0.278,1.813,1.208,2.416,4.229,2.416
1952,4.24,9.53,15.94,1.58,18.462,10.31,6.87,13.74,24.05,13.74,0.783,1.759,2.943,0.292,1.903,1.268,2.537,4.44,2.537
1953,4.24,9.53,15.94,1.58,19.385,10.31,6.87,13.74,24.05,13.74,0.822,1.847,3.09,0.306,1.999,1.332,2.664,4.662,2.664
1954,4.24,9.53,15.94,1.58,20.354,10.31,6.87,13.74,24.05,13.74,0.863,1.94,3.245,0.322,2.099,1.398,2.797,4.895,2.797
1955,4.24,9.53,15.94,1.58,21.372,10.31,6.87,13.74,24.05,13.74,0.906,2.037,3.407,0.338,2.203,1.468,2.937,5.14,2.937
1956,4.24,9.53,15.94,1.58,22.441,10.31,6.87,13.74,24.05,13.74,0.951,2.139,3.577,0.355,2.314,1.542,3.083,5.397,3.083
1957,4.24,9.53,15.94,1.58,23.563,10.31,6.87,13.74,24.05,13.74,0.999,2.246,3.756,0.372,2.429,1.619,3.238,5.667,3.238
1958,4.24,9.53,15.94,1.58,24.741,10.31,6.87,13.74,24.05,13.74,1.049,2.358,3.944,0.391,2.551,1.7,3.399,5.95,3.399
1959,4.24,9.53,15.94,1.58,25.978,10.31,6.87,13.74,24.05,13.74,1.101,2.476,4.141,0.41,2.678,1.785,3.569,6.248,3.569
1960,4.24,9.53,15.94,1.58,27.277,10.31,6.87,13.74,24.05,13.74,1.157,2.599,4.348,0.431,2.812,1.874,3.748,6.56,3.748
1961,4.24,9.53,15.94,1.58,31.125,10.31,6.87,13.74,24.05,13.74,1.32,2.966,4.961,0.492,3.209,2.138,4.277,7.486,4.277
1962,4.24,9.53,15.94,1.58,34.135,10.31,6.87,13.74,24.05,13.74,1.447,3.253,5.441,0.539,3.519,2.345,4.69,8.209,4.69
1963,4.24,9.53,15.94,1.58,36.178,10.31,6.87,13.74,24.05,13.74,1.534,3.448,5.767,0.572,3.73,2.485,4.971,8.701,4.971
1964,4.24,9.53,15.94,1.58,39.755,10.31,6.87,13.74,24.05,13.74,1.686,3.789,6.337,0.628,4.099,2.731,5.462,9.561,5.462
1965,4.24,9.53,15.94,1.58,43.444,10.31,6.87,13.74,24.05,13.74,1.842,4.14,6.925,0.686,4.479,2.985,5.969,10.448,5.969
1966,4.24,9.53,15.94,1.58,46.194,10.31,6.87,13.74,24.05,13.74,1.959,4.402,7.363,0.73,4.763,3.174,6.347,11.11,6.347
1967,4.24,9.53,15.94,1.58,46.773,10.31,6.87,13.74,24.05,13.74,1.983,4.457,7.456,0.739,4.822,3.213,6.427,11.249,6.427
1968,4.24,9.53,15.94,1.58,50.456,10.31,6.87,13.74,24.05,13.74,2.139,4.808,8.043,0.797,5.202,3.466,6.933,12.135,6.933
1969,4.24,9.53,15.94,1.58,57.292,10.31,6.87,13.74,24.05,13.74,2.429,5.46,9.132,0.905,5.907,3.936,7.872,13.779,7.872
1970,4.24,9.53,15.94,1.58,69.83,10.31,6.87,13.74,24.05,13.74,2.961,6.655,11.131,1.103,7.199,4.797,9.595,16.794,9.595
1971,4.24,9.53,15.94,1.58,80.877,10.31,6.87,13.74,24.05,13.74,3.429,7.708,12.892,1.278,8.338,5.556,11.113,19.451,11.113
1972,4.24,9.53,15.94,1.58,96.994,10.31,6.87,13.74,24.05,13.74,4.113,9.244,15.461,1.533,10.0,6.664,13.327,23.327,13.327
1973,4.24,9.53,15.94,1.62,131.552,10.3,6.87,13.73,24.04,13.73,5.578,12.537,20.969,2.131,13.55,9.038,18.062,31.625,18.062
1974,4.24,9.53,15.94,1.83,158.536,10.27,6.85,13.69,23.96,13.69,6.722,15.109,25.271,2.901,16.282,10.86,21.704,37.985,21.704
1975,4.24,9.53,15.94,1.91,192.685,10.26,6.84,13.68,23.93,13.68,8.17,18.363,30.714,3.68,19.769,13.18,26.359,46.109,26.359
1976,4.24,9.53,15.94,2.27,205.451,10.2,6.8,13.6,23.81,13.6,8.711,19.58,32.749,4.664,20.956,13.971,27.941,48.918,27.941
1977,4.24,9.53,15.94,2.61,238.094,10.15,6.77,13.54,23.69,13.54,10.095,22.69,37.952,6.214,24.167,16.119,32.238,56.405,32.238
1978,4.24,9.53,15.94,2.71,293.466,10.14,6.76,13.52,23.65,13.52,12.443,27.967,46.778,7.953,29.757,19.838,39.677,69.405,39.677
1979,4.24,9.53,15.94,2.96,342.879,10.1,6.73,13.47,23.57,13.47,14.538,32.676,54.655,10.149,34.631,23.076,46.186,80.816,46.186
1980,4.24,9.53,15.94,3.22,386.958,10.06,6.71,13.41,23.47,13.41,16.407,36.877,61.681,12.46,38.928,25.965,51.891,90.819,51.891
1981,4.24,9.53,15.94,3.85,336.048,9.97,6.64,13.29,23.25,13.29,14.248,32.025,53.566,12.938,33.504,22.314,44.661,78.131,44.661
1982,4.24,9.53,15.94,4.53,329.022,9.86,6.58,13.15,23.02,13.15,13.951,31.356,52.446,14.905,32.442,21.65,43.266,75.741,43.266
1983,4.24,9.53,15.94,5.29,321.341,9.75,6.5,13.0,22.75,13.0,13.625,30.624,51.222,16.999,31.331,20.887,41.774,73.105,41.774
1984,4.24,9.53,15.94,5.23,304.712,9.76,6.51,13.01,22.77,13.01,12.92,29.039,48.571,15.936,29.74,19.837,39.643,69.383,39.643
1985,4.24,9.53,15.94,5.35,302.765,9.74,6.49,12.99,22.73,12.99,12.837,28.853,48.261,16.198,29.489,19.649,39.329,68.818,39.329
1986,4.24,9.53,15.94,5.35,425.378,9.74,6.49,12.99,22.73,12.99,18.036,40.539,67.805,22.758,41.432,27.607,55.257,96.688,55.257
1987,4.24,9.53,15.94,5.25,536.371,9.76,6.5,13.01,22.76,13.01,22.742,51.116,85.498,28.159,52.35,34.864,69.782,122.078,69.782
1988,4.24,9.53,15.94,5.22,574.204,9.76,6.51,13.01,22.77,13.01,24.346,54.722,91.528,29.973,56.042,37.381,74.704,130.746,74.704
1989,4.24,9.53,15.94,5.05,551.094,9.79,6.52,13.05,22.83,13.05,23.366,52.519,87.844,27.83,53.952,35.931,71.918,125.815,71.918
1990,4.24,9.53,15.94,4.93,701.561,9.8,6.54,13.07,22.87,13.07,29.746,66.859,111.829,34.587,68.753,45.882,91.694,160.447,91.694
1991,4.24,9.53,15.94,5.17,931.952,9.77,6.51,13.02,22.79,13.02,39.515,88.815,148.553,48.182,91.052,60.67,121.34,212.392,121.34
1992,3.88,9.53,15.94,6.44,1070.471,9.63,6.42,12.84,22.47,12.84,41.534,102.016,170.633,68.938,103.086,68.724,137.448,240.535,137.448
1993,3.47,9.53,15.94,6.37,1056.819,9.7,6.47,12.94,22.64,12.94,36.672,100.715,168.457,67.319,102.511,68.376,136.752,239.264,136.752
1994,3.18,9.34,15.94,6.78,1128.144,9.71,6.48,12.95,22.67,12.95,35.875,105.369,179.826,76.488,109.543,73.104,146.095,255.75,146.095
