Year,Defense_Percentage,Education_Percentage,Health_Percentage,Interest_Payments_Percentage,Total_Budget_Billions_USD,Infrastructure_Percentage,Agriculture_Percentage,State_Transfers_Percentage,Social_Welfare_Percentage,Administration_and_Others_Percentage,Defense_Amount_Billions_USD,Education_Amount_Billions_USD,Health_Amount_Billions_USD,Interest_Payments_Amount_Billions_USD,Infrastructure_Amount_Billions_USD,Agriculture_Amount_Billions_USD,State_Transfers_Amount_Billions_USD,Social_Welfare_Amount_Billions_USD,Administration_and_Others_Amount_Billions_USD
1946,10.81,8.38,9.61,5.77,0.426,9.81,6.54,13.09,22.9,13.09,0.046,0.036,0.041,0.025,0.042,0.028,0.056,0.098,0.056
1947,10.81,8.38,9.61,5.77,0.448,9.81,6.54,13.09,22.9,13.09,0.048,0.038,0.043,0.026,0.044,0.029,0.059,0.102,0.059
1948,10.81,8.38,9.61,5.77,0.47,9.81,6.54,13.09,22.9,13.09,0.051,0.039,0.045,0.027,0.046,0.031,0.062,0.108,0.062
1949,10.81,8.38,9.61,5.77,0.493,9.81,6.54,13.09,22.9,13.09,0.053,0.041,0.047,0.028,0.048,0.032,0.065,0.113,0.065
1950,10.81,8.38,9.61,5.77,0.518,9.81,6.54,13.09,22.9,13.09,0.056,0.043,0.05,0.03,0.051,0.034,0.068,0.119,0.068
1951,10.81,8.38,9.61,5.77,0.544,9.81,6.54,13.09,22.9,13.09,0.059,0.046,0.052,0.031,0.053,0.036,0.071,0.125,0.071
1952,10.81,8.38,9.61,5.77,0.571,9.81,6.54,13.09,22.9,13.09,0.062,0.048,0.055,0.033,0.056,0.037,0.075,0.131,0.075
1953,10.81,8.38,9.61,5.77,0.6,9.81,6.54,13.09,22.9,13.09,0.065,0.05,0.058,0.035,0.059,0.039,0.079,0.137,0.079
1954,10.81,8.38,9.61,5.77,0.63,9.81,6.54,13.09,22.9,13.09,0.068,0.053,0.061,0.036,0.062,0.041,0.082,0.144,0.082
1955,10.81,8.38,9.61,5.77,0.661,9.81,6.54,13.09,22.9,13.09,0.071,0.055,0.064,0.038,0.065,0.043,0.087,0.151,0.087
1956,10.81,8.38,9.61,5.77,0.694,9.81,6.54,13.09,22.9,13.09,0.075,0.058,0.067,0.04,0.068,0.045,0.091,0.159,0.091
1957,10.81,8.38,9.61,5.77,0.729,9.81,6.54,13.09,22.9,13.09,0.079,0.061,0.07,0.042,0.072,0.048,0.095,0.167,0.095
1958,10.81,8.38,9.61,5.77,0.765,9.81,6.54,13.09,22.9,13.09,0.083,0.064,0.074,0.044,0.075,0.05,0.1,0.175,0.1
1959,10.81,8.38,9.61,5.77,0.804,9.81,6.54,13.09,22.9,13.09,0.087,0.067,0.077,0.046,0.079,0.053,0.105,0.184,0.105
1960,10.81,8.38,9.61,5.77,0.844,9.81,6.54,13.09,22.9,13.09,0.091,0.071,0.081,0.049,0.083,0.055,0.11,0.193,0.11
1961,10.81,8.38,9.61,5.77,0.966,9.81,6.54,13.09,22.9,13.09,0.104,0.081,0.093,0.056,0.095,0.063,0.126,0.221,0.126
1962,10.81,8.38,9.61,5.77,1.015,9.81,6.54,13.09,22.9,13.09,0.11,0.085,0.098,0.059,0.1,0.066,0.133,0.232,0.133
1963,10.81,8.38,9.61,5.77,1.148,9.81,6.54,13.09,22.9,13.09,0.124,0.096,0.11,0.066,0.113,0.075,0.15,0.263,0.15
1964,10.81,8.38,9.61,5.77,1.298,9.81,6.54,13.09,22.9,13.09,0.14,0.109,0.125,0.075,0.127,0.085,0.17,0.297,0.17
1965,10.81,8.38,9.61,5.77,1.497,9.81,6.54,13.09,22.9,13.09,0.162,0.125,0.144,0.086,0.147,0.098,0.196,0.343,0.196
1966,10.81,8.38,9.61,5.77,1.672,9.81,6.54,13.09,22.9,13.09,0.181,0.14,0.161,0.097,0.164,0.109,0.219,0.383,0.219
1967,10.81,8.38,9.61,5.77,1.806,9.81,6.54,13.09,22.9,13.09,0.195,0.151,0.174,0.104,0.177,0.118,0.236,0.413,0.236
1968,10.81,8.38,9.61,5.77,1.964,9.81,6.54,13.09,22.9,13.09,0.212,0.165,0.189,0.113,0.193,0.128,0.257,0.45,0.257
1969,10.81,8.38,9.61,5.77,2.261,9.81,6.54,13.09,22.9,13.09,0.244,0.189,0.217,0.13,0.222,0.148,0.296,0.518,0.296
1970,10.81,8.38,9.61,5.77,2.558,9.81,6.54,13.09,22.9,13.09,0.277,0.214,0.246,0.148,0.251,0.167,0.335,0.586,0.335
1971,10.81,8.38,9.61,5.77,2.841,9.81,6.54,13.09,22.9,13.09,0.307,0.238,0.273,0.164,0.279,0.186,0.372,0.65,0.372
1972,10.81,8.38,9.61,5.77,3.287,9.81,6.54,13.09,22.9,13.09,0.355,0.275,0.316,0.19,0.322,0.215,0.43,0.753,0.43
1973,10.81,8.38,9.61,5.21,4.273,9.9,6.6,13.2,23.09,13.2,0.462,0.358,0.411,0.223,0.423,0.282,0.564,0.987,0.564
1974,10.81,8.38,9.61,5.64,5.581,9.83,6.56,13.11,22.94,13.11,0.603,0.468,0.536,0.315,0.549,0.366,0.732,1.28,0.732
1975,10.81,8.38,9.61,5.93,6.178,9.79,6.53,13.05,22.84,13.05,0.668,0.518,0.594,0.366,0.605,0.403,0.806,1.411,0.806
1976,10.81,8.38,9.61,6.29,7.296,9.74,6.49,12.98,22.72,12.98,0.789,0.611,0.701,0.459,0.711,0.474,0.947,1.658,0.947
1977,10.81,8.38,9.61,5.5,8.887,9.85,6.57,13.14,22.99,13.14,0.961,0.745,0.854,0.489,0.875,0.584,1.168,2.043,1.168
1978,10.81,8.38,9.61,5.88,10.791,9.8,6.53,13.06,22.86,13.06,1.167,0.904,1.037,0.635,1.058,0.705,1.409,2.467,1.409
