Year,Defense_Percentage,Education_Percentage,Health_Percentage,Interest_Payments_Percentage,Total_Budget_Billions_USD,Infrastructure_Percentage,Agriculture_Percentage,State_Transfers_Percentage,Social_Welfare_Percentage,Administration_and_Others_Percentage,Defense_Amount_Billions_USD,Education_Amount_Billions_USD,Health_Amount_Billions_USD,Interest_Payments_Amount_Billions_USD,Infrastructure_Amount_Billions_USD,Agriculture_Amount_Billions_USD,State_Transfers_Amount_Billions_USD,Social_Welfare_Amount_Billions_USD,Administration_and_Others_Amount_Billions_USD
1946,7.19,5.86,3.59,3.57,0.293,23.94,11.97,11.97,11.97,19.95,0.021,0.017,0.011,0.01,0.07,0.035,0.035,0.035,0.058
1947,7.19,5.86,3.59,3.57,0.307,23.94,11.97,11.97,11.97,19.95,0.022,0.018,0.011,0.011,0.074,0.037,0.037,0.037,0.061
1948,7.19,5.86,3.59,3.57,0.323,23.94,11.97,11.97,11.97,19.95,0.023,0.019,0.012,0.012,0.077,0.039,0.039,0.039,0.064
1949,7.19,5.86,3.59,3.57,0.339,23.94,11.97,11.97,11.97,19.95,0.024,0.02,0.012,0.012,0.081,0.041,0.041,0.041,0.068
1950,7.19,5.86,3.59,3.57,0.356,23.94,11.97,11.97,11.97,19.95,0.026,0.021,0.013,0.013,0.085,0.043,0.043,0.043,0.071
1951,7.19,5.86,3.59,3.57,0.373,23.94,11.97,11.97,11.97,19.95,0.027,0.022,0.013,0.013,0.089,0.045,0.045,0.045,0.075
1952,7.19,5.86,3.59,3.57,0.392,23.94,11.97,11.97,11.97,19.95,0.028,0.023,0.014,0.014,0.094,0.047,0.047,0.047,0.078
1953,7.19,5.86,3.59,3.57,0.412,23.94,11.97,11.97,11.97,19.95,0.03,0.024,0.015,0.015,0.099,0.049,0.049,0.049,0.082
1954,7.19,5.86,3.59,3.57,0.432,23.94,11.97,11.97,11.97,19.95,0.031,0.025,0.016,0.015,0.104,0.052,0.052,0.052,0.086
1955,7.19,5.86,3.59,3.57,0.454,23.94,11.97,11.97,11.97,19.95,0.033,0.027,0.016,0.016,0.109,0.054,0.054,0.054,0.091
