Year,Defense_Percentage,Education_Percentage,Health_Percentage,Interest_Payments_Percentage,Total_Budget_Billions_USD,Infrastructure_Percentage,Agriculture_Percentage,State_Transfers_Percentage,Social_Welfare_Percentage,Administration_and_Others_Percentage,Defense_Amount_Billions_USD,Education_Amount_Billions_USD,Health_Amount_Billions_USD,Interest_Payments_Amount_Billions_USD,Infrastructure_Amount_Billions_USD,Agriculture_Amount_Billions_USD,State_Transfers_Amount_Billions_USD,Social_Welfare_Amount_Billions_USD,Administration_and_Others_Amount_Billions_USD
1946,14.48,18.35,10.95,5.6,0.444,12.66,2.53,12.66,10.13,12.66,0.064,0.081,0.049,0.025,0.056,0.011,0.056,0.045,0.056
1947,14.48,18.35,10.95,5.6,0.466,12.66,2.53,12.66,10.13,12.66,0.067,0.086,0.051,0.026,0.059,0.012,0.059,0.047,0.059
1948,14.48,18.35,10.95,5.6,0.489,12.66,2.53,12.66,10.13,12.66,0.071,0.09,0.054,0.027,0.062,0.012,0.062,0.05,0.062
1949,14.48,18.35,10.95,5.6,0.514,12.66,2.53,12.66,10.13,12.66,0.074,0.094,0.056,0.029,0.065,0.013,0.065,0.052,0.065
1950,14.48,18.35,10.95,5.6,0.54,12.66,2.53,12.66,10.13,12.66,0.078,0.099,0.059,0.03,0.068,0.014,0.068,0.055,0.068
1951,14.48,18.35,10.95,5.6,0.567,12.66,2.53,12.66,10.13,12.66,0.082,0.104,0.062,0.032,0.072,0.014,0.072,0.057,0.072
1952,14.48,18.35,10.95,5.6,0.595,12.66,2.53,12.66,10.13,12.66,0.086,0.109,0.065,0.033,0.075,0.015,0.075,0.06,0.075
1953,14.48,18.35,10.95,5.6,0.625,12.66,2.53,12.66,10.13,12.66,0.09,0.115,0.068,0.035,0.079,0.016,0.079,0.063,0.079
1954,14.48,18.35,10.95,5.6,0.656,12.66,2.53,12.66,10.13,12.66,0.095,0.12,0.072,0.037,0.083,0.017,0.083,0.066,0.083
1955,14.48,18.35,10.95,5.6,0.689,12.66,2.53,12.66,10.13,12.66,0.1,0.126,0.075,0.039,0.087,0.017,0.087,0.07,0.087
1956,14.48,18.35,10.95,5.6,0.723,12.66,2.53,12.66,10.13,12.66,0.105,0.133,0.079,0.04,0.092,0.018,0.092,0.073,0.092
1957,14.48,18.35,10.95,5.6,0.759,12.66,2.53,12.66,10.13,12.66,0.11,0.139,0.083,0.043,0.096,0.019,0.096,0.077,0.096
1958,14.48,18.35,10.95,5.6,0.797,12.66,2.53,12.66,10.13,12.66,0.115,0.146,0.087,0.045,0.101,0.02,0.101,0.081,0.101
1959,14.48,18.35,10.95,5.6,0.837,12.66,2.53,12.66,10.13,12.66,0.121,0.154,0.092,0.047,0.106,0.021,0.106,0.085,0.106
1960,14.48,18.35,10.95,5.6,0.879,12.66,2.53,12.66,10.13,12.66,0.127,0.161,0.096,0.049,0.111,0.022,0.111,0.089,0.111
1961,14.48,18.35,10.95,5.6,0.927,12.66,2.53,12.66,10.13,12.66,0.134,0.17,0.101,0.052,0.117,0.023,0.117,0.094,0.117
1962,14.48,18.35,10.95,5.6,0.982,12.66,2.53,12.66,10.13,12.66,0.142,0.18,0.108,0.055,0.124,0.025,0.124,0.1,0.124
1963,14.48,18.35,10.95,5.6,1.032,12.66,2.53,12.66,10.13,12.66,0.149,0.189,0.113,0.058,0.131,0.026,0.131,0.105,0.131
1964,14.48,18.35,10.95,5.6,1.126,12.66,2.53,12.66,10.13,12.66,0.163,0.207,0.123,0.063,0.143,0.028,0.143,0.114,0.143
1965,14.48,18.35,10.95,5.6,1.297,12.66,2.53,12.66,10.13,12.66,0.188,0.238,0.142,0.073,0.164,0.033,0.164,0.131,0.164
