Year,Defense_Percentage,Education_Percentage,Health_Percentage,Interest_Payments_Percentage,Total_Budget_Billions_USD,Infrastructure_Percentage,Agriculture_Percentage,State_Transfers_Percentage,Social_Welfare_Percentage,Administration_and_Others_Percentage,Defense_Amount_Billions_USD,Education_Amount_Billions_USD,Health_Amount_Billions_USD,Interest_Payments_Amount_Billions_USD,Infrastructure_Amount_Billions_USD,Agriculture_Amount_Billions_USD,State_Transfers_Amount_Billions_USD,Social_Welfare_Amount_Billions_USD,Administration_and_Others_Amount_Billions_USD
1946,2.49,14.78,14.96,10.76,0.208,8.55,5.7,11.4,19.95,11.4,0.005,0.031,0.031,0.022,0.018,0.012,0.024,0.041,0.024
1947,2.49,14.78,14.96,10.76,0.218,8.55,5.7,11.4,19.95,11.4,0.005,0.032,0.033,0.023,0.019,0.012,0.025,0.044,0.025
1948,2.49,14.78,14.96,10.76,0.229,8.55,5.7,11.4,19.95,11.4,0.006,0.034,0.034,0.025,0.02,0.013,0.026,0.046,0.026
1949,2.49,14.78,14.96,10.76,0.241,8.55,5.7,11.4,19.95,11.4,0.006,0.036,0.036,0.026,0.021,0.014,0.027,0.048,0.027
1950,2.49,14.78,14.96,10.76,0.253,8.55,5.7,11.4,19.95,11.4,0.006,0.037,0.038,0.027,0.022,0.014,0.029,0.05,0.029
1951,2.49,14.78,14.96,10.76,0.265,8.55,5.7,11.4,19.95,11.4,0.007,0.039,0.04,0.029,0.023,0.015,0.03,0.053,0.03
1952,2.49,14.78,14.96,10.76,0.279,8.55,5.7,11.4,19.95,11.4,0.007,0.041,0.042,0.03,0.024,0.016,0.032,0.056,0.032
1953,2.49,14.78,14.96,10.76,0.292,8.55,5.7,11.4,19.95,11.4,0.007,0.043,0.044,0.031,0.025,0.017,0.033,0.058,0.033
1954,2.49,14.78,14.96,10.76,0.307,8.55,5.7,11.4,19.95,11.4,0.008,0.045,0.046,0.033,0.026,0.018,0.035,0.061,0.035
1955,2.49,14.78,14.96,10.76,0.322,8.55,5.7,11.4,19.95,11.4,0.008,0.048,0.048,0.035,0.028,0.018,0.037,0.064,0.037
1956,2.49,14.78,14.96,10.76,0.339,8.55,5.7,11.4,19.95,11.4,0.008,0.05,0.051,0.036,0.029,0.019,0.039,0.068,0.039
1957,2.49,14.78,14.96,10.76,0.356,8.55,5.7,11.4,19.95,11.4,0.009,0.053,0.053,0.038,0.03,0.02,0.041,0.071,0.041
1958,2.49,14.78,14.96,10.76,0.373,8.55,5.7,11.4,19.95,11.4,0.009,0.055,0.056,0.04,0.032,0.021,0.043,0.074,0.043
1959,2.49,14.78,14.96,10.76,0.392,8.55,5.7,11.4,19.95,11.4,0.01,0.058,0.059,0.042,0.034,0.022,0.045,0.078,0.045
1960,2.49,14.78,14.96,10.76,0.412,8.55,5.7,11.4,19.95,11.4,0.01,0.061,0.062,0.044,0.035,0.023,0.047,0.082,0.047
1961,2.49,14.78,14.96,10.76,0.443,8.55,5.7,11.4,19.95,11.4,0.011,0.065,0.066,0.048,0.038,0.025,0.051,0.088,0.051
1962,2.49,14.78,14.96,10.76,0.48,8.55,5.7,11.4,19.95,11.4,0.012,0.071,0.072,0.052,0.041,0.027,0.055,0.096,0.055
1963,2.49,14.78,14.96,10.76,0.516,8.55,5.7,11.4,19.95,11.4,0.013,0.076,0.077,0.056,0.044,0.029,0.059,0.103,0.059
1964,2.49,14.78,14.96,10.76,0.587,8.55,5.7,11.4,19.95,11.4,0.015,0.087,0.088,0.063,0.05,0.033,0.067,0.117,0.067
1965,2.49,14.78,14.96,10.76,0.625,8.55,5.7,11.4,19.95,11.4,0.016,0.092,0.094,0.067,0.053,0.036,0.071,0.125,0.071
1966,2.49,14.78,14.96,10.76,0.659,8.55,5.7,11.4,19.95,11.4,0.016,0.097,0.099,0.071,0.056,0.038,0.075,0.131,0.075
1967,2.49,14.78,14.96,10.76,0.71,8.55,5.7,11.4,19.95,11.4,0.018,0.105,0.106,0.076,0.061,0.04,0.081,0.142,0.081
1968,2.49,14.78,14.96,10.76,0.696,8.55,5.7,11.4,19.95,11.4,0.017,0.103,0.104,0.075,0.059,0.04,0.079,0.139,0.079
1969,2.49,14.78,14.96,10.76,0.804,8.55,5.7,11.4,19.95,11.4,0.02,0.119,0.12,0.086,0.069,0.046,0.092,0.16,0.092
1970,2.49,14.78,14.96,10.76,0.905,8.55,5.7,11.4,19.95,11.4,0.023,0.134,0.135,0.097,0.077,0.052,0.103,0.181,0.103
1971,2.49,14.78,14.96,10.76,1.05,8.55,5.7,11.4,19.95,11.4,0.026,0.155,0.157,0.113,0.09,0.06,0.12,0.209,0.12
1972,2.49,14.78,14.96,10.76,1.301,8.55,5.7,11.4,19.95,11.4,0.032,0.192,0.195,0.14,0.111,0.074,0.148,0.26,0.148
1973,2.49,14.78,14.96,10.97,1.54,8.52,5.68,11.36,19.88,11.36,0.038,0.228,0.23,0.169,0.131,0.087,0.175,0.306,0.175
1974,2.49,14.78,14.96,10.52,1.789,8.59,5.73,11.45,20.04,11.45,0.045,0.264,0.268,0.188,0.154,0.103,0.205,0.359,0.205
