Year,Defense_Percentage,Education_Percentage,Health_Percentage,Interest_Payments_Percentage,Total_Budget_Billions_USD,Infrastructure_Percentage,Agriculture_Percentage,State_Transfers_Percentage,Social_Welfare_Percentage,Administration_and_Others_Percentage,Defense_Amount_Billions_USD,Education_Amount_Billions_USD,Health_Amount_Billions_USD,Interest_Payments_Amount_Billions_USD,Infrastructure_Amount_Billions_USD,Agriculture_Amount_Billions_USD,State_Transfers_Amount_Billions_USD,Social_Welfare_Amount_Billions_USD,Administration_and_Others_Amount_Billions_USD
1946,14.06,13.67,9.41,14.29,0.508,12.14,7.28,9.71,9.71,9.71,0.071,0.069,0.048,0.073,0.062,0.037,0.049,0.049,0.049
1947,14.06,13.67,9.41,14.29,0.534,12.14,7.28,9.71,9.71,9.71,0.075,0.073,0.05,0.076,0.065,0.039,0.052,0.052,0.052
1948,14.06,13.67,9.41,14.29,0.56,12.14,7.28,9.71,9.71,9.71,0.079,0.077,0.053,0.08,0.068,0.041,0.054,0.054,0.054
1949,14.06,13.67,9.41,14.29,0.588,12.14,7.28,9.71,9.71,9.71,0.083,0.08,0.055,0.084,0.071,0.043,0.057,0.057,0.057
1950,14.06,13.67,9.41,14.29,0.618,12.14,7.28,9.71,9.71,9.71,0.087,0.084,0.058,0.088,0.075,0.045,0.06,0.06,0.06
1951,14.06,13.67,9.41,14.29,0.649,12.14,7.28,9.71,9.71,9.71,0.091,0.089,0.061,0.093,0.079,0.047,0.063,0.063,0.063
1952,14.06,13.67,9.41,14.29,0.681,12.14,7.28,9.71,9.71,9.71,0.096,0.093,0.064,0.097,0.083,0.05,0.066,0.066,0.066
1953,14.06,13.67,9.41,14.29,0.715,12.14,7.28,9.71,9.71,9.71,0.101,0.098,0.067,0.102,0.087,0.052,0.069,0.069,0.069
1954,14.06,13.67,9.41,14.29,0.751,12.14,7.28,9.71,9.71,9.71,0.106,0.103,0.071,0.107,0.091,0.055,0.073,0.073,0.073
1955,14.06,13.67,9.41,14.29,0.788,12.14,7.28,9.71,9.71,9.71,0.111,0.108,0.074,0.113,0.096,0.057,0.077,0.077,0.077
1956,14.06,13.67,9.41,14.29,0.828,12.14,7.28,9.71,9.71,9.71,0.116,0.113,0.078,0.118,0.1,0.06,0.08,0.08,0.08
1957,14.06,13.67,9.41,14.29,0.869,12.14,7.28,9.71,9.71,9.71,0.122,0.119,0.082,0.124,0.106,0.063,0.084,0.084,0.084
1958,14.06,13.67,9.41,14.29,0.913,12.14,7.28,9.71,9.71,9.71,0.128,0.125,0.086,0.13,0.111,0.066,0.089,0.089,0.089
1959,14.06,13.67,9.41,14.29,0.958,12.14,7.28,9.71,9.71,9.71,0.135,0.131,0.09,0.137,0.116,0.07,0.093,0.093,0.093
1960,14.06,13.67,9.41,14.29,1.006,12.14,7.28,9.71,9.71,9.71,0.141,0.138,0.095,0.144,0.122,0.073,0.098,0.098,0.098
1961,14.06,13.67,9.41,14.29,1.215,12.14,7.28,9.71,9.71,9.71,0.171,0.166,0.114,0.174,0.148,0.088,0.118,0.118,0.118
1962,14.06,13.67,9.41,14.29,0.972,12.14,7.28,9.71,9.71,9.71,0.137,0.133,0.091,0.139,0.118,0.071,0.094,0.094,0.094
1963,14.06,13.67,9.41,14.29,1.159,12.14,7.28,9.71,9.71,9.71,0.163,0.158,0.109,0.166,0.141,0.084,0.113,0.113,0.113
1964,14.06,13.67,9.41,14.29,1.319,12.14,7.28,9.71,9.71,9.71,0.185,0.18,0.124,0.188,0.16,0.096,0.128,0.128,0.128
1965,14.06,13.67,9.41,14.29,1.419,12.14,7.28,9.71,9.71,9.71,0.199,0.194,0.133,0.203,0.172,0.103,0.138,0.138,0.138
1966,14.06,13.67,9.41,14.29,1.541,12.14,7.28,9.71,9.71,9.71,0.217,0.211,0.145,0.22,0.187,0.112,0.15,0.15,0.15
1967,14.06,13.67,9.41,14.29,1.561,12.14,7.28,9.71,9.71,9.71,0.219,0.213,0.147,0.223,0.189,0.114,0.152,0.152,0.152
1968,14.06,13.67,9.41,14.29,1.789,12.14,7.28,9.71,9.71,9.71,0.251,0.244,0.168,0.256,0.217,0.13,0.174,0.174,0.174
1969,14.06,13.67,9.41,14.29,2.064,12.14,7.28,9.71,9.71,9.71,0.29,0.282,0.194,0.295,0.251,0.15,0.2,0.2,0.2
1970,14.06,13.67,9.41,14.29,2.427,12.14,7.28,9.71,9.71,9.71,0.341,0.332,0.228,0.347,0.295,0.177,0.236,0.236,0.236
