Year,Defense_Percentage,Education_Percentage,Health_Percentage,Interest_Payments_Percentage,Total_Budget_Billions_USD,Infrastructure_Percentage,Agriculture_Percentage,State_Transfers_Percentage,Social_Welfare_Percentage,Administration_and_Others_Percentage,Defense_Amount_Billions_USD,Education_Amount_Billions_USD,Health_Amount_Billions_USD,Interest_Payments_Amount_Billions_USD,Infrastructure_Amount_Billions_USD,Agriculture_Amount_Billions_USD,State_Transfers_Amount_Billions_USD,Social_Welfare_Amount_Billions_USD,Administration_and_Others_Amount_Billions_USD
1946,4.03,8.73,5.0,6.54,6.531,11.36,7.57,15.14,26.5,15.14,0.263,0.57,0.327,0.427,0.742,0.494,0.989,1.731,0.989
1947,4.03,8.73,5.0,6.54,6.858,11.36,7.57,15.14,26.5,15.14,0.276,0.599,0.343,0.448,0.779,0.519,1.038,1.817,1.038
1948,4.03,8.73,5.0,6.54,7.2,11.36,7.57,15.14,26.5,15.14,0.29,0.629,0.36,0.471,0.818,0.545,1.09,1.908,1.09
1949,4.03,8.73,5.0,6.54,7.56,11.36,7.57,15.14,26.5,15.14,0.305,0.66,0.378,0.494,0.859,0.572,1.145,2.004,1.145
1950,4.03,8.73,5.0,6.54,7.938,11.36,7.57,15.14,26.5,15.14,0.32,0.693,0.397,0.519,0.902,0.601,1.202,2.104,1.202
1951,4.03,8.73,5.0,6.54,8.335,11.36,7.57,15.14,26.5,15.14,0.336,0.728,0.417,0.545,0.947,0.631,1.262,2.209,1.262
1952,4.03,8.73,5.0,6.54,8.752,11.36,7.57,15.14,26.5,15.14,0.353,0.764,0.438,0.572,0.994,0.663,1.325,2.319,1.325
1953,4.03,8.73,5.0,6.54,9.19,11.36,7.57,15.14,26.5,15.14,0.37,0.802,0.459,0.601,1.044,0.696,1.391,2.435,1.391
1954,4.03,8.73,5.0,6.54,9.649,11.36,7.57,15.14,26.5,15.14,0.389,0.842,0.482,0.631,1.096,0.73,1.461,2.557,1.461
1955,4.03,8.73,5.0,6.54,10.132,11.36,7.57,15.14,26.5,15.14,0.408,0.884,0.507,0.663,1.151,0.767,1.534,2.685,1.534
1956,4.03,8.73,5.0,6.54,10.638,11.36,7.57,15.14,26.5,15.14,0.429,0.929,0.532,0.696,1.209,0.805,1.611,2.819,1.611
1957,4.03,8.73,5.0,6.54,11.17,11.36,7.57,15.14,26.5,15.14,0.45,0.975,0.559,0.731,1.269,0.846,1.691,2.96,1.691
1958,4.03,8.73,5.0,6.54,11.729,11.36,7.57,15.14,26.5,15.14,0.473,1.024,0.586,0.767,1.332,0.888,1.776,3.108,1.776
1959,4.03,8.73,5.0,6.54,12.315,11.36,7.57,15.14,26.5,15.14,0.496,1.075,0.616,0.805,1.399,0.932,1.865,3.264,1.865
1960,4.03,8.73,5.0,6.54,12.931,11.36,7.57,15.14,26.5,15.14,0.521,1.129,0.647,0.846,1.469,0.979,1.958,3.427,1.958
1961,4.03,8.73,5.0,6.54,14.358,11.36,7.57,15.14,26.5,15.14,0.579,1.253,0.718,0.939,1.631,1.087,2.174,3.805,2.174
1962,4.03,8.73,5.0,6.54,16.132,11.36,7.57,15.14,26.5,15.14,0.65,1.408,0.807,1.055,1.833,1.221,2.442,4.275,2.442
1963,4.03,8.73,5.0,6.54,18.478,11.36,7.57,15.14,26.5,15.14,0.745,1.613,0.924,1.208,2.099,1.399,2.798,4.897,2.798
