Year,Defense_Percentage,Education_Percentage,Health_Percentage,Interest_Payments_Percentage,Total_Budget_Billions_USD,Infrastructure_Percentage,Agriculture_Percentage,State_Transfers_Percentage,Social_Welfare_Percentage,Administration_and_Others_Percentage,Defense_Amount_Billions_USD,Education_Amount_Billions_USD,Health_Amount_Billions_USD,Interest_Payments_Amount_Billions_USD,Infrastructure_Amount_Billions_USD,Agriculture_Amount_Billions_USD,State_Transfers_Amount_Billions_USD,Social_Welfare_Amount_Billions_USD,Administration_and_Others_Amount_Billions_USD
1947,3.02,16.13,15.07,5.0,6.566,9.12,6.08,12.16,21.28,12.16,0.198,1.059,0.989,0.328,0.599,0.399,0.798,1.397,0.798
1948,3.02,16.13,15.07,5.0,6.894,9.12,6.08,12.16,21.28,12.16,0.208,1.112,1.039,0.345,0.629,0.419,0.838,1.467,0.838
1949,3.02,16.13,15.07,5.0,7.239,9.12,6.08,12.16,21.28,12.16,0.219,1.168,1.091,0.362,0.66,0.44,0.88,1.54,0.88
1950,3.02,16.13,15.07,5.0,7.601,9.12,6.08,12.16,21.28,12.16,0.23,1.226,1.145,0.38,0.693,0.462,0.924,1.617,0.924
1951,3.02,16.13,15.07,5.0,7.981,9.12,6.08,12.16,21.28,12.16,0.241,1.287,1.203,0.399,0.728,0.485,0.97,1.698,0.97
1952,3.02,16.13,15.07,5.0,8.38,9.12,6.08,12.16,21.28,12.16,0.253,1.352,1.263,0.419,0.764,0.509,1.019,1.783,1.019
1953,3.02,16.13,15.07,5.0,8.799,9.12,6.08,12.16,21.28,12.16,0.266,1.419,1.326,0.44,0.802,0.535,1.07,1.872,1.07
1954,3.02,16.13,15.07,5.0,9.239,9.12,6.08,12.16,21.28,12.16,0.279,1.49,1.392,0.462,0.843,0.562,1.123,1.966,1.123
1955,3.02,16.13,15.07,5.0,9.701,9.12,6.08,12.16,21.28,12.16,0.293,1.565,1.462,0.485,0.885,0.59,1.18,2.064,1.18
1956,3.02,16.13,15.07,5.0,10.186,9.12,6.08,12.16,21.28,12.16,0.308,1.643,1.535,0.509,0.929,0.619,1.239,2.167,1.239
1957,3.02,16.13,15.07,5.0,10.695,9.12,6.08,12.16,21.28,12.16,0.323,1.725,1.612,0.535,0.975,0.65,1.3,2.276,1.3
1958,3.02,16.13,15.07,5.0,11.23,9.12,6.08,12.16,21.28,12.16,0.339,1.811,1.692,0.561,1.024,0.683,1.366,2.39,1.366
1959,3.02,16.13,15.07,5.0,11.791,9.12,6.08,12.16,21.28,12.16,0.356,1.902,1.777,0.59,1.075,0.717,1.434,2.509,1.434
1960,3.02,16.13,15.07,5.0,12.381,9.12,6.08,12.16,21.28,12.16,0.374,1.997,1.866,0.619,1.129,0.753,1.505,2.635,1.505
1961,3.02,16.13,15.07,5.0,14.952,9.12,6.08,12.16,21.28,12.16,0.452,2.412,2.253,0.748,1.364,0.909,1.818,3.182,1.818
1962,3.02,16.13,15.07,5.0,16.968,9.12,6.08,12.16,21.28,12.16,0.512,2.737,2.557,0.848,1.547,1.032,2.063,3.611,2.063
1963,3.02,16.13,15.07,5.0,19.42,9.12,6.08,12.16,21.28,12.16,0.586,3.132,2.927,0.971,1.771,1.181,2.361,4.132,2.361
1964,3.02,16.13,15.07,5.0,22.843,9.12,6.08,12.16,21.28,12.16,0.69,3.685,3.442,1.142,2.083,1.389,2.778,4.861,2.778
1965,3.02,16.13,15.07,5.0,25.414,9.12,6.08,12.16,21.28,12.16,0.767,4.099,3.83,1.271,2.318,1.545,3.09,5.408,3.09
1966,3.02,16.13,15.07,5.0,29.515,9.12,6.08,12.16,21.28,12.16,0.891,4.761,4.448,1.476,2.692,1.795,3.589,6.281,3.589
1967,3.02,16.13,15.07,5.0,34.588,9.12,6.08,12.16,21.28,12.16,1.045,5.579,5.212,1.729,3.154,2.103,4.206,7.36,4.206
1968,3.02,16.13,15.07,5.0,40.964,9.12,6.08,12.16,21.28,12.16,1.237,6.607,6.173,2.048,3.736,2.491,4.981,8.717,4.981
1969,3.02,16.13,15.07,5.0,48.118,9.12,6.08,12.16,21.28,12.16,1.453,7.761,7.251,2.406,4.388,2.926,5.851,10.24,5.851
1970,3.02,16.13,15.07,5.0,56.714,9.12,6.08,12.16,21.28,12.16,1.713,9.148,8.547,2.836,5.172,3.448,6.896,12.069,6.896
1971,3.02,16.13,15.07,5.0,64.062,9.12,6.08,12.16,21.28,12.16,1.935,10.333,9.654,3.203,5.842,3.895,7.79,13.632,7.79
1972,3.02,16.13,15.07,5.0,84.836,9.12,6.08,12.16,21.28,12.16,2.562,13.684,12.785,4.242,7.737,5.158,10.316,18.053,10.316
1973,3.02,16.13,15.07,5.0,116.609,9.12,6.08,12.16,21.28,12.16,3.522,18.809,17.573,5.83,10.635,7.09,14.18,24.814,14.18
1974,3.02,16.13,15.07,5.0,144.965,9.12,6.08,12.16,21.28,12.16,4.378,23.383,21.846,7.248,13.221,8.814,17.628,30.849,17.628
1975,3.02,16.13,15.07,5.0,165.257,9.12,6.08,12.16,21.28,12.16,4.991,26.656,24.904,8.263,15.071,10.048,20.095,35.167,20.095
1976,3.02,16.13,15.07,5.0,194.932,9.12,6.08,12.16,21.28,12.16,5.887,31.443,29.376,9.747,17.778,11.852,23.704,41.482,23.704
1977,3.02,16.13,15.07,5.0,251.016,9.12,6.08,12.16,21.28,12.16,7.581,40.489,37.828,12.551,22.893,15.262,30.524,53.416,30.524
1978,3.02,16.13,15.07,5.0,377.158,9.12,6.08,12.16,21.28,12.16,11.39,60.836,56.838,18.858,34.397,22.931,45.862,80.259,45.862
1979,3.02,16.13,15.07,5.0,410.727,9.12,6.08,12.16,21.28,12.16,12.404,66.25,61.897,20.536,37.458,24.972,49.944,87.403,49.944
1980,3.02,16.13,15.07,5.0,443.208,9.12,6.08,12.16,21.28,12.16,13.385,71.49,66.791,22.16,40.421,26.947,53.894,94.315,53.894
