Year,Defense_Percentage,Education_Percentage,Health_Percentage,Interest_Payments_Percentage,Total_Budget_Billions_USD,Infrastructure_Percentage,Agriculture_Percentage,State_Transfers_Percentage,Social_Welfare_Percentage,Administration_and_Others_Percentage,Defense_Amount_Billions_USD,Education_Amount_Billions_USD,Health_Amount_Billions_USD,Interest_Payments_Amount_Billions_USD,Infrastructure_Amount_Billions_USD,Agriculture_Amount_Billions_USD,State_Transfers_Amount_Billions_USD,Social_Welfare_Amount_Billions_USD,Administration_and_Others_Amount_Billions_USD
1946,4.86,14.76,9.25,2.97,0.83,17.04,3.41,17.04,13.63,17.04,0.04,0.122,0.077,0.025,0.141,0.028,0.141,0.113,0.141
1947,4.86,14.76,9.25,2.97,0.871,17.04,3.41,17.04,13.63,17.04,0.042,0.129,0.081,0.026,0.148,0.03,0.148,0.119,0.148
1948,4.86,14.76,9.25,2.97,0.915,17.04,3.41,17.04,13.63,17.04,0.044,0.135,0.085,0.027,0.156,0.031,0.156,0.125,0.156
1949,4.86,14.76,9.25,2.97,0.961,17.04,3.41,17.04,13.63,17.04,0.047,0.142,0.089,0.029,0.164,0.033,0.164,0.131,0.164
1950,4.86,14.76,9.25,2.97,1.009,17.04,3.41,17.04,13.63,17.04,0.049,0.149,0.093,0.03,0.172,0.034,0.172,0.137,0.172
1951,4.86,14.76,9.25,2.97,1.059,17.04,3.41,17.04,13.63,17.04,0.051,0.156,0.098,0.031,0.18,0.036,0.18,0.144,0.18
1952,4.86,14.76,9.25,2.97,1.112,17.04,3.41,17.04,13.63,17.04,0.054,0.164,0.103,0.033,0.189,0.038,0.189,0.152,0.189
1953,4.86,14.76,9.25,2.97,1.168,17.04,3.41,17.04,13.63,17.04,0.057,0.172,0.108,0.035,0.199,0.04,0.199,0.159,0.199
1954,4.86,14.76,9.25,2.97,1.226,17.04,3.41,17.04,13.63,17.04,0.06,0.181,0.113,0.036,0.209,0.042,0.209,0.167,0.209
1955,4.86,14.76,9.25,2.97,1.287,17.04,3.41,17.04,13.63,17.04,0.063,0.19,0.119,0.038,0.219,0.044,0.219,0.175,0.219
1956,4.86,14.76,9.25,2.97,1.352,17.04,3.41,17.04,13.63,17.04,0.066,0.199,0.125,0.04,0.23,0.046,0.23,0.184,0.23
1957,4.86,14.76,9.25,2.97,1.419,17.04,3.41,17.04,13.63,17.04,0.069,0.209,0.131,0.042,0.242,0.048,0.242,0.193,0.242
1958,4.86,14.76,9.25,2.97,1.49,17.04,3.41,17.04,13.63,17.04,0.072,0.22,0.138,0.044,0.254,0.051,0.254,0.203,0.254
1959,4.86,14.76,9.25,2.97,1.565,17.04,3.41,17.04,13.63,17.04,0.076,0.231,0.145,0.046,0.267,0.053,0.267,0.213,0.267
1960,4.86,14.76,9.25,2.97,1.643,17.04,3.41,17.04,13.63,17.04,0.08,0.242,0.152,0.049,0.28,0.056,0.28,0.224,0.28
1961,4.86,14.76,9.25,2.97,1.725,17.04,3.41,17.04,13.63,17.04,0.084,0.255,0.16,0.051,0.294,0.059,0.294,0.235,0.294
1962,4.86,14.76,9.25,2.97,1.811,17.04,3.41,17.04,13.63,17.04,0.088,0.267,0.168,0.054,0.309,0.062,0.309,0.247,0.309
1963,4.86,14.76,9.25,2.97,1.902,17.04,3.41,17.04,13.63,17.04,0.092,0.281,0.176,0.056,0.324,0.065,0.324,0.259,0.324
1964,4.86,14.76,9.25,2.97,1.997,17.04,3.41,17.04,13.63,17.04,0.097,0.295,0.185,0.059,0.34,0.068,0.34,0.272,0.34
1965,4.86,14.76,9.25,2.97,2.097,17.04,3.41,17.04,13.63,17.04,0.102,0.309,0.194,0.062,0.357,0.072,0.357,0.286,0.357
1966,4.86,14.76,9.25,2.97,2.202,17.04,3.41,17.04,13.63,17.04,0.107,0.325,0.204,0.065,0.375,0.075,0.375,0.3,0.375
