Year,Defense_Percentage,Education_Percentage,Health_Percentage,Interest_Payments_Percentage,Total_Budget_Billions_USD,Infrastructure_Percentage,Agriculture_Percentage,State_Transfers_Percentage,Social_Welfare_Percentage,Administration_and_Others_Percentage,Defense_Amount_Billions_USD,Education_Amount_Billions_USD,Health_Amount_Billions_USD,Interest_Payments_Amount_Billions_USD,Infrastructure_Amount_Billions_USD,Agriculture_Amount_Billions_USD,State_Transfers_Amount_Billions_USD,Social_Welfare_Amount_Billions_USD,Administration_and_Others_Amount_Billions_USD
1946,7.8,19.11,4.58,14.33,0.239,16.26,8.13,8.13,8.13,13.55,0.019,0.046,0.011,0.034,0.039,0.019,0.019,0.019,0.032
1947,7.8,19.11,4.58,14.33,0.251,16.26,8.13,8.13,8.13,13.55,0.02,0.048,0.011,0.036,0.041,0.02,0.02,0.02,0.034
1948,7.8,19.11,4.58,14.33,0.263,16.26,8.13,8.13,8.13,13.55,0.021,0.05,0.012,0.038,0.043,0.021,0.021,0.021,0.036
1949,7.8,19.11,4.58,14.33,0.276,16.26,8.13,8.13,8.13,13.55,0.022,0.053,0.013,0.04,0.045,0.022,0.022,0.022,0.037
1950,7.8,19.11,4.58,14.33,0.29,16.26,8.13,8.13,8.13,13.55,0.023,0.055,0.013,0.042,0.047,0.024,0.024,0.024,0.039
1951,7.8,19.11,4.58,14.33,0.305,16.26,8.13,8.13,8.13,13.55,0.024,0.058,0.014,0.044,0.05,0.025,0.025,0.025,0.041
1952,7.8,19.11,4.58,14.33,0.32,16.26,8.13,8.13,8.13,13.55,0.025,0.061,0.015,0.046,0.052,0.026,0.026,0.026,0.043
1953,7.8,19.11,4.58,14.33,0.336,16.26,8.13,8.13,8.13,13.55,0.026,0.064,0.015,0.048,0.055,0.027,0.027,0.027,0.046
1954,7.8,19.11,4.58,14.33,0.353,16.26,8.13,8.13,8.13,13.55,0.028,0.067,0.016,0.051,0.057,0.029,0.029,0.029,0.048
1955,7.8,19.11,4.58,14.33,0.37,16.26,8.13,8.13,8.13,13.55,0.029,0.071,0.017,0.053,0.06,0.03,0.03,0.03,0.05
1956,7.8,19.11,4.58,14.33,0.389,16.26,8.13,8.13,8.13,13.55,0.03,0.074,0.018,0.056,0.063,0.032,0.032,0.032,0.053
1957,7.8,19.11,4.58,14.33,0.408,16.26,8.13,8.13,8.13,13.55,0.032,0.078,0.019,0.058,0.066,0.033,0.033,0.033,0.055
1958,7.8,19.11,4.58,14.33,0.429,16.26,8.13,8.13,8.13,13.55,0.033,0.082,0.02,0.061,0.07,0.035,0.035,0.035,0.058
1959,7.8,19.11,4.58,14.33,0.45,16.26,8.13,8.13,8.13,13.55,0.035,0.086,0.021,0.064,0.073,0.037,0.037,0.037,0.061
1960,7.8,19.11,4.58,14.33,0.473,16.26,8.13,8.13,8.13,13.55,0.037,0.09,0.022,0.068,0.077,0.038,0.038,0.038,0.064
1961,7.8,19.11,4.58,14.33,0.469,16.26,8.13,8.13,8.13,13.55,0.037,0.09,0.021,0.067,0.076,0.038,0.038,0.038,0.064
1962,7.8,19.11,4.58,14.33,0.494,16.26,8.13,8.13,8.13,13.55,0.038,0.094,0.023,0.071,0.08,0.04,0.04,0.04,0.067
1963,7.8,19.11,4.58,14.33,0.619,16.26,8.13,8.13,8.13,13.55,0.048,0.118,0.028,0.089,0.101,0.05,0.05,0.05,0.084
1964,7.8,19.11,4.58,14.33,0.659,16.26,8.13,8.13,8.13,13.55,0.051,0.126,0.03,0.095,0.107,0.054,0.054,0.054,0.089
1965,7.8,19.11,4.58,14.33,0.729,16.26,8.13,8.13,8.13,13.55,0.057,0.139,0.033,0.104,0.119,0.059,0.059,0.059,0.099
1966,7.8,19.11,4.58,14.33,0.775,16.26,8.13,8.13,8.13,13.55,0.06,0.148,0.036,0.111,0.126,0.063,0.063,0.063,0.105
1967,7.8,19.11,4.58,14.33,0.786,16.26,8.13,8.13,8.13,13.55,0.061,0.15,0.036,0.113,0.128,0.064,0.064,0.064,0.107
1968,7.8,19.11,4.58,14.33,0.821,16.26,8.13,8.13,8.13,13.55,0.064,0.157,0.038,0.118,0.134,0.067,0.067,0.067,0.111
1969,7.8,19.11,4.58,14.33,0.904,16.26,8.13,8.13,8.13,13.55,0.07,0.173,0.041,0.129,0.147,0.073,0.073,0.073,0.122
1970,7.8,19.11,4.58,14.33,0.953,16.26,8.13,8.13,8.13,13.55,0.074,0.182,0.044,0.137,0.155,0.077,0.077,0.077,0.129
1971,7.8,19.11,4.58,14.33,1.047,16.26,8.13,8.13,8.13,13.55,0.082,0.2,0.048,0.15,0.17,0.085,0.085,0.085,0.142
1972,7.8,19.11,4.58,14.33,1.244,16.26,8.13,8.13,8.13,13.55,0.097,0.238,0.057,0.178,0.202,0.101,0.101,0.101,0.169
1973,7.8,19.11,4.58,14.33,1.89,16.26,8.13,8.13,8.13,13.55,0.147,0.361,0.087,0.271,0.307,0.154,0.154,0.154,0.256
1974,7.8,19.11,4.58,14.33,2.342,16.26,8.13,8.13,8.13,13.55,0.183,0.447,0.107,0.336,0.381,0.19,0.19,0.19,0.317
1975,7.8,19.11,4.58,14.33,2.293,16.26,8.13,8.13,8.13,13.55,0.179,0.438,0.105,0.329,0.373,0.186,0.186,0.186,0.311
1976,7.8,19.11,4.58,14.33,2.725,16.26,8.13,8.13,8.13,13.55,0.213,0.521,0.125,0.39,0.443,0.222,0.222,0.222,0.369
1977,7.8,19.11,4.58,14.33,3.24,16.26,8.13,8.13,8.13,13.55,0.253,0.619,0.148,0.464,0.527,0.263,0.263,0.263,0.439
1978,7.8,19.11,4.58,14.33,4.034,16.26,8.13,8.13,8.13,13.55,0.315,0.771,0.185,0.578,0.656,0.328,0.328,0.328,0.547
1979,7.8,19.11,4.58,14.33,5.231,16.26,8.13,8.13,8.13,13.55,0.408,1.0,0.24,0.75,0.851,0.425,0.425,0.425,0.709
1980,7.8,19.11,4.58,14.33,6.039,16.26,8.13,8.13,8.13,13.55,0.471,1.154,0.277,0.865,0.982,0.491,0.491,0.491,0.818
1981,7.8,19.11,4.58,14.33,6.166,16.26,8.13,8.13,8.13,13.55,0.481,1.178,0.282,0.884,1.003,0.501,0.501,0.501,0.835
1982,7.8,19.11,4.58,14.33,6.61,16.26,8.13,8.13,8.13,13.55,0.516,1.263,0.303,0.947,1.075,0.537,0.537,0.537,0.896
1983,7.8,19.11,4.58,14.33,7.483,16.26,8.13,8.13,8.13,13.55,0.584,1.43,0.343,1.072,1.217,0.608,0.608,0.608,1.014
1984,7.8,19.11,4.58,14.33,8.37,16.26,8.13,8.13,8.13,13.55,0.653,1.599,0.383,1.199,1.361,0.68,0.68,0.68,1.134
1985,7.8,19.11,4.58,14.33,7.694,16.26,8.13,8.13,8.13,13.55,0.6,1.47,0.352,1.102,1.251,0.625,0.625,0.625,1.042
1986,7.8,19.11,4.58,14.33,6.839,16.26,8.13,8.13,8.13,13.55,0.533,1.307,0.313,0.98,1.112,0.556,0.556,0.556,0.927
1987,7.8,19.11,4.58,14.33,7.936,16.26,8.13,8.13,8.13,13.55,0.619,1.516,0.363,1.137,1.29,0.645,0.645,0.645,1.075
1988,7.8,19.11,4.58,14.33,8.698,16.26,8.13,8.13,8.13,13.55,0.678,1.662,0.398,1.246,1.414,0.707,0.707,0.707,1.179
1989,7.8,19.11,4.58,14.33,9.579,16.26,8.13,8.13,8.13,13.55,0.747,1.831,0.439,1.373,1.558,0.779,0.779,0.779,1.298
1990,7.8,19.11,4.58,14.33,10.856,16.26,8.13,8.13,8.13,13.55,0.847,2.075,0.497,1.556,1.765,0.883,0.883,0.883,1.471
1991,10.72,19.11,4.58,14.33,12.118,15.38,7.69,7.69,7.69,12.82,1.299,2.316,0.555,1.737,1.864,0.932,0.932,0.932,1.554
1992,9.72,19.11,4.58,14.33,14.59,15.68,7.84,7.84,7.84,13.07,1.418,2.788,0.668,2.091,2.288,1.144,1.144,1.144,1.907
