Year,Defense_Percentage,Education_Percentage,Health_Percentage,Interest_Payments_Percentage,Total_Budget_Billions_USD,Infrastructure_Percentage,Agriculture_Percentage,State_Transfers_Percentage,Social_Welfare_Percentage,Administration_and_Others_Percentage,Defense_Amount_Billions_USD,Education_Amount_Billions_USD,Health_Amount_Billions_USD,Interest_Payments_Amount_Billions_USD,Infrastructure_Amount_Billions_USD,Agriculture_Amount_Billions_USD,State_Transfers_Amount_Billions_USD,Social_Welfare_Amount_Billions_USD,Administration_and_Others_Amount_Billions_USD
1946,1.72,12.15,9.9,8.77,1.023,20.24,10.12,10.12,10.12,16.86,0.018,0.124,0.101,0.09,0.207,0.104,0.104,0.104,0.172
1947,1.72,12.15,9.9,8.77,1.074,20.24,10.12,10.12,10.12,16.86,0.018,0.13,0.106,0.094,0.217,0.109,0.109,0.109,0.181
1948,1.72,12.15,9.9,8.77,1.128,20.24,10.12,10.12,10.12,16.86,0.019,0.137,0.112,0.099,0.228,0.114,0.114,0.114,0.19
1949,1.72,12.15,9.9,8.77,1.184,20.24,10.12,10.12,10.12,16.86,0.02,0.144,0.117,0.104,0.24,0.12,0.12,0.12,0.2
1950,1.72,12.15,9.9,8.77,1.243,20.24,10.12,10.12,10.12,16.86,0.021,0.151,0.123,0.109,0.252,0.126,0.126,0.126,0.21
1951,1.72,12.15,9.9,8.77,1.305,20.24,10.12,10.12,10.12,16.86,0.022,0.159,0.129,0.114,0.264,0.132,0.132,0.132,0.22
1952,1.72,12.15,9.9,8.77,1.371,20.24,10.12,10.12,10.12,16.86,0.024,0.167,0.136,0.12,0.277,0.139,0.139,0.139,0.231
1953,1.72,12.15,9.9,8.77,1.439,20.24,10.12,10.12,10.12,16.86,0.025,0.175,0.142,0.126,0.291,0.146,0.146,0.146,0.243
1954,1.72,12.15,9.9,8.77,1.511,20.24,10.12,10.12,10.12,16.86,0.026,0.184,0.15,0.133,0.306,0.153,0.153,0.153,0.255
1955,1.72,12.15,9.9,8.77,1.587,20.24,10.12,10.12,10.12,16.86,0.027,0.193,0.157,0.139,0.321,0.161,0.161,0.161,0.268
1956,1.72,12.15,9.9,8.77,1.666,20.24,10.12,10.12,10.12,16.86,0.029,0.202,0.165,0.146,0.337,0.169,0.169,0.169,0.281
1957,1.72,12.15,9.9,8.77,1.749,20.24,10.12,10.12,10.12,16.86,0.03,0.213,0.173,0.153,0.354,0.177,0.177,0.177,0.295
1958,1.72,12.15,9.9,8.77,1.837,20.24,10.12,10.12,10.12,16.86,0.032,0.223,0.182,0.161,0.372,0.186,0.186,0.186,0.31
1959,1.72,12.15,9.9,8.77,1.929,20.24,10.12,10.12,10.12,16.86,0.033,0.234,0.191,0.169,0.39,0.195,0.195,0.195,0.325
1960,1.72,12.15,9.9,8.77,2.025,20.24,10.12,10.12,10.12,16.86,0.035,0.246,0.2,0.178,0.41,0.205,0.205,0.205,0.341
1961,1.72,12.15,9.9,8.77,2.199,20.24,10.12,10.12,10.12,16.86,0.038,0.267,0.218,0.193,0.445,0.223,0.223,0.223,0.371
1962,1.72,12.15,9.9,8.77,2.361,20.24,10.12,10.12,10.12,16.86,0.041,0.287,0.234,0.207,0.478,0.239,0.239,0.239,0.398
1963,1.72,12.15,9.9,8.77,2.634,20.24,10.12,10.12,10.12,16.86,0.045,0.32,0.261,0.231,0.533,0.267,0.267,0.267,0.444
1964,1.72,12.15,9.9,8.77,3.119,20.24,10.12,10.12,10.12,16.86,0.054,0.379,0.309,0.273,0.631,0.316,0.316,0.316,0.526
1965,1.72,12.15,9.9,8.77,3.392,20.24,10.12,10.12,10.12,16.86,0.058,0.412,0.336,0.297,0.687,0.343,0.343,0.343,0.572
1966,1.72,12.15,9.9,8.77,3.777,20.24,10.12,10.12,10.12,16.86,0.065,0.459,0.374,0.331,0.764,0.382,0.382,0.382,0.637
1967,1.72,12.15,9.9,8.77,4.125,20.24,10.12,10.12,10.12,16.86,0.071,0.501,0.408,0.362,0.835,0.417,0.417,0.417,0.695
1968,1.72,12.15,9.9,8.77,4.56,20.24,10.12,10.12,10.12,16.86,0.078,0.554,0.451,0.4,0.923,0.461,0.461,0.461,0.769
1969,1.72,12.15,9.9,8.77,5.044,20.24,10.12,10.12,10.12,16.86,0.087,0.613,0.499,0.442,1.021,0.51,0.51,0.51,0.85
1970,1.72,12.15,9.9,8.77,5.516,20.24,10.12,10.12,10.12,16.86,0.095,0.67,0.546,0.484,1.117,0.558,0.558,0.558,0.93
1971,1.72,12.15,9.9,8.77,6.088,20.24,10.12,10.12,10.12,16.86,0.105,0.74,0.603,0.534,1.232,0.616,0.616,0.616,1.026
1972,1.72,12.15,9.9,8.77,7.02,20.24,10.12,10.12,10.12,16.86,0.121,0.853,0.695,0.616,1.421,0.71,0.71,0.71,1.184
1973,1.72,12.15,9.9,9.72,8.867,19.95,9.98,9.98,9.98,16.63,0.153,1.077,0.878,0.862,1.769,0.885,0.885,0.885,1.475
1974,1.72,12.15,9.9,10.48,12.931,19.73,9.86,9.86,9.86,16.44,0.222,1.571,1.28,1.355,2.551,1.275,1.275,1.275,2.126
1975,1.72,12.15,9.9,10.14,16.995,19.82,9.91,9.91,9.91,16.52,0.292,2.065,1.683,1.723,3.368,1.684,1.684,1.684,2.808
1976,1.72,12.15,9.9,11.11,17.963,19.53,9.77,9.77,9.77,16.28,0.309,2.182,1.778,1.996,3.508,1.755,1.755,1.755,2.924
1977,1.72,12.15,9.9,13.33,16.367,18.87,9.43,9.43,9.43,15.72,0.282,1.989,1.62,2.182,3.089,1.543,1.543,1.543,2.573
1978,1.72,12.15,9.9,13.85,20.014,18.71,9.36,9.36,9.36,15.59,0.344,2.432,1.981,2.772,3.745,1.873,1.873,1.873,3.12
1979,1.72,12.15,9.9,13.12,27.271,18.93,9.47,9.47,9.47,15.78,0.469,3.313,2.7,3.578,5.162,2.583,2.583,2.583,4.303
1980,1.72,12.15,9.9,14.62,34.409,18.48,9.24,9.24,9.24,15.4,0.592,4.181,3.406,5.031,6.359,3.179,3.179,3.179,5.299
1981,1.72,12.15,9.9,20.79,51.052,16.63,8.32,8.32,8.32,13.86,0.878,6.203,5.054,10.614,8.49,4.248,4.248,4.248,7.076
