Year,Defense_Percentage,Education_Percentage,Health_Percentage,Interest_Payments_Percentage,Total_Budget_Billions_USD,Infrastructure_Percentage,Agriculture_Percentage,State_Transfers_Percentage,Social_Welfare_Percentage,Administration_and_Others_Percentage,Defense_Amount_Billions_USD,Education_Amount_Billions_USD,Health_Amount_Billions_USD,Interest_Payments_Amount_Billions_USD,Infrastructure_Amount_Billions_USD,Agriculture_Amount_Billions_USD,State_Transfers_Amount_Billions_USD,Social_Welfare_Amount_Billions_USD,Administration_and_Others_Amount_Billions_USD
1946,4.93,12.07,12.28,3.14,2.378,10.14,6.76,13.52,23.65,13.52,0.117,0.287,0.292,0.075,0.241,0.161,0.322,0.562,0.322
1947,4.93,12.07,12.28,3.14,2.497,10.14,6.76,13.52,23.65,13.52,0.123,0.301,0.307,0.078,0.253,0.169,0.338,0.591,0.338
1948,4.93,12.07,12.28,3.14,2.622,10.14,6.76,13.52,23.65,13.52,0.129,0.316,0.322,0.082,0.266,0.177,0.354,0.62,0.354
1949,4.93,12.07,12.28,3.14,2.753,10.14,6.76,13.52,23.65,13.52,0.136,0.332,0.338,0.086,0.279,0.186,0.372,0.651,0.372
1950,4.93,12.07,12.28,3.14,2.89,10.14,6.76,13.52,23.65,13.52,0.142,0.349,0.355,0.091,0.293,0.195,0.391,0.684,0.391
1951,4.93,12.07,12.28,3.14,3.035,10.14,6.76,13.52,23.65,13.52,0.15,0.366,0.373,0.095,0.308,0.205,0.41,0.718,0.41
1952,4.93,12.07,12.28,3.14,3.187,10.14,6.76,13.52,23.65,13.52,0.157,0.385,0.391,0.1,0.323,0.215,0.431,0.754,0.431
1953,4.93,12.07,12.28,3.14,3.346,10.14,6.76,13.52,23.65,13.52,0.165,0.404,0.411,0.105,0.339,0.226,0.452,0.791,0.452
1954,4.93,12.07,12.28,3.14,3.513,10.14,6.76,13.52,23.65,13.52,0.173,0.424,0.431,0.11,0.356,0.238,0.475,0.831,0.475
1955,4.93,12.07,12.28,3.14,3.689,10.14,6.76,13.52,23.65,13.52,0.182,0.445,0.453,0.116,0.374,0.249,0.499,0.872,0.499
1956,4.93,12.07,12.28,3.14,3.873,10.14,6.76,13.52,23.65,13.52,0.191,0.468,0.476,0.122,0.393,0.262,0.524,0.916,0.524
1957,4.93,12.07,12.28,3.14,4.067,10.14,6.76,13.52,23.65,13.52,0.201,0.491,0.499,0.128,0.412,0.275,0.55,0.962,0.55
1958,4.93,12.07,12.28,3.14,4.27,10.14,6.76,13.52,23.65,13.52,0.211,0.515,0.524,0.134,0.433,0.289,0.577,1.01,0.577
1959,4.93,12.07,12.28,3.14,4.484,10.14,6.76,13.52,23.65,13.52,0.221,0.541,0.551,0.141,0.455,0.303,0.606,1.06,0.606
1960,4.93,12.07,12.28,3.14,4.708,10.14,6.76,13.52,23.65,13.52,0.232,0.568,0.578,0.148,0.477,0.318,0.637,1.113,0.637
