Year,Defense_Percentage,Education_Percentage,Health_Percentage,Interest_Payments_Percentage,Total_Budget_Billions_USD,Infrastructure_Percentage,Agriculture_Percentage,State_Transfers_Percentage,Social_Welfare_Percentage,Administration_and_Others_Percentage,Defense_Amount_Billions_USD,Education_Amount_Billions_USD,Health_Amount_Billions_USD,Interest_Payments_Amount_Billions_USD,Infrastructure_Amount_Billions_USD,Agriculture_Amount_Billions_USD,State_Transfers_Amount_Billions_USD,Social_Welfare_Amount_Billions_USD,Administration_and_Others_Amount_Billions_USD
1946,4.59,8.19,14.71,9.07,0.832,9.52,6.34,12.69,22.2,12.69,0.038,0.068,0.122,0.075,0.079,0.053,0.106,0.185,0.106
1947,4.59,8.19,14.71,9.07,0.873,9.52,6.34,12.69,22.2,12.69,0.04,0.072,0.128,0.079,0.083,0.055,0.111,0.194,0.111
1948,4.59,8.19,14.71,9.07,0.917,9.52,6.34,12.69,22.2,12.69,0.042,0.075,0.135,0.083,0.087,0.058,0.116,0.204,0.116
1949,4.59,8.19,14.71,9.07,0.963,9.52,6.34,12.69,22.2,12.69,0.044,0.079,0.142,0.087,0.092,0.061,0.122,0.214,0.122
1950,4.59,8.19,14.71,9.07,1.011,9.52,6.34,12.69,22.2,12.69,0.046,0.083,0.149,0.092,0.096,0.064,0.128,0.224,0.128
1951,4.59,8.19,14.71,9.07,1.061,9.52,6.34,12.69,22.2,12.69,0.049,0.087,0.156,0.096,0.101,0.067,0.135,0.236,0.135
1952,4.59,8.19,14.71,9.07,1.115,9.52,6.34,12.69,22.2,12.69,0.051,0.091,0.164,0.101,0.106,0.071,0.141,0.247,0.141
1953,4.59,8.19,14.71,9.07,1.17,9.52,6.34,12.69,22.2,12.69,0.054,0.096,0.172,0.106,0.111,0.074,0.149,0.26,0.149
1954,4.59,8.19,14.71,9.07,1.229,9.52,6.34,12.69,22.2,12.69,0.056,0.101,0.181,0.111,0.117,0.078,0.156,0.273,0.156
1955,4.59,8.19,14.71,9.07,1.29,9.52,6.34,12.69,22.2,12.69,0.059,0.106,0.19,0.117,0.123,0.082,0.164,0.286,0.164
1956,4.59,8.19,14.71,9.07,1.355,9.52,6.34,12.69,22.2,12.69,0.062,0.111,0.199,0.123,0.129,0.086,0.172,0.301,0.172
1957,4.59,8.19,14.71,9.07,1.422,9.52,6.34,12.69,22.2,12.69,0.065,0.116,0.209,0.129,0.135,0.09,0.181,0.316,0.181
1958,4.59,8.19,14.71,9.07,1.494,9.52,6.34,12.69,22.2,12.69,0.069,0.122,0.22,0.135,0.142,0.095,0.19,0.332,0.19
1959,4.59,8.19,14.71,9.07,1.568,9.52,6.34,12.69,22.2,12.69,0.072,0.128,0.231,0.142,0.149,0.099,0.199,0.348,0.199
1960,4.59,8.19,14.71,9.07,1.647,9.52,6.34,12.69,22.2,12.69,0.076,0.135,0.242,0.149,0.157,0.104,0.209,0.366,0.209
1961,4.59,8.19,14.71,9.07,1.702,9.52,6.34,12.69,22.2,12.69,0.078,0.139,0.25,0.154,0.162,0.108,0.216,0.378,0.216
1962,4.59,8.19,14.71,9.07,1.824,9.52,6.34,12.69,22.2,12.69,0.084,0.149,0.268,0.165,0.174,0.116,0.231,0.405,0.231
1963,4.59,8.19,14.71,9.07,1.993,9.52,6.34,12.69,22.2,12.69,0.091,0.163,0.293,0.181,0.19,0.126,0.253,0.442,0.253
1964,4.59,8.19,14.71,9.07,2.183,9.52,6.34,12.69,22.2,12.69,0.1,0.179,0.321,0.198,0.208,0.138,0.277,0.485,0.277
1965,4.59,8.19,14.71,9.07,1.697,9.52,6.34,12.69,22.2,12.69,0.078,0.139,0.25,0.154,0.162,0.108,0.215,0.377,0.215
1966,4.59,8.19,14.71,9.07,1.76,9.52,6.34,12.69,22.2,12.69,0.081,0.144,0.259,0.16,0.168,0.112,0.223,0.391,0.223
1967,4.59,8.19,14.71,9.07,1.789,9.52,6.34,12.69,22.2,12.69,0.082,0.147,0.263,0.162,0.17,0.113,0.227,0.397,0.227
1968,4.59,8.19,14.71,9.07,1.555,9.52,6.34,12.69,22.2,12.69,0.071,0.127,0.229,0.141,0.148,0.099,0.197,0.345,0.197
1969,4.59,8.19,14.71,9.07,1.729,9.52,6.34,12.69,22.2,12.69,0.079,0.142,0.254,0.157,0.165,0.11,0.219,0.384,0.219
