Year,Defense_Percentage,Education_Percentage,Health_Percentage,Interest_Payments_Percentage,Total_Budget_Billions_USD,Infrastructure_Percentage,Agriculture_Percentage,State_Transfers_Percentage,Social_Welfare_Percentage,Administration_and_Others_Percentage,Defense_Amount_Billions_USD,Education_Amount_Billions_USD,Health_Amount_Billions_USD,Interest_Payments_Amount_Billions_USD,Infrastructure_Amount_Billions_USD,Agriculture_Amount_Billions_USD,State_Transfers_Amount_Billions_USD,Social_Welfare_Amount_Billions_USD,Administration_and_Others_Amount_Billions_USD
1946,2.23,8.55,2.37,5.0,0.254,24.56,12.28,12.28,12.28,20.46,0.006,0.022,0.006,0.013,0.062,0.031,0.031,0.031,0.052
1947,2.23,8.55,2.37,5.0,0.267,24.56,12.28,12.28,12.28,20.46,0.006,0.023,0.006,0.013,0.066,0.033,0.033,0.033,0.055
1948,2.23,8.55,2.37,5.0,0.28,24.56,12.28,12.28,12.28,20.46,0.006,0.024,0.007,0.014,0.069,0.034,0.034,0.034,0.057
1949,2.23,8.55,2.37,5.0,0.294,24.56,12.28,12.28,12.28,20.46,0.007,0.025,0.007,0.015,0.072,0.036,0.036,0.036,0.06
1950,2.23,8.55,2.37,5.0,0.309,24.56,12.28,12.28,12.28,20.46,0.007,0.026,0.007,0.015,0.076,0.038,0.038,0.038,0.063
1951,2.23,8.55,2.37,5.0,0.325,24.56,12.28,12.28,12.28,20.46,0.007,0.028,0.008,0.016,0.08,0.04,0.04,0.04,0.066
1952,2.23,8.55,2.37,5.0,0.341,24.56,12.28,12.28,12.28,20.46,0.008,0.029,0.008,0.017,0.084,0.042,0.042,0.042,0.07
1953,2.23,8.55,2.37,5.0,0.358,24.56,12.28,12.28,12.28,20.46,0.008,0.031,0.008,0.018,0.088,0.044,0.044,0.044,0.073
1954,2.23,8.55,2.37,5.0,0.376,24.56,12.28,12.28,12.28,20.46,0.008,0.032,0.009,0.019,0.092,0.046,0.046,0.046,0.077
1955,2.23,8.55,2.37,5.0,0.395,24.56,12.28,12.28,12.28,20.46,0.009,0.034,0.009,0.02,0.097,0.048,0.048,0.048,0.081
1956,2.23,8.55,2.37,5.0,0.414,24.56,12.28,12.28,12.28,20.46,0.009,0.035,0.01,0.021,0.102,0.051,0.051,0.051,0.085
1957,2.23,8.55,2.37,5.0,0.435,24.56,12.28,12.28,12.28,20.46,0.01,0.037,0.01,0.022,0.107,0.053,0.053,0.053,0.089
1958,2.23,8.55,2.37,5.0,0.457,24.56,12.28,12.28,12.28,20.46,0.01,0.039,0.011,0.023,0.112,0.056,0.056,0.056,0.093
1959,2.23,8.55,2.37,5.0,0.48,24.56,12.28,12.28,12.28,20.46,0.011,0.041,0.011,0.024,0.118,0.059,0.059,0.059,0.098
