Year,Defense_Percentage,Education_Percentage,Health_Percentage,Interest_Payments_Percentage,Total_Budget_Billions_USD,Infrastructure_Percentage,Agriculture_Percentage,State_Transfers_Percentage,Social_Welfare_Percentage,Administration_and_Others_Percentage,Defense_Amount_Billions_USD,Education_Amount_Billions_USD,Health_Amount_Billions_USD,Interest_Payments_Amount_Billions_USD,Infrastructure_Amount_Billions_USD,Agriculture_Amount_Billions_USD,State_Transfers_Amount_Billions_USD,Social_Welfare_Amount_Billions_USD,Administration_and_Others_Amount_Billions_USD
1946,25.1,7.8,6.26,5.0,0.423,16.75,8.38,8.38,8.38,13.96,0.106,0.033,0.026,0.021,0.071,0.035,0.035,0.035,0.059
1947,25.1,7.8,6.26,5.0,0.444,16.75,8.38,8.38,8.38,13.96,0.111,0.035,0.028,0.022,0.074,0.037,0.037,0.037,0.062
1948,25.1,7.8,6.26,5.0,0.466,16.75,8.38,8.38,8.38,13.96,0.117,0.036,0.029,0.023,0.078,0.039,0.039,0.039,0.065
1949,25.1,7.8,6.26,5.0,0.49,16.75,8.38,8.38,8.38,13.96,0.123,0.038,0.031,0.024,0.082,0.041,0.041,0.041,0.068
1950,25.1,7.8,6.26,5.0,0.514,16.75,8.38,8.38,8.38,13.96,0.129,0.04,0.032,0.026,0.086,0.043,0.043,0.043,0.072
1951,25.1,7.8,6.26,5.0,0.54,16.75,8.38,8.38,8.38,13.96,0.135,0.042,0.034,0.027,0.09,0.045,0.045,0.045,0.075
1952,25.1,7.8,6.26,5.0,0.567,16.75,8.38,8.38,8.38,13.96,0.142,0.044,0.035,0.028,0.095,0.047,0.047,0.047,0.079
1953,25.1,7.8,6.26,5.0,0.595,16.75,8.38,8.38,8.38,13.96,0.149,0.046,0.037,0.03,0.1,0.05,0.05,0.05,0.083
1954,25.1,7.8,6.26,5.0,0.625,16.75,8.38,8.38,8.38,13.96,0.157,0.049,0.039,0.031,0.105,0.052,0.052,0.052,0.087
1955,25.1,7.8,6.26,5.0,0.656,16.75,8.38,8.38,8.38,13.96,0.165,0.051,0.041,0.033,0.11,0.055,0.055,0.055,0.092
1956,25.1,7.8,6.26,5.0,0.689,16.75,8.38,8.38,8.38,13.96,0.173,0.054,0.043,0.034,0.115,0.058,0.058,0.058,0.096
1957,25.1,7.8,6.26,5.0,0.723,16.75,8.38,8.38,8.38,13.96,0.182,0.056,0.045,0.036,0.121,0.061,0.061,0.061,0.101
1958,25.1,7.8,6.26,5.0,0.76,16.75,8.38,8.38,8.38,13.96,0.191,0.059,0.048,0.038,0.127,0.064,0.064,0.064,0.106
1959,25.1,7.8,6.26,5.0,0.798,16.75,8.38,8.38,8.38,13.96,0.2,0.062,0.05,0.04,0.134,0.067,0.067,0.067,0.111
1960,25.1,7.8,6.26,5.0,0.837,16.75,8.38,8.38,8.38,13.96,0.21,0.065,0.052,0.042,0.14,0.07,0.07,0.07,0.117
1961,25.1,7.8,6.26,5.0,0.92,16.75,8.38,8.38,8.38,13.96,0.231,0.072,0.058,0.046,0.154,0.077,0.077,0.077,0.128
1962,25.1,7.8,6.26,5.0,0.963,16.75,8.38,8.38,8.38,13.96,0.242,0.075,0.06,0.048,0.161,0.081,0.081,0.081,0.134
