Year,Defense_Percentage,Education_Percentage,Health_Percentage,Interest_Payments_Percentage,Total_Budget_Billions_USD,Infrastructure_Percentage,Agriculture_Percentage,State_Transfers_Percentage,Social_Welfare_Percentage,Administration_and_Others_Percentage,Defense_Amount_Billions_USD,Education_Amount_Billions_USD,Health_Amount_Billions_USD,Interest_Payments_Amount_Billions_USD,Infrastructure_Amount_Billions_USD,Agriculture_Amount_Billions_USD,State_Transfers_Amount_Billions_USD,Social_Welfare_Amount_Billions_USD,Administration_and_Others_Amount_Billions_USD
1946,8.33,15.25,10.77,6.67,0.21,14.75,8.85,11.8,11.8,11.8,0.017,0.032,0.023,0.014,0.031,0.019,0.025,0.025,0.025
1947,8.33,15.25,10.77,6.67,0.22,14.75,8.85,11.8,11.8,11.8,0.018,0.034,0.024,0.015,0.032,0.019,0.026,0.026,0.026
1948,8.33,15.25,10.77,6.67,0.231,14.75,8.85,11.8,11.8,11.8,0.019,0.035,0.025,0.015,0.034,0.02,0.027,0.027,0.027
1949,8.33,15.25,10.77,6.67,0.243,14.75,8.85,11.8,11.8,11.8,0.02,0.037,0.026,0.016,0.036,0.021,0.029,0.029,0.029
1950,8.33,15.25,10.77,6.67,0.255,14.75,8.85,11.8,11.8,11.8,0.021,0.039,0.027,0.017,0.038,0.023,0.03,0.03,0.03
1951,8.33,15.25,10.77,6.67,0.268,14.75,8.85,11.8,11.8,11.8,0.022,0.041,0.029,0.018,0.039,0.024,0.032,0.032,0.032
1952,8.33,15.25,10.77,6.67,0.281,14.75,8.85,11.8,11.8,11.8,0.023,0.043,0.03,0.019,0.041,0.025,0.033,0.033,0.033
1953,8.33,15.25,10.77,6.67,0.295,14.75,8.85,11.8,11.8,11.8,0.025,0.045,0.032,0.02,0.044,0.026,0.035,0.035,0.035
1954,8.33,15.25,10.77,6.67,0.31,14.75,8.85,11.8,11.8,11.8,0.026,0.047,0.033,0.021,0.046,0.027,0.037,0.037,0.037
1955,8.33,15.25,10.77,6.67,0.325,14.75,8.85,11.8,11.8,11.8,0.027,0.05,0.035,0.022,0.048,0.029,0.038,0.038,0.038
1956,8.33,15.25,10.77,6.67,0.342,14.75,8.85,11.8,11.8,11.8,0.028,0.052,0.037,0.023,0.05,0.03,0.04,0.04,0.04
1957,8.33,15.25,10.77,6.67,0.359,14.75,8.85,11.8,11.8,11.8,0.03,0.055,0.039,0.024,0.053,0.032,0.042,0.042,0.042
1958,8.33,15.25,10.77,6.67,0.377,14.75,8.85,11.8,11.8,11.8,0.031,0.057,0.041,0.025,0.056,0.033,0.044,0.044,0.044
1959,8.33,15.25,10.77,6.67,0.396,14.75,8.85,11.8,11.8,11.8,0.033,0.06,0.043,0.026,0.058,0.035,0.047,0.047,0.047
1960,8.33,15.25,10.77,6.67,0.415,14.75,8.85,11.8,11.8,11.8,0.035,0.063,0.045,0.028,0.061,0.037,0.049,0.049,0.049
1961,8.33,15.25,10.77,6.67,0.468,14.75,8.85,11.8,11.8,11.8,0.039,0.071,0.05,0.031,0.069,0.041,0.055,0.055,0.055
1962,8.33,15.25,10.77,6.67,0.53,14.75,8.85,11.8,11.8,11.8,0.044,0.081,0.057,0.035,0.078,0.047,0.063,0.063,0.063
1963,8.33,15.25,10.77,6.67,0.581,14.75,8.85,11.8,11.8,11.8,0.048,0.089,0.063,0.039,0.086,0.051,0.069,0.069,0.069
1964,8.33,15.25,10.77,6.67,0.703,14.75,8.85,11.8,11.8,11.8,0.059,0.107,0.076,0.047,0.104,0.062,0.083,0.083,0.083
1965,8.33,15.25,10.77,6.67,0.834,14.75,8.85,11.8,11.8,11.8,0.069,0.127,0.09,0.056,0.123,0.074,0.098,0.098,0.098
1966,8.33,15.25,10.77,6.67,0.987,14.75,8.85,11.8,11.8,11.8,0.082,0.15,0.106,0.066,0.146,0.087,0.116,0.116,0.116
1967,8.33,15.25,10.77,6.67,1.0,14.75,8.85,11.8,11.8,11.8,0.083,0.153,0.108,0.067,0.148,0.089,0.118,0.118,0.118
1968,8.33,15.25,10.77,6.67,0.926,14.75,8.85,11.8,11.8,11.8,0.077,0.141,0.1,0.062,0.137,0.082,0.109,0.109,0.109
1969,8.33,15.25,10.77,6.67,1.037,14.75,8.85,11.8,11.8,11.8,0.086,0.158,0.112,0.069,0.153,0.092,0.122,0.122,0.122
