Year,Defense_Percentage,Education_Percentage,Health_Percentage,Interest_Payments_Percentage,Total_Budget_Billions_USD,Infrastructure_Percentage,Agriculture_Percentage,State_Transfers_Percentage,Social_Welfare_Percentage,Administration_and_Others_Percentage,Defense_Amount_Billions_USD,Education_Amount_Billions_USD,Health_Amount_Billions_USD,Interest_Payments_Amount_Billions_USD,Infrastructure_Amount_Billions_USD,Agriculture_Amount_Billions_USD,State_Transfers_Amount_Billions_USD,Social_Welfare_Amount_Billions_USD,Administration_and_Others_Amount_Billions_USD
1946,12.48,15.24,6.52,39.38,0.818,7.91,3.96,3.96,3.96,6.59,0.102,0.125,0.053,0.322,0.065,0.032,0.032,0.032,0.054
1947,12.48,15.24,6.52,39.38,0.859,7.91,3.96,3.96,3.96,6.59,0.107,0.131,0.056,0.338,0.068,0.034,0.034,0.034,0.057
1948,12.48,15.24,6.52,39.38,0.902,7.91,3.96,3.96,3.96,6.59,0.113,0.137,0.059,0.355,0.071,0.036,0.036,0.036,0.059
1949,12.48,15.24,6.52,39.38,0.947,7.91,3.96,3.96,3.96,6.59,0.118,0.144,0.062,0.373,0.075,0.037,0.037,0.037,0.062
1950,12.48,15.24,6.52,39.38,0.994,7.91,3.96,3.96,3.96,6.59,0.124,0.152,0.065,0.392,0.079,0.039,0.039,0.039,0.066
1951,12.48,15.24,6.52,39.38,1.044,7.91,3.96,3.96,3.96,6.59,0.13,0.159,0.068,0.411,0.083,0.041,0.041,0.041,0.069
1952,12.48,15.24,6.52,39.38,1.096,7.91,3.96,3.96,3.96,6.59,0.137,0.167,0.071,0.432,0.087,0.043,0.043,0.043,0.072
1953,12.48,15.24,6.52,39.38,1.151,7.91,3.96,3.96,3.96,6.59,0.144,0.175,0.075,0.453,0.091,0.046,0.046,0.046,0.076
1954,12.48,15.24,6.52,39.38,1.209,7.91,3.96,3.96,3.96,6.59,0.151,0.184,0.079,0.476,0.096,0.048,0.048,0.048,0.08
1955,12.48,15.24,6.52,39.38,1.269,7.91,3.96,3.96,3.96,6.59,0.158,0.193,0.083,0.5,0.1,0.05,0.05,0.05,0.084
1956,12.48,15.24,6.52,39.38,1.332,7.91,3.96,3.96,3.96,6.59,0.166,0.203,0.087,0.525,0.105,0.053,0.053,0.053,0.088
1957,12.48,15.24,6.52,39.38,1.399,7.91,3.96,3.96,3.96,6.59,0.175,0.213,0.091,0.551,0.111,0.055,0.055,0.055,0.092
1958,12.48,15.24,6.52,39.38,1.469,7.91,3.96,3.96,3.96,6.59,0.183,0.224,0.096,0.578,0.116,0.058,0.058,0.058,0.097
1959,12.48,15.24,6.52,39.38,1.542,7.91,3.96,3.96,3.96,6.59,0.192,0.235,0.101,0.607,0.122,0.061,0.061,0.061,0.102
1960,12.48,15.24,6.52,39.38,1.62,7.91,3.96,3.96,3.96,6.59,0.202,0.247,0.106,0.638,0.128,0.064,0.064,0.064,0.107
1961,12.48,15.24,6.52,39.38,1.761,7.91,3.96,3.96,3.96,6.59,0.22,0.268,0.115,0.693,0.139,0.07,0.07,0.07,0.116
1962,12.48,15.24,6.52,39.38,1.068,7.91,3.96,3.96,3.96,6.59,0.133,0.163,0.07,0.42,0.084,0.042,0.042,0.042,0.07
1963,12.48,15.24,6.52,39.38,1.186,7.91,3.96,3.96,3.96,6.59,0.148,0.181,0.077,0.467,0.094,0.047,0.047,0.047,0.078
1964,12.48,15.24,6.52,39.38,1.283,7.91,3.96,3.96,3.96,6.59,0.16,0.196,0.084,0.505,0.101,0.051,0.051,0.051,0.085
1965,12.48,15.24,6.52,39.38,1.404,7.91,3.96,3.96,3.96,6.59,0.175,0.214,0.092,0.553,0.111,0.056,0.056,0.056,0.093
1966,12.48,15.24,6.52,39.38,1.549,7.91,3.96,3.96,3.96,6.59,0.193,0.236,0.101,0.61,0.123,0.061,0.061,0.061,0.102
1967,12.48,15.24,6.52,39.38,1.665,7.91,3.96,3.96,3.96,6.59,0.208,0.254,0.109,0.656,0.132,0.066,0.066,0.066,0.11
1968,12.48,15.24,6.52,39.38,1.86,7.91,3.96,3.96,3.96,6.59,0.232,0.283,0.121,0.733,0.147,0.074,0.074,0.074,0.123
1969,12.48,15.24,6.52,39.38,2.063,7.91,3.96,3.96,3.96,6.59,0.257,0.314,0.134,0.812,0.163,0.082,0.082,0.082,0.136
1970,12.48,15.24,6.52,39.38,1.629,7.91,3.96,3.96,3.96,6.59,0.203,0.248,0.106,0.641,0.129,0.065,0.065,0.065,0.107
1971,12.48,15.24,6.52,39.38,1.805,7.91,3.96,3.96,3.96,6.59,0.225,0.275,0.118,0.711,0.143,0.071,0.071,0.071,0.119
1972,12.48,15.24,6.52,39.38,1.954,7.91,3.96,3.96,3.96,6.59,0.244,0.298,0.127,0.769,0.155,0.077,0.077,0.077,0.129
1973,12.48,15.24,6.52,39.38,2.459,7.91,3.96,3.96,3.96,6.59,0.307,0.375,0.16,0.968,0.195,0.097,0.097,0.097,0.162
1974,12.48,15.24,6.52,39.38,3.363,7.91,3.96,3.96,3.96,6.59,0.42,0.513,0.219,1.324,0.266,0.133,0.133,0.133,0.222
1975,12.48,15.24,6.52,39.38,3.636,7.91,3.96,3.96,3.96,6.59,0.454,0.554,0.237,1.432,0.288,0.144,0.144,0.144,0.24
1976,12.48,15.24,6.52,39.38,4.176,7.91,3.96,3.96,3.96,6.59,0.521,0.636,0.272,1.645,0.33,0.165,0.165,0.165,0.275
1977,12.48,15.24,6.52,39.38,4.802,7.91,3.96,3.96,3.96,6.59,0.599,0.732,0.313,1.891,0.38,0.19,0.19,0.19,0.316
1978,12.48,15.24,6.52,39.38,5.551,7.91,3.96,3.96,3.96,6.59,0.693,0.846,0.362,2.186,0.439,0.22,0.22,0.22,0.366
1979,12.48,15.24,6.52,39.38,6.727,7.91,3.96,3.96,3.96,6.59,0.84,1.025,0.439,2.649,0.532,0.266,0.266,0.266,0.443
1980,12.48,15.24,6.52,39.38,7.94,7.91,3.96,3.96,3.96,6.59,0.991,1.21,0.518,3.127,0.628,0.314,0.314,0.314,0.523
1981,12.48,15.24,6.52,39.38,8.727,7.91,3.96,3.96,3.96,6.59,1.089,1.33,0.569,3.437,0.69,0.346,0.346,0.346,0.575
1982,12.48,15.24,6.52,39.38,9.095,7.91,3.96,3.96,3.96,6.59,1.135,1.386,0.593,3.581,0.719,0.36,0.36,0.36,0.599
1983,12.48,15.24,6.52,39.38,8.136,7.91,3.96,3.96,3.96,6.59,1.015,1.24,0.53,3.204,0.644,0.322,0.322,0.322,0.536
1984,12.48,15.24,6.52,39.38,7.699,7.91,3.96,3.96,3.96,6.59,0.961,1.173,0.502,3.032,0.609,0.305,0.305,0.305,0.507
1985,12.48,15.24,6.52,39.38,7.534,7.91,3.96,3.96,3.96,6.59,0.94,1.148,0.491,2.967,0.596,0.298,0.298,0.298,0.496
1986,12.48,15.24,6.52,39.38,7.324,7.91,3.96,3.96,3.96,6.59,0.914,1.116,0.477,2.884,0.579,0.29,0.29,0.29,0.483
1987,12.48,15.24,6.52,39.38,8.143,7.91,3.96,3.96,3.96,6.59,1.016,1.241,0.531,3.207,0.644,0.322,0.322,0.322,0.537
1988,12.48,15.24,6.52,39.38,9.298,7.91,3.96,3.96,3.96,6.59,1.16,1.417,0.606,3.662,0.736,0.368,0.368,0.368,0.613
1989,12.48,15.24,6.52,39.38,10.454,7.91,3.96,3.96,3.96,6.59,1.305,1.593,0.682,4.117,0.827,0.414,0.414,0.414,0.689
1990,10.01,15.24,6.52,39.38,10.884,8.65,4.33,4.33,4.33,7.21,1.089,1.659,0.71,4.286,0.941,0.471,0.471,0.471,0.785
1991,9.77,15.24,6.52,37.54,10.642,9.28,4.64,4.64,4.64,7.73,1.04,1.622,0.694,3.995,0.988,0.494,0.494,0.494,0.823
1992,9.69,15.24,6.52,36.32,12.577,9.67,4.83,4.83,4.83,8.06,1.219,1.917,0.82,4.568,1.216,0.607,0.607,0.607,1.014
1993,10.75,15.24,6.52,32.61,12.672,10.46,5.23,5.23,5.23,8.72,1.362,1.931,0.826,4.132,1.326,0.663,0.663,0.663,1.105
1994,9.67,15.24,6.52,28.07,16.833,12.15,6.08,6.08,6.08,10.13,1.628,2.565,1.098,4.725,2.045,1.023,1.023,1.023,1.705
1995,10.52,15.24,6.52,28.07,19.476,11.9,5.95,5.95,5.95,9.91,2.049,2.968,1.27,5.467,2.318,1.159,1.159,1.159,1.93
1996,10.12,17.57,6.52,28.07,21.778,11.32,5.66,5.66,5.66,9.43,2.204,3.826,1.42,6.113,2.465,1.233,1.233,1.233,2.054
1997,8.26,15.17,6.52,28.07,21.653,12.6,6.3,6.3,6.3,10.5,1.789,3.285,1.412,6.078,2.728,1.364,1.364,1.364,2.274
1998,8.09,18.18,6.52,28.07,17.14,11.74,5.87,5.87,5.87,9.79,1.387,3.116,1.118,4.811,2.012,1.006,1.006,1.006,1.678
1999,7.55,15.21,6.52,28.07,19.705,12.8,6.4,6.4,6.4,10.66,1.488,2.997,1.285,5.531,2.522,1.261,1.261,1.261,2.101
2000,7.48,15.21,6.52,28.07,19.252,12.82,6.41,6.41,6.41,10.68,1.44,2.928,1.255,5.404,2.468,1.234,1.234,1.234,2.056
2001,6.77,13.92,5.5,30.28,18.936,13.06,6.53,6.53,6.53,10.88,1.282,2.636,1.041,5.734,2.473,1.237,1.237,1.237,2.06
2002,6.92,14.07,4.75,28.41,20.06,13.75,6.88,6.88,6.88,11.46,1.388,2.822,0.953,5.699,2.758,1.38,1.38,1.38,2.299
2003,7.32,14.38,5.46,31.44,20.792,12.42,6.21,6.21,6.21,10.35,1.522,2.99,1.135,6.537,2.582,1.291,1.291,1.291,2.152
2004,6.76,12.75,5.62,34.3,21.224,12.17,6.09,6.09,6.09,10.14,1.435,2.706,1.193,7.28,2.583,1.293,1.293,1.293,2.152
2005,6.82,12.42,6.61,32.31,25.98,12.55,6.28,6.28,6.28,10.46,1.772,3.227,1.717,8.394,3.261,1.632,1.632,1.632,2.718
2006,6.89,13.27,6.63,33.86,27.259,11.8,5.9,5.9,5.9,9.84,1.878,3.617,1.807,9.23,3.217,1.608,1.608,1.608,2.682
