Year,Defense_Percentage,Education_Percentage,Health_Percentage,Interest_Payments_Percentage,Total_Budget_Billions_USD,Infrastructure_Percentage,Agriculture_Percentage,State_Transfers_Percentage,Social_Welfare_Percentage,Administration_and_Others_Percentage,Defense_Amount_Billions_USD,Education_Amount_Billions_USD,Health_Amount_Billions_USD,Interest_Payments_Amount_Billions_USD,Infrastructure_Amount_Billions_USD,Agriculture_Amount_Billions_USD,State_Transfers_Amount_Billions_USD,Social_Welfare_Amount_Billions_USD,Administration_and_Others_Amount_Billions_USD
1946,4.1,16.8,8.38,0.2,3.192,17.63,10.58,14.1,14.1,14.1,0.131,0.536,0.268,0.006,0.563,0.338,0.45,0.45,0.45
1947,4.1,16.8,8.38,0.2,3.352,17.63,10.58,14.1,14.1,14.1,0.137,0.563,0.281,0.007,0.591,0.355,0.473,0.473,0.473
1948,4.1,16.8,8.38,0.2,3.519,17.63,10.58,14.1,14.1,14.1,0.144,0.591,0.295,0.007,0.62,0.372,0.496,0.496,0.496
1949,4.1,16.8,8.38,0.2,3.695,17.63,10.58,14.1,14.1,14.1,0.152,0.621,0.31,0.007,0.652,0.391,0.521,0.521,0.521
1950,4.1,16.8,8.38,0.2,3.88,17.63,10.58,14.1,14.1,14.1,0.159,0.652,0.325,0.008,0.684,0.411,0.547,0.547,0.547
1951,4.1,16.8,8.38,0.2,4.074,17.63,10.58,14.1,14.1,14.1,0.167,0.684,0.341,0.008,0.718,0.431,0.574,0.574,0.574
1952,4.1,16.8,8.38,0.2,4.278,17.63,10.58,14.1,14.1,14.1,0.175,0.719,0.358,0.009,0.754,0.453,0.603,0.603,0.603
1953,4.1,16.8,8.38,0.2,4.492,17.63,10.58,14.1,14.1,14.1,0.184,0.755,0.376,0.009,0.792,0.475,0.633,0.633,0.633
1954,4.1,16.8,8.38,0.2,4.716,17.63,10.58,14.1,14.1,14.1,0.193,0.792,0.395,0.009,0.832,0.499,0.665,0.665,0.665
1955,4.1,16.8,8.38,0.2,4.952,17.63,10.58,14.1,14.1,14.1,0.203,0.832,0.415,0.01,0.873,0.524,0.698,0.698,0.698
1956,4.1,16.8,8.38,0.2,5.2,17.63,10.58,14.1,14.1,14.1,0.213,0.874,0.436,0.01,0.917,0.55,0.733,0.733,0.733
1957,4.1,16.8,8.38,0.2,5.46,17.63,10.58,14.1,14.1,14.1,0.224,0.917,0.458,0.011,0.963,0.578,0.77,0.77,0.77
1958,4.1,16.8,8.38,0.2,5.733,17.63,10.58,14.1,14.1,14.1,0.235,0.963,0.48,0.011,1.011,0.607,0.808,0.808,0.808
1959,4.1,16.8,8.38,0.2,6.019,17.63,10.58,14.1,14.1,14.1,0.247,1.011,0.504,0.012,1.061,0.637,0.849,0.849,0.849
1960,4.1,16.8,8.38,0.2,6.32,17.63,10.58,14.1,14.1,14.1,0.259,1.062,0.53,0.013,1.114,0.669,0.891,0.891,0.891
1961,4.1,16.8,8.38,0.2,6.636,17.63,10.58,14.1,14.1,14.1,0.272,1.115,0.556,0.013,1.17,0.702,0.936,0.936,0.936
1962,4.1,16.8,8.38,0.2,6.968,17.63,10.58,14.1,14.1,14.1,0.286,1.171,0.584,0.014,1.229,0.737,0.983,0.983,0.983
1963,4.1,16.8,8.38,0.2,7.317,17.63,10.58,14.1,14.1,14.1,0.3,1.229,0.613,0.015,1.29,0.774,1.032,1.032,1.032
1964,4.1,16.8,8.38,0.2,7.683,17.63,10.58,14.1,14.1,14.1,0.315,1.291,0.644,0.015,1.354,0.813,1.083,1.083,1.083
1965,4.1,16.8,8.38,0.2,8.067,17.63,10.58,14.1,14.1,14.1,0.331,1.355,0.676,0.016,1.422,0.853,1.137,1.137,1.137
1966,4.1,16.8,8.38,0.2,8.47,17.63,10.58,14.1,14.1,14.1,0.347,1.423,0.71,0.017,1.493,0.896,1.194,1.194,1.194
1967,4.1,16.8,8.38,0.2,8.894,17.63,10.58,14.1,14.1,14.1,0.365,1.494,0.745,0.018,1.568,0.941,1.254,1.254,1.254
1968,4.1,16.8,8.38,0.2,9.338,17.63,10.58,14.1,14.1,14.1,0.383,1.569,0.783,0.019,1.646,0.988,1.317,1.317,1.317
1969,4.1,16.8,8.38,0.2,9.805,17.63,10.58,14.1,14.1,14.1,0.402,1.647,0.822,0.02,1.729,1.037,1.383,1.383,1.383
1970,4.1,16.8,8.38,0.2,10.295,17.63,10.58,14.1,14.1,14.1,0.422,1.73,0.863,0.021,1.815,1.089,1.452,1.452,1.452
1971,4.1,16.8,8.38,0.2,10.81,17.63,10.58,14.1,14.1,14.1,0.443,1.816,0.906,0.022,1.906,1.144,1.524,1.524,1.524
1972,4.1,16.8,8.38,0.2,11.351,17.63,10.58,14.1,14.1,14.1,0.465,1.907,0.951,0.023,2.001,1.201,1.6,1.6,1.6
1973,4.1,16.8,8.38,0.2,11.918,17.63,10.58,14.1,14.1,14.1,0.489,2.002,0.999,0.024,2.101,1.261,1.68,1.68,1.68
1974,4.1,16.8,8.38,0.2,12.514,17.63,10.58,14.1,14.1,14.1,0.513,2.102,1.049,0.025,2.206,1.324,1.764,1.764,1.764
1975,4.1,16.8,8.38,0.2,13.14,17.63,10.58,14.1,14.1,14.1,0.539,2.207,1.101,0.026,2.317,1.39,1.853,1.853,1.853
1976,4.1,16.8,8.38,0.2,13.797,17.63,10.58,14.1,14.1,14.1,0.566,2.318,1.156,0.028,2.432,1.46,1.945,1.945,1.945
1977,4.1,16.8,8.38,0.2,14.487,17.63,10.58,14.1,14.1,14.1,0.594,2.434,1.214,0.029,2.554,1.533,2.043,2.043,2.043
1978,4.1,16.8,8.38,0.2,15.211,17.63,10.58,14.1,14.1,14.1,0.624,2.555,1.275,0.03,2.682,1.609,2.145,2.145,2.145
1979,4.1,16.8,8.38,0.2,15.972,17.63,10.58,14.1,14.1,14.1,0.655,2.683,1.338,0.032,2.816,1.69,2.252,2.252,2.252
1980,4.1,16.8,8.38,0.2,16.77,17.63,10.58,14.1,14.1,14.1,0.688,2.817,1.405,0.034,2.957,1.774,2.365,2.365,2.365
1981,4.1,16.8,8.38,0.2,17.609,17.63,10.58,14.1,14.1,14.1,0.722,2.958,1.476,0.035,3.104,1.863,2.483,2.483,2.483
1982,4.1,16.8,8.38,0.2,18.489,17.63,10.58,14.1,14.1,14.1,0.758,3.106,1.549,0.037,3.26,1.956,2.607,2.607,2.607
1983,4.1,16.8,8.38,0.2,19.413,17.63,10.58,14.1,14.1,14.1,0.796,3.261,1.627,0.039,3.423,2.054,2.737,2.737,2.737
1984,4.1,16.8,8.38,0.2,20.384,17.63,10.58,14.1,14.1,14.1,0.836,3.425,1.708,0.041,3.594,2.157,2.874,2.874,2.874
1985,4.1,16.8,8.38,0.63,21.403,17.52,10.51,14.02,14.02,14.02,0.878,3.596,1.794,0.135,3.75,2.249,3.001,3.001,3.001
1986,4.1,16.8,8.38,0.43,22.474,17.57,10.54,14.06,14.06,14.06,0.921,3.776,1.883,0.097,3.949,2.369,3.16,3.16,3.16
1987,4.1,16.8,8.38,0.54,23.597,17.55,10.53,14.04,14.04,14.04,0.967,3.964,1.977,0.127,4.141,2.485,3.313,3.313,3.313
1988,4.1,16.8,8.38,0.51,24.777,17.55,10.53,14.04,14.04,14.04,1.016,4.163,2.076,0.126,4.348,2.609,3.479,3.479,3.479
1989,4.1,16.8,8.38,9.64,26.016,15.27,9.16,12.22,12.22,12.22,1.067,4.371,2.18,2.508,3.973,2.383,3.179,3.179,3.179
1990,4.1,16.8,8.38,9.64,27.317,15.27,9.16,12.22,12.22,12.22,1.12,4.589,2.289,2.633,4.171,2.502,3.338,3.338,3.338
1991,4.1,16.8,8.38,9.64,35.4,15.27,9.16,12.22,12.22,12.22,1.451,5.947,2.967,3.413,5.406,3.243,4.326,4.326,4.326
1992,4.1,16.8,8.38,9.64,39.058,15.27,9.16,12.22,12.22,12.22,1.601,6.562,3.273,3.765,5.964,3.578,4.773,4.773,4.773
1993,4.1,16.8,8.38,9.64,39.765,15.27,9.16,12.22,12.22,12.22,1.63,6.68,3.332,3.833,6.072,3.642,4.859,4.859,4.859
1994,4.1,16.8,8.38,9.64,45.876,15.27,9.16,12.22,12.22,12.22,1.881,7.707,3.844,4.422,7.005,4.202,5.606,5.606,5.606
1995,4.1,16.8,8.38,9.33,68.827,15.35,9.21,12.28,12.28,12.28,2.822,11.563,5.768,6.422,10.565,6.339,8.452,8.452,8.452
1996,3.86,16.8,8.38,2.15,88.05,17.2,10.32,13.76,13.76,13.76,3.399,14.792,7.379,1.893,15.145,9.087,12.116,12.116,12.116
1997,4.38,11.28,8.38,9.47,74.493,16.62,9.97,13.3,13.3,13.3,3.263,8.403,6.242,7.054,12.381,7.427,9.908,9.908,9.908
1998,4.56,11.28,8.38,8.97,78.849,16.7,10.02,13.36,13.36,13.36,3.596,8.894,6.608,7.073,13.168,7.901,10.534,10.534,10.534
1999,4.5,10.89,8.38,6.93,75.738,17.32,10.39,13.86,13.86,13.86,3.408,8.248,6.347,5.249,13.118,7.869,10.497,10.497,10.497
2000,4.24,11.58,8.38,7.47,75.948,17.08,10.25,13.66,13.66,13.66,3.22,8.795,6.364,5.673,12.972,7.785,10.375,10.375,10.375
2001,4.24,11.87,8.89,7.62,87.545,16.84,10.11,13.48,13.48,13.48,3.712,10.392,7.783,6.671,14.743,8.851,11.801,11.801,11.801
2002,4.2,11.92,9.39,6.94,90.976,16.89,10.13,13.51,13.51,13.51,3.821,10.844,8.543,6.314,15.366,9.216,12.291,12.291,12.291
2003,4.18,11.68,8.95,7.03,101.856,17.04,10.22,13.63,13.63,13.63,4.258,11.897,9.116,7.16,17.356,10.41,13.883,13.883,13.883
2004,4.31,12.32,9.11,6.86,111.556,16.85,10.11,13.48,13.48,13.48,4.808,13.744,10.163,7.653,18.797,11.278,15.038,15.038,15.038
2005,4.35,12.27,8.99,6.3,130.588,17.02,10.21,13.62,13.62,13.62,5.681,16.023,11.74,8.227,22.226,13.333,17.786,17.786,17.786
2006,4.32,12.71,9.0,6.18,145.948,16.95,10.17,13.56,13.56,13.56,6.305,18.55,13.135,9.02,24.738,14.843,19.791,19.791,19.791
2007,4.67,11.35,9.54,5.83,173.534,17.15,10.29,13.72,13.72,13.72,8.104,19.696,16.555,10.117,29.761,17.857,23.809,23.809,23.809
2008,3.97,11.41,10.27,5.53,220.75,17.21,10.32,13.76,13.76,13.76,8.764,25.188,22.671,12.207,37.991,22.781,30.375,30.375,30.375
2009,3.99,11.08,10.5,6.34,186.351,17.02,10.21,13.62,13.62,13.62,7.435,20.648,19.567,11.815,31.717,19.026,25.381,25.381,25.381
2010,4.0,11.05,9.98,6.4,202.13,17.14,10.29,13.72,13.72,13.72,8.085,22.335,20.173,12.936,34.645,20.799,27.732,27.732,27.732
2011,4.06,10.95,10.05,6.76,211.623,17.04,10.23,13.64,13.64,13.64,8.592,23.173,21.268,14.306,36.061,21.649,28.865,28.865,28.865
2012,4.18,11.2,10.07,6.99,200.99,16.89,10.13,13.51,13.51,13.51,8.401,22.511,20.24,14.049,33.947,20.36,27.154,27.154,27.154
2013,4.14,11.57,10.49,6.58,214.17,16.8,10.08,13.44,13.44,13.44,8.867,24.779,22.466,14.092,35.981,21.588,28.784,28.784,28.784
2014,4.47,11.57,10.47,5.23,218.841,17.06,10.24,13.65,13.65,13.65,9.782,25.32,22.913,11.445,37.334,22.409,29.872,29.872,29.872
2015,5.13,11.54,10.63,4.82,188.61,16.97,10.18,13.58,13.58,13.58,9.676,21.766,20.049,9.091,32.007,19.2,25.613,25.613,25.613
2016,4.72,11.27,10.95,4.61,189.548,17.11,10.27,13.69,13.69,13.69,8.947,21.362,20.756,8.738,32.432,19.467,25.949,25.949,25.949
2017,4.59,11.04,10.94,4.3,208.335,17.28,10.37,13.82,13.82,13.82,9.563,23.0,22.792,8.958,36.0,21.604,28.792,28.792,28.792
2018,4.93,11.11,10.83,4.04,226.231,17.27,10.36,13.82,13.82,13.82,11.153,25.134,24.501,9.14,39.07,23.438,31.265,31.265,31.265
2019,4.72,11.17,11.01,3.73,234.628,17.34,10.41,13.87,13.87,13.87,11.074,26.208,25.833,8.752,40.685,24.425,32.543,32.543,32.543
2020,4.74,10.06,9.68,3.01,282.574,18.13,10.88,14.5,14.5,14.5,13.394,28.427,27.353,8.505,51.231,30.744,40.973,40.973,40.973
2021,5.09,10.6,10.53,2.83,293.452,17.74,10.64,14.19,14.19,14.19,14.937,31.106,30.901,8.305,52.058,31.223,41.641,41.641,41.641
2022,5.1,9.97,11.04,3.8,288.706,17.52,10.51,14.02,14.02,14.02,14.724,28.784,31.873,10.971,50.581,30.343,40.477,40.477,40.477
2023,6.98,9.97,11.75,4.79,365.579,16.63,9.98,13.3,13.3,13.3,25.517,36.448,42.955,17.511,60.796,36.485,48.622,48.622,48.622
2024,8.47,9.97,11.75,4.79,412.968,16.25,9.75,13.0,13.0,13.0,34.978,41.173,48.524,19.781,67.107,40.264,53.686,53.686,53.686
2025,8.47,9.97,11.75,4.79,465.94,16.25,9.75,13.0,13.0,13.0,39.465,46.454,54.748,22.319,75.715,45.429,60.572,60.572,60.572
2026,8.47,9.97,11.75,4.79,482.248,16.25,9.75,13.0,13.0,13.0,40.846,48.08,56.664,23.1,78.365,47.019,62.692,62.692,62.692
