Year,Defense_Percentage,Education_Percentage,Health_Percentage,Interest_Payments_Percentage,Total_Budget_Billions_USD,Infrastructure_Percentage,Agriculture_Percentage,State_Transfers_Percentage,Social_Welfare_Percentage,Administration_and_Others_Percentage,Defense_Amount_Billions_USD,Education_Amount_Billions_USD,Health_Amount_Billions_USD,Interest_Payments_Amount_Billions_USD,Infrastructure_Amount_Billions_USD,Agriculture_Amount_Billions_USD,State_Transfers_Amount_Billions_USD,Social_Welfare_Amount_Billions_USD,Administration_and_Others_Amount_Billions_USD
1946,4.36,7.21,14.06,2.56,0.481,10.77,7.18,14.36,25.13,14.36,0.021,0.035,0.068,0.012,0.052,0.035,0.069,0.121,0.069
1947,4.36,7.21,14.06,2.56,0.505,10.77,7.18,14.36,25.13,14.36,0.022,0.036,0.071,0.013,0.054,0.036,0.072,0.127,0.072
1948,4.36,7.21,14.06,2.56,0.53,10.77,7.18,14.36,25.13,14.36,0.023,0.038,0.074,0.014,0.057,0.038,0.076,0.133,0.076
1949,4.36,7.21,14.06,2.56,0.556,10.77,7.18,14.36,25.13,14.36,0.024,0.04,0.078,0.014,0.06,0.04,0.08,0.14,0.08
1950,4.36,7.21,14.06,2.56,0.584,10.77,7.18,14.36,25.13,14.36,0.025,0.042,0.082,0.015,0.063,0.042,0.084,0.147,0.084
1951,4.36,7.21,14.06,2.56,0.613,10.77,7.18,14.36,25.13,14.36,0.027,0.044,0.086,0.016,0.066,0.044,0.088,0.154,0.088
1952,4.36,7.21,14.06,2.56,0.644,10.77,7.18,14.36,25.13,14.36,0.028,0.046,0.091,0.016,0.069,0.046,0.092,0.162,0.092
1953,4.36,7.21,14.06,2.56,0.676,10.77,7.18,14.36,25.13,14.36,0.029,0.049,0.095,0.017,0.073,0.049,0.097,0.17,0.097
1954,4.36,7.21,14.06,2.56,0.71,10.77,7.18,14.36,25.13,14.36,0.031,0.051,0.1,0.018,0.076,0.051,0.102,0.178,0.102
1955,4.36,7.21,14.06,2.56,0.746,10.77,7.18,14.36,25.13,14.36,0.033,0.054,0.105,0.019,0.08,0.054,0.107,0.187,0.107
1956,4.36,7.21,14.06,2.56,0.783,10.77,7.18,14.36,25.13,14.36,0.034,0.056,0.11,0.02,0.084,0.056,0.112,0.197,0.112
1957,4.36,7.21,14.06,2.56,0.822,10.77,7.18,14.36,25.13,14.36,0.036,0.059,0.116,0.021,0.089,0.059,0.118,0.207,0.118
1958,4.36,7.21,14.06,2.56,0.863,10.77,7.18,14.36,25.13,14.36,0.038,0.062,0.121,0.022,0.093,0.062,0.124,0.217,0.124
1959,4.36,7.21,14.06,2.56,0.906,10.77,7.18,14.36,25.13,14.36,0.04,0.065,0.127,0.023,0.098,0.065,0.13,0.228,0.13
1960,4.36,7.21,14.06,2.56,0.952,10.77,7.18,14.36,25.13,14.36,0.041,0.069,0.134,0.024,0.102,0.068,0.137,0.239,0.137
1961,4.36,7.21,14.06,2.56,1.018,10.77,7.18,14.36,25.13,14.36,0.044,0.073,0.143,0.026,0.11,0.073,0.146,0.256,0.146
1962,4.36,7.21,14.06,2.56,1.093,10.77,7.18,14.36,25.13,14.36,0.048,0.079,0.154,0.028,0.118,0.078,0.157,0.275,0.157
1963,4.36,7.21,14.06,2.56,1.164,10.77,7.18,14.36,25.13,14.36,0.051,0.084,0.164,0.03,0.125,0.084,0.167,0.292,0.167
