Year,Defense_Percentage,Education_Percentage,Health_Percentage,Interest_Payments_Percentage,Total_Budget_Billions_USD,Infrastructure_Percentage,Agriculture_Percentage,State_Transfers_Percentage,Social_Welfare_Percentage,Administration_and_Others_Percentage,Defense_Amount_Billions_USD,Education_Amount_Billions_USD,Health_Amount_Billions_USD,Interest_Payments_Amount_Billions_USD,Infrastructure_Amount_Billions_USD,Agriculture_Amount_Billions_USD,State_Transfers_Amount_Billions_USD,Social_Welfare_Amount_Billions_USD,Administration_and_Others_Amount_Billions_USD
1946,11.82,14.73,5.0,3.21,2.198,16.31,9.79,13.05,13.05,13.05,0.26,0.324,0.11,0.071,0.358,0.215,0.287,0.287,0.287
1947,11.82,14.73,5.0,3.21,2.308,16.31,9.79,13.05,13.05,13.05,0.273,0.34,0.115,0.074,0.376,0.226,0.301,0.301,0.301
1948,11.82,14.73,5.0,3.21,2.423,16.31,9.79,13.05,13.05,13.05,0.286,0.357,0.121,0.078,0.395,0.237,0.316,0.316,0.316
1949,11.82,14.73,5.0,3.21,2.544,16.31,9.79,13.05,13.05,13.05,0.301,0.375,0.127,0.082,0.415,0.249,0.332,0.332,0.332
1950,11.82,14.73,5.0,3.21,2.671,16.31,9.79,13.05,13.05,13.05,0.316,0.393,0.134,0.086,0.436,0.262,0.349,0.349,0.349
1951,11.82,14.73,5.0,3.21,2.805,16.31,9.79,13.05,13.05,13.05,0.332,0.413,0.14,0.09,0.457,0.275,0.366,0.366,0.366
1952,11.82,14.73,5.0,3.21,2.945,16.31,9.79,13.05,13.05,13.05,0.348,0.434,0.147,0.095,0.48,0.288,0.384,0.384,0.384
1953,11.82,14.73,5.0,3.21,3.092,16.31,9.79,13.05,13.05,13.05,0.366,0.456,0.155,0.099,0.504,0.303,0.404,0.404,0.404
1954,11.82,14.73,5.0,3.21,3.247,16.31,9.79,13.05,13.05,13.05,0.384,0.478,0.162,0.104,0.53,0.318,0.424,0.424,0.424
1955,11.82,14.73,5.0,3.21,3.409,16.31,9.79,13.05,13.05,13.05,0.403,0.502,0.17,0.109,0.556,0.334,0.445,0.445,0.445
1956,11.82,14.73,5.0,3.21,3.58,16.31,9.79,13.05,13.05,13.05,0.423,0.527,0.179,0.115,0.584,0.35,0.467,0.467,0.467
1957,11.82,14.73,5.0,3.21,3.759,16.31,9.79,13.05,13.05,13.05,0.444,0.554,0.188,0.121,0.613,0.368,0.491,0.491,0.491
1958,11.82,14.73,5.0,3.21,3.947,16.31,9.79,13.05,13.05,13.05,0.467,0.581,0.197,0.127,0.644,0.386,0.515,0.515,0.515
1959,11.82,14.73,5.0,3.21,4.144,16.31,9.79,13.05,13.05,13.05,0.49,0.61,0.207,0.133,0.676,0.406,0.541,0.541,0.541
1960,11.82,14.73,5.0,3.21,4.351,16.31,9.79,13.05,13.05,13.05,0.514,0.641,0.218,0.14,0.71,0.426,0.568,0.568,0.568
1961,11.82,14.73,5.0,3.21,4.569,16.31,9.79,13.05,13.05,13.05,0.54,0.673,0.228,0.147,0.745,0.447,0.596,0.596,0.596
1962,11.82,14.73,5.0,3.21,4.797,16.31,9.79,13.05,13.05,13.05,0.567,0.707,0.24,0.154,0.782,0.47,0.626,0.626,0.626
1963,11.82,14.73,5.0,3.21,5.037,16.31,9.79,13.05,13.05,13.05,0.595,0.742,0.252,0.162,0.822,0.493,0.657,0.657,0.657
1964,11.82,14.73,5.0,3.21,5.289,16.31,9.79,13.05,13.05,13.05,0.625,0.779,0.264,0.17,0.863,0.518,0.69,0.69,0.69
1965,11.82,14.73,5.0,3.21,5.553,16.31,9.79,13.05,13.05,13.05,0.656,0.818,0.278,0.178,0.906,0.544,0.725,0.725,0.725
1966,11.82,14.73,5.0,3.21,5.831,16.31,9.79,13.05,13.05,13.05,0.689,0.859,0.292,0.187,0.951,0.571,0.761,0.761,0.761
1967,11.82,14.73,5.0,3.21,6.123,16.31,9.79,13.05,13.05,13.05,0.724,0.902,0.306,0.197,0.999,0.599,0.799,0.799,0.799
1968,11.82,14.73,5.0,3.21,6.429,16.31,9.79,13.05,13.05,13.05,0.76,0.947,0.321,0.206,1.049,0.629,0.839,0.839,0.839
1969,11.82,14.73,5.0,3.21,6.75,16.31,9.79,13.05,13.05,13.05,0.798,0.994,0.338,0.217,1.101,0.661,0.881,0.881,0.881
1970,11.82,14.73,5.0,3.21,7.088,16.31,9.79,13.05,13.05,13.05,0.838,1.044,0.354,0.228,1.156,0.694,0.925,0.925,0.925
1971,11.82,14.73,5.0,3.21,7.442,16.31,9.79,13.05,13.05,13.05,0.88,1.096,0.372,0.239,1.214,0.729,0.971,0.971,0.971
1972,11.82,14.73,5.0,3.21,7.814,16.31,9.79,13.05,13.05,13.05,0.924,1.151,0.391,0.251,1.275,0.765,1.02,1.02,1.02
1973,11.82,14.73,5.0,3.21,8.205,16.31,9.79,13.05,13.05,13.05,0.97,1.209,0.41,0.263,1.338,0.803,1.071,1.071,1.071
1974,11.82,14.73,5.0,3.21,8.615,16.31,9.79,13.05,13.05,13.05,1.018,1.269,0.431,0.277,1.405,0.843,1.124,1.124,1.124
1975,11.82,14.73,5.0,3.21,9.046,16.31,9.79,13.05,13.05,13.05,1.069,1.332,0.452,0.29,1.475,0.886,1.18,1.18,1.18
1976,11.82,14.73,5.0,3.21,9.498,16.31,9.79,13.05,13.05,13.05,1.123,1.399,0.475,0.305,1.549,0.93,1.24,1.24,1.24
1977,11.82,14.73,5.0,3.21,9.973,16.31,9.79,13.05,13.05,13.05,1.179,1.469,0.499,0.32,1.627,0.976,1.301,1.301,1.301
1978,11.82,14.73,5.0,3.21,10.472,16.31,9.79,13.05,13.05,13.05,1.238,1.543,0.524,0.336,1.708,1.025,1.367,1.367,1.367
1979,11.82,14.73,5.0,3.21,10.995,16.31,9.79,13.05,13.05,13.05,1.3,1.62,0.55,0.353,1.793,1.076,1.435,1.435,1.435
1980,11.82,14.73,5.0,3.21,11.545,16.31,9.79,13.05,13.05,13.05,1.365,1.701,0.577,0.371,1.883,1.13,1.507,1.507,1.507
1981,11.82,14.73,5.0,3.21,12.122,16.31,9.79,13.05,13.05,13.05,1.433,1.786,0.606,0.389,1.977,1.187,1.582,1.582,1.582
1982,11.82,14.73,5.0,3.21,10.178,16.31,9.79,13.05,13.05,13.05,1.203,1.499,0.509,0.327,1.66,0.996,1.328,1.328,1.328
1983,11.82,14.73,5.0,3.21,9.24,16.31,9.79,13.05,13.05,13.05,1.092,1.361,0.462,0.297,1.507,0.905,1.206,1.206,1.206
1984,11.82,14.73,5.0,3.21,10.169,16.31,9.79,13.05,13.05,13.05,1.202,1.498,0.508,0.326,1.659,0.996,1.327,1.327,1.327
1985,11.82,14.73,5.0,3.21,15.386,16.31,9.79,13.05,13.05,13.05,1.819,2.266,0.769,0.494,2.509,1.506,2.008,2.008,2.008
1986,11.82,14.73,5.0,2.01,16.501,16.61,9.97,13.29,13.29,13.29,1.95,2.431,0.825,0.332,2.741,1.645,2.193,2.193,2.193
1987,11.82,14.73,5.0,2.07,16.59,16.59,9.96,13.28,13.28,13.28,1.961,2.444,0.829,0.343,2.752,1.652,2.203,2.203,2.203
1988,11.82,14.73,5.0,1.21,15.865,16.81,10.09,13.45,13.45,13.45,1.875,2.337,0.793,0.192,2.667,1.601,2.134,2.134,2.134
1989,11.82,14.73,5.0,0.32,17.783,17.03,10.22,13.63,13.63,13.63,2.102,2.619,0.889,0.057,3.028,1.817,2.424,2.424,2.424
1990,11.82,14.73,5.0,0.12,13.68,17.08,10.25,13.67,13.67,13.67,1.617,2.015,0.684,0.016,2.337,1.402,1.87,1.87,1.87
1991,12.38,14.73,5.0,0.12,10.178,16.94,10.17,13.55,13.55,13.55,1.26,1.499,0.509,0.012,1.724,1.035,1.379,1.379,1.379
1992,10.12,14.73,5.0,0.64,10.306,17.38,10.43,13.9,13.9,13.9,1.043,1.518,0.515,0.066,1.791,1.075,1.433,1.433,1.433
1993,8.11,14.73,5.0,2.64,8.454,17.38,10.43,13.9,13.9,13.9,0.686,1.245,0.423,0.223,1.469,0.882,1.175,1.175,1.175
1994,9.32,14.73,5.0,4.38,9.603,16.64,9.99,13.31,13.31,13.31,0.895,1.414,0.48,0.421,1.598,0.959,1.278,1.278,1.278
1995,7.98,14.73,5.0,5.73,11.089,16.64,9.99,13.31,13.31,13.31,0.885,1.633,0.554,0.635,1.845,1.108,1.476,1.476,1.476
1996,7.33,14.73,5.0,6.64,10.654,16.58,9.95,13.26,13.26,13.26,0.781,1.569,0.533,0.707,1.766,1.06,1.413,1.413,1.413
1997,9.0,8.19,5.0,14.79,11.404,15.76,9.45,12.6,12.6,12.6,1.026,0.934,0.57,1.687,1.797,1.078,1.437,1.437,1.437
1998,8.49,8.19,5.0,12.49,14.26,16.46,9.87,13.17,13.17,13.17,1.211,1.168,0.713,1.781,2.347,1.407,1.878,1.878,1.878
1999,7.57,8.19,5.0,14.73,13.23,16.13,9.68,12.9,12.9,12.9,1.001,1.084,0.661,1.949,2.134,1.281,1.707,1.707,1.707
2000,7.17,8.19,5.0,11.47,13.743,17.04,10.23,13.64,13.64,13.64,0.985,1.126,0.687,1.576,2.342,1.406,1.875,1.875,1.875
2001,7.36,9.85,5.0,10.23,14.369,16.89,10.13,13.51,13.51,13.51,1.058,1.415,0.718,1.47,2.427,1.456,1.941,1.941,1.941
2002,7.15,10.92,5.0,7.69,15.717,17.31,10.39,13.85,13.85,13.85,1.124,1.716,0.786,1.209,2.721,1.633,2.177,2.177,2.177
2003,6.8,11.14,5.0,5.17,19.542,17.97,10.78,14.38,14.38,14.38,1.329,2.177,0.977,1.01,3.512,2.107,2.81,2.81,2.81
2004,6.06,9.84,5.0,4.65,25.072,18.61,11.17,14.89,14.89,14.89,1.519,2.467,1.254,1.166,4.666,2.801,3.733,3.733,3.733
2005,6.21,10.84,5.0,3.91,32.77,18.51,11.11,14.81,14.81,14.81,2.035,3.552,1.638,1.281,6.066,3.641,4.853,4.853,4.853
2006,5.45,12.72,5.0,2.4,41.186,18.61,11.16,14.89,14.89,14.89,2.245,5.239,2.059,0.988,7.665,4.596,6.133,6.133,6.133
2007,4.32,12.0,5.0,1.93,61.413,19.19,11.51,15.35,15.35,15.35,2.653,7.37,3.071,1.185,11.785,7.069,9.427,9.427,9.427
2008,3.97,11.62,5.0,1.94,73.673,19.37,11.62,15.5,15.5,15.5,2.925,8.561,3.684,1.429,14.27,8.561,11.419,11.419,11.419
2009,3.52,11.02,5.0,4.8,65.356,18.91,11.35,15.13,15.13,15.13,2.301,7.202,3.268,3.137,12.359,7.418,9.888,9.888,9.888
