Year,Defense_Percentage,Education_Percentage,Health_Percentage,Interest_Payments_Percentage,Total_Budget_Billions_USD,Infrastructure_Percentage,Agriculture_Percentage,State_Transfers_Percentage,Social_Welfare_Percentage,Administration_and_Others_Percentage,Defense_Amount_Billions_USD,Education_Amount_Billions_USD,Health_Amount_Billions_USD,Interest_Payments_Amount_Billions_USD,Infrastructure_Amount_Billions_USD,Agriculture_Amount_Billions_USD,State_Transfers_Amount_Billions_USD,Social_Welfare_Amount_Billions_USD,Administration_and_Others_Amount_Billions_USD
1946,6.91,8.95,9.72,16.64,27.24,14.44,8.67,11.56,11.56,11.56,1.882,2.438,2.648,4.533,3.933,2.362,3.149,3.149,3.149
1947,6.91,8.95,9.72,16.64,28.602,14.44,8.67,11.56,11.56,11.56,1.976,2.56,2.78,4.759,4.13,2.48,3.306,3.306,3.306
1948,6.91,8.95,9.72,16.64,30.032,14.44,8.67,11.56,11.56,11.56,2.075,2.688,2.919,4.997,4.337,2.604,3.472,3.472,3.472
1949,6.91,8.95,9.72,16.64,31.533,14.44,8.67,11.56,11.56,11.56,2.179,2.822,3.065,5.247,4.553,2.734,3.645,3.645,3.645
1950,6.91,8.95,9.72,16.64,33.11,14.44,8.67,11.56,11.56,11.56,2.288,2.963,3.218,5.509,4.781,2.871,3.828,3.828,3.828
1951,6.91,8.95,9.72,16.64,34.765,14.44,8.67,11.56,11.56,11.56,2.402,3.112,3.379,5.785,5.02,3.014,4.019,4.019,4.019
1952,6.91,8.95,9.72,16.64,36.504,14.44,8.67,11.56,11.56,11.56,2.522,3.267,3.548,6.074,5.271,3.165,4.22,4.22,4.22
1953,6.91,8.95,9.72,16.64,38.329,14.44,8.67,11.56,11.56,11.56,2.649,3.43,3.726,6.378,5.535,3.323,4.431,4.431,4.431
1954,6.91,8.95,9.72,16.64,40.245,14.44,8.67,11.56,11.56,11.56,2.781,3.602,3.912,6.697,5.811,3.489,4.652,4.652,4.652
1955,6.91,8.95,9.72,16.64,42.258,14.44,8.67,11.56,11.56,11.56,2.92,3.782,4.107,7.032,6.102,3.664,4.885,4.885,4.885
1956,6.91,8.95,9.72,16.64,44.37,14.44,8.67,11.56,11.56,11.56,3.066,3.971,4.313,7.383,6.407,3.847,5.129,5.129,5.129
1957,6.91,8.95,9.72,16.64,46.589,14.44,8.67,11.56,11.56,11.56,3.219,4.17,4.528,7.752,6.727,4.039,5.386,5.386,5.386
1958,6.91,8.95,9.72,16.64,48.918,14.44,8.67,11.56,11.56,11.56,3.38,4.378,4.755,8.14,7.064,4.241,5.655,5.655,5.655
1959,6.91,8.95,9.72,16.64,51.364,14.44,8.67,11.56,11.56,11.56,3.549,4.597,4.993,8.547,7.417,4.453,5.938,5.938,5.938
1960,6.91,8.95,9.72,16.64,53.933,14.44,8.67,11.56,11.56,11.56,3.727,4.827,5.242,8.974,7.788,4.676,6.235,6.235,6.235
1961,6.91,8.95,9.72,16.64,56.629,14.44,8.67,11.56,11.56,11.56,3.913,5.068,5.504,9.423,8.177,4.91,6.546,6.546,6.546
1962,6.91,8.95,9.72,16.64,59.461,14.44,8.67,11.56,11.56,11.56,4.109,5.322,5.78,9.894,8.586,5.155,6.874,6.874,6.874
1963,6.91,8.95,9.72,16.64,62.434,14.44,8.67,11.56,11.56,11.56,4.314,5.588,6.069,10.389,9.015,5.413,7.217,7.217,7.217
1964,6.91,8.95,9.72,16.64,65.555,14.44,8.67,11.56,11.56,11.56,4.53,5.867,6.372,10.908,9.466,5.684,7.578,7.578,7.578
1965,6.91,8.95,9.72,16.64,68.833,14.44,8.67,11.56,11.56,11.56,4.756,6.161,6.691,11.454,9.94,5.968,7.957,7.957,7.957
1966,6.91,8.95,9.72,16.64,72.275,14.44,8.67,11.56,11.56,11.56,4.994,6.469,7.025,12.027,10.436,6.266,8.355,8.355,8.355
1967,6.91,8.95,9.72,16.64,75.889,14.44,8.67,11.56,11.56,11.56,5.244,6.792,7.376,12.628,10.958,6.58,8.773,8.773,8.773
1968,6.91,8.95,9.72,16.64,79.683,14.44,8.67,11.56,11.56,11.56,5.506,7.132,7.745,13.259,11.506,6.909,9.211,9.211,9.211
1969,6.91,8.95,9.72,16.64,83.667,14.44,8.67,11.56,11.56,11.56,5.781,7.488,8.132,13.922,12.082,7.254,9.672,9.672,9.672
1970,6.91,8.95,9.72,16.64,87.851,14.44,8.67,11.56,11.56,11.56,6.07,7.863,8.539,14.618,12.686,7.617,10.156,10.156,10.156
1971,6.91,8.95,9.72,16.64,92.243,14.44,8.67,11.56,11.56,11.56,6.374,8.256,8.966,15.349,13.32,7.997,10.663,10.663,10.663
1972,6.91,8.95,9.72,16.64,96.855,14.44,8.67,11.56,11.56,11.56,6.693,8.669,9.414,16.117,13.986,8.397,11.196,11.196,11.196
1973,6.91,8.95,9.72,16.64,101.698,14.44,8.67,11.56,11.56,11.56,7.027,9.102,9.885,16.923,14.685,8.817,11.756,11.756,11.756
1974,6.91,8.95,9.72,16.64,106.783,14.44,8.67,11.56,11.56,11.56,7.379,9.557,10.379,17.769,15.419,9.258,12.344,12.344,12.344
1975,6.91,8.95,9.72,16.64,112.122,14.44,8.67,11.56,11.56,11.56,7.748,10.035,10.898,18.657,16.19,9.721,12.961,12.961,12.961
1976,6.91,8.95,9.72,16.64,117.728,14.44,8.67,11.56,11.56,11.56,8.135,10.537,11.443,19.59,17.0,10.207,13.609,13.609,13.609
1977,6.91,8.95,9.72,16.64,123.614,14.44,8.67,11.56,11.56,11.56,8.542,11.063,12.015,20.569,17.85,10.717,14.29,14.29,14.29
1978,6.91,8.95,9.72,16.64,129.795,14.44,8.67,11.56,11.56,11.56,8.969,11.617,12.616,21.598,18.742,11.253,15.004,15.004,15.004
1979,6.91,8.95,9.72,16.64,136.285,14.44,8.67,11.56,11.56,11.56,9.417,12.198,13.247,22.678,19.68,11.816,15.755,15.755,15.755
1980,6.91,8.95,9.72,16.64,143.099,14.44,8.67,11.56,11.56,11.56,9.888,12.807,13.909,23.812,20.664,12.407,16.542,16.542,16.542
1981,6.91,8.95,9.72,16.64,150.254,14.44,8.67,11.56,11.56,11.56,10.383,13.448,14.605,25.002,21.697,13.027,17.369,17.369,17.369
1982,6.91,8.95,9.72,16.64,157.767,14.44,8.67,11.56,11.56,11.56,10.902,14.12,15.335,26.252,22.782,13.678,18.238,18.238,18.238
1983,6.91,8.95,9.72,16.64,165.655,14.44,8.67,11.56,11.56,11.56,11.447,14.826,16.102,27.565,23.921,14.362,19.15,19.15,19.15
1984,6.91,8.95,9.72,16.64,173.938,14.44,8.67,11.56,11.56,11.56,12.019,15.567,16.907,28.943,25.117,15.08,20.107,20.107,20.107
1985,6.91,8.95,9.72,16.64,182.635,14.44,8.67,11.56,11.56,11.56,12.62,16.346,17.752,30.39,26.372,15.834,21.113,21.113,21.113
1986,6.91,8.95,9.72,16.64,191.767,14.44,8.67,11.56,11.56,11.56,13.251,17.163,18.64,31.91,27.691,16.626,22.168,22.168,22.168
1987,6.91,8.95,9.72,16.64,201.355,14.44,8.67,11.56,11.56,11.56,13.914,18.021,19.572,33.505,29.076,17.457,23.277,23.277,23.277
1988,6.91,8.95,9.72,16.64,211.423,14.44,8.67,11.56,11.56,11.56,14.609,18.922,20.55,35.181,30.529,18.33,24.44,24.44,24.44
1989,6.91,8.95,9.72,16.64,193.057,14.44,8.67,11.56,11.56,11.56,13.34,17.279,18.765,32.125,27.877,16.738,22.317,22.317,22.317
1990,6.91,8.95,9.72,16.64,197.013,14.44,8.67,11.56,11.56,11.56,13.614,17.633,19.15,32.783,28.449,17.081,22.775,22.775,22.775
1991,6.91,8.95,9.72,16.64,197.375,14.44,8.67,11.56,11.56,11.56,13.639,17.665,19.185,32.843,28.501,17.112,22.817,22.817,22.817
1992,6.91,8.95,9.72,16.64,175.398,14.44,8.67,11.56,11.56,11.56,12.12,15.698,17.049,29.186,25.327,15.207,20.276,20.276,20.276
1993,6.91,8.95,9.72,16.64,165.793,14.44,8.67,11.56,11.56,11.56,11.456,14.838,16.115,27.588,23.94,14.374,19.166,19.166,19.166
1994,6.91,8.95,9.72,16.64,150.548,14.44,8.67,11.56,11.56,11.56,10.403,13.474,14.633,25.051,21.739,13.053,17.403,17.403,17.403
1995,6.91,8.95,9.72,16.64,64.44,14.44,8.67,11.56,11.56,11.56,4.453,5.767,6.264,10.723,9.305,5.587,7.449,7.449,7.449
1996,6.91,8.95,9.72,16.64,138.198,14.44,8.67,11.56,11.56,11.56,9.549,12.369,13.433,22.996,19.956,11.982,15.976,15.976,15.976
1997,6.91,8.95,9.72,16.64,142.856,14.44,8.67,11.56,11.56,11.56,9.871,12.786,13.886,23.771,20.628,12.386,16.514,16.514,16.514
1998,6.91,8.95,9.72,16.64,95.591,14.44,8.67,11.56,11.56,11.56,6.605,8.555,9.291,15.906,13.803,8.288,11.05,11.05,11.05
1999,8.99,8.95,9.72,16.64,55.99,13.92,8.35,11.14,11.14,11.14,5.033,5.011,5.442,9.317,7.794,4.675,6.237,6.237,6.237
2000,10.82,8.95,9.72,16.68,77.433,13.46,8.07,10.77,10.77,10.77,8.378,6.93,7.526,12.916,10.422,6.249,8.339,8.339,8.339
2001,11.3,9.21,9.67,11.35,98.306,14.61,8.77,11.69,11.69,11.69,11.109,9.054,9.506,11.158,14.362,8.621,11.492,11.492,11.492
2002,11.14,10.58,9.52,9.12,109.681,14.91,8.95,11.93,11.93,11.93,12.218,11.604,10.442,10.003,16.353,9.816,13.085,13.085,13.085
2003,11.29,10.53,9.2,7.18,139.727,15.45,9.27,12.36,12.36,12.36,15.775,14.713,12.855,10.032,21.588,12.953,17.27,17.27,17.27
2004,11.17,11.18,9.44,5.06,179.633,15.79,9.47,12.63,12.63,12.63,20.065,20.083,16.957,9.089,28.364,17.011,22.688,22.688,22.688
2005,11.34,11.95,9.9,4.83,214.715,15.49,9.3,12.4,12.4,12.4,24.349,25.659,21.257,10.371,33.259,19.969,26.625,26.625,26.625
2006,11.21,12.43,10.13,3.29,271.964,15.74,9.44,12.59,12.59,12.59,30.487,33.805,27.55,8.948,42.807,25.673,34.24,34.24,34.24
2007,9.79,11.96,9.22,1.84,421.264,16.8,10.08,13.44,13.44,13.44,41.242,50.383,38.841,7.751,70.772,42.463,56.618,56.618,56.618
2008,9.86,11.96,9.59,1.75,503.822,16.71,10.03,13.37,13.37,13.37,49.677,60.257,48.317,8.817,84.189,50.533,67.361,67.361,67.361
2009,10.19,11.15,9.08,1.42,553.078,17.04,10.22,13.63,13.63,13.63,56.359,61.668,50.219,7.854,94.245,56.525,75.385,75.385,75.385
2010,10.12,11.15,8.59,1.56,588.16,17.14,10.29,13.72,13.72,13.72,59.522,65.58,50.523,9.175,100.811,60.522,80.695,80.695,80.695
2011,10.32,11.15,9.03,1.94,673.031,16.89,10.13,13.51,13.51,13.51,69.457,75.043,60.775,13.057,113.675,68.178,90.926,90.926,90.926
2012,10.84,11.15,9.24,2.03,752.761,16.68,10.01,13.35,13.35,13.35,81.599,83.933,69.555,15.281,125.561,75.351,100.494,100.494,100.494
2013,11.12,10.86,9.15,2.12,794.708,16.69,10.01,13.35,13.35,13.35,88.372,86.305,72.716,16.848,132.637,79.55,106.093,106.093,106.093
2014,11.77,11.49,9.16,2.07,767.689,16.38,9.83,13.1,13.1,13.1,90.357,88.207,70.32,15.891,125.747,75.464,100.567,100.567,100.567
2015,13.81,10.87,8.82,2.66,588.716,15.96,9.58,12.77,12.77,12.77,81.302,63.993,51.925,15.66,93.959,56.399,75.179,75.179,75.179
2016,14.83,10.99,8.23,2.52,558.133,15.86,9.51,12.69,12.69,12.69,82.771,61.339,45.934,14.065,88.52,53.078,70.827,70.827,70.827
2017,12.2,13.47,8.78,2.51,681.088,15.76,9.46,12.61,12.61,12.61,83.093,91.743,59.8,17.095,107.339,64.431,85.885,85.885,85.885
2018,11.4,14.34,9.76,2.69,675.817,15.45,9.27,12.36,12.36,12.36,77.043,96.912,65.96,18.179,104.414,62.648,83.531,83.531,83.531
2019,11.4,14.34,10.2,2.92,706.388,15.29,9.17,12.23,12.23,12.23,80.528,101.296,72.052,20.627,108.007,64.776,86.391,86.391,86.391
2020,10.59,14.34,15.01,2.35,742.53,14.43,8.66,11.54,11.54,11.54,78.634,106.479,111.454,17.449,107.147,64.303,85.688,85.688,85.688
2021,10.31,14.34,14.0,2.35,793.278,14.75,8.85,11.8,11.8,11.8,81.787,113.756,111.059,18.642,117.009,70.205,93.607,93.607,93.607
2022,12.96,14.34,13.74,2.35,1013.685,14.15,8.49,11.32,11.32,11.32,131.374,145.362,139.28,23.822,143.436,86.062,114.749,114.749,114.749
2023,14.79,14.34,13.67,2.35,863.972,13.71,8.23,10.97,10.97,10.97,127.781,123.894,118.105,20.303,118.451,71.105,94.778,94.778,94.778
2024,18.9,14.34,13.67,2.35,923.157,12.68,7.61,10.15,10.15,10.15,174.477,132.381,126.196,21.694,117.056,70.252,93.7,93.7,93.7
2025,18.9,14.34,13.67,2.35,1081.423,12.68,7.61,10.15,10.15,10.15,204.389,155.076,147.831,25.413,137.124,82.296,109.764,109.764,109.764
2026,18.9,14.34,13.67,2.35,1124.68,12.68,7.61,10.15,10.15,10.15,212.565,161.279,153.744,26.43,142.609,85.588,114.155,114.155,114.155
