Year,Defense_Percentage,Education_Percentage,Health_Percentage,Interest_Payments_Percentage,Total_Budget_Billions_USD,Infrastructure_Percentage,Agriculture_Percentage,State_Transfers_Percentage,Social_Welfare_Percentage,Administration_and_Others_Percentage,Defense_Amount_Billions_USD,Education_Amount_Billions_USD,Health_Amount_Billions_USD,Interest_Payments_Amount_Billions_USD,Infrastructure_Amount_Billions_USD,Agriculture_Amount_Billions_USD,State_Transfers_Amount_Billions_USD,Social_Welfare_Amount_Billions_USD,Administration_and_Others_Amount_Billions_USD
1946,35.44,14.71,9.16,2.26,0.281,9.61,1.92,9.61,7.69,9.61,0.099,0.041,0.026,0.006,0.027,0.005,0.027,0.022,0.027
1947,35.44,14.71,9.16,2.26,0.295,9.61,1.92,9.61,7.69,9.61,0.104,0.043,0.027,0.007,0.028,0.006,0.028,0.023,0.028
1948,35.44,14.71,9.16,2.26,0.31,9.61,1.92,9.61,7.69,9.61,0.11,0.046,0.028,0.007,0.03,0.006,0.03,0.024,0.03
1949,35.44,14.71,9.16,2.26,0.325,9.61,1.92,9.61,7.69,9.61,0.115,0.048,0.03,0.007,0.031,0.006,0.031,0.025,0.031
1950,35.44,14.71,9.16,2.26,0.341,9.61,1.92,9.61,7.69,9.61,0.121,0.05,0.031,0.008,0.033,0.007,0.033,0.026,0.033
1951,35.44,14.71,9.16,2.26,0.358,9.61,1.92,9.61,7.69,9.61,0.127,0.053,0.033,0.008,0.034,0.007,0.034,0.028,0.034
1952,35.44,14.71,9.16,2.26,0.376,9.61,1.92,9.61,7.69,9.61,0.133,0.055,0.034,0.009,0.036,0.007,0.036,0.029,0.036
1953,35.44,14.71,9.16,2.26,0.395,9.61,1.92,9.61,7.69,9.61,0.14,0.058,0.036,0.009,0.038,0.008,0.038,0.03,0.038
1954,35.44,14.71,9.16,2.26,0.415,9.61,1.92,9.61,7.69,9.61,0.147,0.061,0.038,0.009,0.04,0.008,0.04,0.032,0.04
1955,35.44,14.71,9.16,2.26,0.436,9.61,1.92,9.61,7.69,9.61,0.154,0.064,0.04,0.01,0.042,0.008,0.042,0.033,0.042
1956,35.44,14.71,9.16,2.26,0.457,9.61,1.92,9.61,7.69,9.61,0.162,0.067,0.042,0.01,0.044,0.009,0.044,0.035,0.044
1957,35.44,14.71,9.16,2.26,0.48,9.61,1.92,9.61,7.69,9.61,0.17,0.071,0.044,0.011,0.046,0.009,0.046,0.037,0.046
1958,35.44,14.71,9.16,2.26,0.504,9.61,1.92,9.61,7.69,9.61,0.179,0.074,0.046,0.011,0.048,0.01,0.048,0.039,0.048
1959,35.44,14.71,9.16,2.26,0.529,9.61,1.92,9.61,7.69,9.61,0.188,0.078,0.048,0.012,0.051,0.01,0.051,0.041,0.051
1960,35.44,14.71,9.16,2.26,0.556,9.61,1.92,9.61,7.69,9.61,0.197,0.082,0.051,0.013,0.053,0.011,0.053,0.043,0.053
1961,35.44,14.71,9.16,2.26,0.611,9.61,1.92,9.61,7.69,9.61,0.216,0.09,0.056,0.014,0.059,0.012,0.059,0.047,0.059
1962,35.44,14.71,9.16,2.26,0.677,9.61,1.92,9.61,7.69,9.61,0.24,0.1,0.062,0.015,0.065,0.013,0.065,0.052,0.065
1963,35.44,14.71,9.16,2.26,0.702,9.61,1.92,9.61,7.69,9.61,0.249,0.103,0.064,0.016,0.067,0.013,0.067,0.054,0.067
1964,35.44,14.71,9.16,2.26,0.754,9.61,1.92,9.61,7.69,9.61,0.267,0.111,0.069,0.017,0.072,0.014,0.072,0.058,0.072
1965,35.44,14.71,9.16,2.26,0.842,9.61,1.92,9.61,7.69,9.61,0.298,0.124,0.077,0.019,0.081,0.016,0.081,0.065,0.081
1966,35.44,14.71,9.16,2.26,0.929,9.61,1.92,9.61,7.69,9.61,0.329,0.137,0.085,0.021,0.089,0.018,0.089,0.071,0.089
1967,35.44,14.71,9.16,2.26,1.036,9.61,1.92,9.61,7.69,9.61,0.367,0.152,0.095,0.023,0.1,0.02,0.1,0.08,0.1
1968,35.44,14.71,9.16,2.26,1.332,9.61,1.92,9.61,7.69,9.61,0.472,0.196,0.122,0.03,0.128,0.026,0.128,0.102,0.128
1969,35.44,14.71,9.16,2.26,1.426,9.61,1.92,9.61,7.69,9.61,0.505,0.21,0.131,0.032,0.137,0.027,0.137,0.11,0.137
1970,35.44,14.71,9.16,2.26,1.71,9.61,1.92,9.61,7.69,9.61,0.606,0.252,0.157,0.039,0.164,0.033,0.164,0.131,0.164
1971,35.44,14.71,9.16,2.26,2.284,9.61,1.92,9.61,7.69,9.61,0.81,0.336,0.209,0.052,0.22,0.044,0.22,0.176,0.22
1972,35.44,14.71,9.16,2.26,3.073,9.61,1.92,9.61,7.69,9.61,1.089,0.452,0.281,0.069,0.295,0.059,0.295,0.236,0.295
1973,35.44,14.71,9.16,2.26,4.753,9.61,1.92,9.61,7.69,9.61,1.684,0.699,0.435,0.107,0.457,0.091,0.457,0.365,0.457
1974,35.44,14.71,9.16,2.26,14.439,9.61,1.92,9.61,7.69,9.61,5.117,2.124,1.323,0.326,1.388,0.277,1.388,1.11,1.388
1975,35.44,14.71,9.16,2.26,14.872,9.61,1.92,9.61,7.69,9.61,5.271,2.188,1.362,0.336,1.429,0.286,1.429,1.144,1.429
1976,35.44,14.71,9.16,2.26,20.351,9.61,1.92,9.61,7.69,9.61,7.212,2.994,1.864,0.46,1.956,0.391,1.956,1.565,1.956
1977,35.44,14.71,9.16,2.26,23.589,9.61,1.92,9.61,7.69,9.61,8.36,3.47,2.161,0.533,2.267,0.453,2.267,1.814,2.267
1978,35.44,14.71,9.16,2.26,25.521,9.61,1.92,9.61,7.69,9.61,9.045,3.754,2.338,0.577,2.453,0.49,2.453,1.963,2.453
1979,35.44,14.71,9.16,2.26,35.566,9.61,1.92,9.61,7.69,9.61,12.605,5.232,3.258,0.804,3.418,0.683,3.418,2.735,3.418
1980,35.44,14.71,9.16,2.26,52.317,9.61,1.92,9.61,7.69,9.61,18.541,7.696,4.792,1.182,5.028,1.004,5.028,4.023,5.028
1981,35.44,14.71,9.16,2.26,58.597,9.61,1.92,9.61,7.69,9.61,20.767,8.62,5.368,1.324,5.631,1.125,5.631,4.506,5.631
