Year,Defense_Percentage,Education_Percentage,Health_Percentage,Interest_Payments_Percentage,Total_Budget_Billions_USD,Infrastructure_Percentage,Agriculture_Percentage,State_Transfers_Percentage,Social_Welfare_Percentage,Administration_and_Others_Percentage,Defense_Amount_Billions_USD,Education_Amount_Billions_USD,Health_Amount_Billions_USD,Interest_Payments_Amount_Billions_USD,Infrastructure_Amount_Billions_USD,Agriculture_Amount_Billions_USD,State_Transfers_Amount_Billions_USD,Social_Welfare_Amount_Billions_USD,Administration_and_Others_Amount_Billions_USD
1946,29.92,20.31,7.39,8.03,0.055,8.59,5.15,6.87,6.87,6.87,0.016,0.011,0.004,0.004,0.005,0.003,0.004,0.004,0.004
1947,29.92,20.31,7.39,8.03,0.057,8.59,5.15,6.87,6.87,6.87,0.017,0.012,0.004,0.005,0.005,0.003,0.004,0.004,0.004
1948,29.92,20.31,7.39,8.03,0.06,8.59,5.15,6.87,6.87,6.87,0.018,0.012,0.004,0.005,0.005,0.003,0.004,0.004,0.004
1949,29.92,20.31,7.39,8.03,0.063,8.59,5.15,6.87,6.87,6.87,0.019,0.013,0.005,0.005,0.005,0.003,0.004,0.004,0.004
1950,29.92,20.31,7.39,8.03,0.066,8.59,5.15,6.87,6.87,6.87,0.02,0.013,0.005,0.005,0.006,0.003,0.005,0.005,0.005
1951,29.92,20.31,7.39,8.03,0.07,8.59,5.15,6.87,6.87,6.87,0.021,0.014,0.005,0.006,0.006,0.004,0.005,0.005,0.005
1952,29.92,20.31,7.39,8.03,0.073,8.59,5.15,6.87,6.87,6.87,0.022,0.015,0.005,0.006,0.006,0.004,0.005,0.005,0.005
1953,29.92,20.31,7.39,8.03,0.077,8.59,5.15,6.87,6.87,6.87,0.023,0.016,0.006,0.006,0.007,0.004,0.005,0.005,0.005
1954,29.92,20.31,7.39,8.03,0.081,8.59,5.15,6.87,6.87,6.87,0.024,0.016,0.006,0.006,0.007,0.004,0.006,0.006,0.006
1955,29.92,20.31,7.39,8.03,0.085,8.59,5.15,6.87,6.87,6.87,0.025,0.017,0.006,0.007,0.007,0.004,0.006,0.006,0.006
1956,29.92,20.31,7.39,8.03,0.089,8.59,5.15,6.87,6.87,6.87,0.027,0.018,0.007,0.007,0.008,0.005,0.006,0.006,0.006
1957,29.92,20.31,7.39,8.03,0.093,8.59,5.15,6.87,6.87,6.87,0.028,0.019,0.007,0.007,0.008,0.005,0.006,0.006,0.006
1958,29.92,20.31,7.39,8.03,0.098,8.59,5.15,6.87,6.87,6.87,0.029,0.02,0.007,0.008,0.008,0.005,0.007,0.007,0.007
1959,29.92,20.31,7.39,8.03,0.103,8.59,5.15,6.87,6.87,6.87,0.031,0.021,0.008,0.008,0.009,0.005,0.007,0.007,0.007
1960,29.92,20.31,7.39,8.03,0.108,8.59,5.15,6.87,6.87,6.87,0.032,0.022,0.008,0.009,0.009,0.006,0.007,0.007,0.007
1961,29.92,20.31,7.39,8.03,0.117,8.59,5.15,6.87,6.87,6.87,0.035,0.024,0.009,0.009,0.01,0.006,0.008,0.008,0.008
1962,29.92,20.31,7.39,8.03,0.127,8.59,5.15,6.87,6.87,6.87,0.038,0.026,0.009,0.01,0.011,0.007,0.009,0.009,0.009
1963,29.92,20.31,7.39,8.03,0.141,8.59,5.15,6.87,6.87,6.87,0.042,0.029,0.01,0.011,0.012,0.007,0.01,0.01,0.01
