Year,Defense_Percentage,Education_Percentage,Health_Percentage,Interest_Payments_Percentage,Total_Budget_Billions_USD,Infrastructure_Percentage,Agriculture_Percentage,State_Transfers_Percentage,Social_Welfare_Percentage,Administration_and_Others_Percentage,Defense_Amount_Billions_USD,Education_Amount_Billions_USD,Health_Amount_Billions_USD,Interest_Payments_Amount_Billions_USD,Infrastructure_Amount_Billions_USD,Agriculture_Amount_Billions_USD,State_Transfers_Amount_Billions_USD,Social_Welfare_Amount_Billions_USD,Administration_and_Others_Amount_Billions_USD
1946,5.5,20.47,11.86,7.96,0.848,16.26,8.13,8.13,8.13,13.55,0.047,0.174,0.101,0.067,0.138,0.069,0.069,0.069,0.115
1947,5.5,20.47,11.86,7.96,0.89,16.26,8.13,8.13,8.13,13.55,0.049,0.182,0.106,0.071,0.145,0.072,0.072,0.072,0.121
1948,5.5,20.47,11.86,7.96,0.935,16.26,8.13,8.13,8.13,13.55,0.051,0.191,0.111,0.074,0.152,0.076,0.076,0.076,0.127
1949,5.5,20.47,11.86,7.96,0.982,16.26,8.13,8.13,8.13,13.55,0.054,0.201,0.116,0.078,0.16,0.08,0.08,0.08,0.133
1950,5.5,20.47,11.86,7.96,1.031,16.26,8.13,8.13,8.13,13.55,0.057,0.211,0.122,0.082,0.168,0.084,0.084,0.084,0.14
1951,5.5,20.47,11.86,7.96,1.082,16.26,8.13,8.13,8.13,13.55,0.06,0.222,0.128,0.086,0.176,0.088,0.088,0.088,0.147
1952,5.5,20.47,11.86,7.96,1.136,16.26,8.13,8.13,8.13,13.55,0.062,0.233,0.135,0.09,0.185,0.092,0.092,0.092,0.154
1953,5.5,20.47,11.86,7.96,1.193,16.26,8.13,8.13,8.13,13.55,0.066,0.244,0.141,0.095,0.194,0.097,0.097,0.097,0.162
1954,5.5,20.47,11.86,7.96,1.253,16.26,8.13,8.13,8.13,13.55,0.069,0.256,0.149,0.1,0.204,0.102,0.102,0.102,0.17
1955,5.5,20.47,11.86,7.96,1.315,16.26,8.13,8.13,8.13,13.55,0.072,0.269,0.156,0.105,0.214,0.107,0.107,0.107,0.178
1956,5.5,20.47,11.86,7.96,1.381,16.26,8.13,8.13,8.13,13.55,0.076,0.283,0.164,0.11,0.225,0.112,0.112,0.112,0.187
1957,5.5,20.47,11.86,7.96,1.45,16.26,8.13,8.13,8.13,13.55,0.08,0.297,0.172,0.115,0.236,0.118,0.118,0.118,0.196
1958,5.5,20.47,11.86,7.96,1.523,16.26,8.13,8.13,8.13,13.55,0.084,0.312,0.181,0.121,0.248,0.124,0.124,0.124,0.206
1959,5.5,20.47,11.86,7.96,1.599,16.26,8.13,8.13,8.13,13.55,0.088,0.327,0.19,0.127,0.26,0.13,0.13,0.13,0.217
1960,5.5,20.47,11.86,7.96,1.679,16.26,8.13,8.13,8.13,13.55,0.092,0.344,0.199,0.134,0.273,0.136,0.136,0.136,0.227
1961,5.5,20.47,11.86,7.96,1.77,16.26,8.13,8.13,8.13,13.55,0.097,0.362,0.21,0.141,0.288,0.144,0.144,0.144,0.24
