Year,Defense_Percentage,Education_Percentage,Health_Percentage,Interest_Payments_Percentage,Total_Budget_Billions_USD,Infrastructure_Percentage,Agriculture_Percentage,State_Transfers_Percentage,Social_Welfare_Percentage,Administration_and_Others_Percentage,Defense_Amount_Billions_USD,Education_Amount_Billions_USD,Health_Amount_Billions_USD,Interest_Payments_Amount_Billions_USD,Infrastructure_Amount_Billions_USD,Agriculture_Amount_Billions_USD,State_Transfers_Amount_Billions_USD,Social_Welfare_Amount_Billions_USD,Administration_and_Others_Amount_Billions_USD
1948,20.31,5.0,8.28,2.57,0.531,15.96,9.58,12.77,12.77,12.77,0.108,0.027,0.044,0.014,0.085,0.051,0.068,0.068,0.068
1949,20.31,5.0,8.28,2.57,0.558,15.96,9.58,12.77,12.77,12.77,0.113,0.028,0.046,0.014,0.089,0.053,0.071,0.071,0.071
1950,20.31,5.0,8.28,2.57,0.585,15.96,9.58,12.77,12.77,12.77,0.119,0.029,0.048,0.015,0.093,0.056,0.075,0.075,0.075
1951,20.31,5.0,8.28,2.57,0.615,15.96,9.58,12.77,12.77,12.77,0.125,0.031,0.051,0.016,0.098,0.059,0.078,0.078,0.078
1952,20.31,5.0,8.28,2.57,0.645,15.96,9.58,12.77,12.77,12.77,0.131,0.032,0.053,0.017,0.103,0.062,0.082,0.082,0.082
1953,20.31,5.0,8.28,2.57,0.678,15.96,9.58,12.77,12.77,12.77,0.138,0.034,0.056,0.017,0.108,0.065,0.087,0.087,0.087
1954,20.31,5.0,8.28,2.57,0.712,15.96,9.58,12.77,12.77,12.77,0.145,0.036,0.059,0.018,0.114,0.068,0.091,0.091,0.091
1955,20.31,5.0,8.28,2.57,0.747,15.96,9.58,12.77,12.77,12.77,0.152,0.037,0.062,0.019,0.119,0.072,0.095,0.095,0.095
1956,20.31,5.0,8.28,2.57,0.784,15.96,9.58,12.77,12.77,12.77,0.159,0.039,0.065,0.02,0.125,0.075,0.1,0.1,0.1
1957,20.31,5.0,8.28,2.57,0.824,15.96,9.58,12.77,12.77,12.77,0.167,0.041,0.068,0.021,0.131,0.079,0.105,0.105,0.105
1958,20.31,5.0,8.28,2.57,0.865,15.96,9.58,12.77,12.77,12.77,0.176,0.043,0.072,0.022,0.138,0.083,0.11,0.11,0.11
1959,20.31,5.0,8.28,2.57,0.908,15.96,9.58,12.77,12.77,12.77,0.184,0.045,0.075,0.023,0.145,0.087,0.116,0.116,0.116
