Year,Defense_Percentage,Education_Percentage,Health_Percentage,Interest_Payments_Percentage,Total_Budget_Billions_USD,Infrastructure_Percentage,Agriculture_Percentage,State_Transfers_Percentage,Social_Welfare_Percentage,Administration_and_Others_Percentage,Defense_Amount_Billions_USD,Education_Amount_Billions_USD,Health_Amount_Billions_USD,Interest_Payments_Amount_Billions_USD,Infrastructure_Amount_Billions_USD,Agriculture_Amount_Billions_USD,State_Transfers_Amount_Billions_USD,Social_Welfare_Amount_Billions_USD,Administration_and_Others_Amount_Billions_USD
1946,15.0,8.84,12.41,5.0,2.824,8.81,5.87,11.75,20.56,11.75,0.424,0.25,0.35,0.141,0.249,0.166,0.332,0.581,0.332
1947,15.0,8.84,12.41,5.0,2.965,8.81,5.87,11.75,20.56,11.75,0.445,0.262,0.368,0.148,0.261,0.174,0.348,0.61,0.348
1948,15.0,8.84,12.41,5.0,3.113,8.81,5.87,11.75,20.56,11.75,0.467,0.275,0.386,0.156,0.274,0.183,0.366,0.64,0.366
1949,15.0,8.84,12.41,5.0,3.269,8.81,5.87,11.75,20.56,11.75,0.49,0.289,0.406,0.163,0.288,0.192,0.384,0.672,0.384
1950,15.0,8.84,12.41,5.0,3.432,8.81,5.87,11.75,20.56,11.75,0.515,0.303,0.426,0.172,0.302,0.201,0.403,0.706,0.403
1951,15.0,8.84,12.41,5.0,3.604,8.81,5.87,11.75,20.56,11.75,0.541,0.319,0.447,0.18,0.318,0.212,0.423,0.741,0.423
1952,15.0,8.84,12.41,5.0,3.784,8.81,5.87,11.75,20.56,11.75,0.568,0.335,0.47,0.189,0.333,0.222,0.445,0.778,0.445
1953,15.0,8.84,12.41,5.0,3.973,8.81,5.87,11.75,20.56,11.75,0.596,0.351,0.493,0.199,0.35,0.233,0.467,0.817,0.467
1954,15.0,8.84,12.41,5.0,4.172,8.81,5.87,11.75,20.56,11.75,0.626,0.369,0.518,0.209,0.368,0.245,0.49,0.858,0.49
1955,15.0,8.84,12.41,5.0,4.381,8.81,5.87,11.75,20.56,11.75,0.657,0.387,0.544,0.219,0.386,0.257,0.515,0.901,0.515
1956,15.0,8.84,12.41,5.0,4.6,8.81,5.87,11.75,20.56,11.75,0.69,0.407,0.571,0.23,0.405,0.27,0.54,0.946,0.54
1957,15.0,8.84,12.41,5.0,4.83,8.81,5.87,11.75,20.56,11.75,0.724,0.427,0.599,0.241,0.426,0.284,0.567,0.993,0.567
