Year,Defense_Percentage,Education_Percentage,Health_Percentage,Interest_Payments_Percentage,Total_Budget_Billions_USD,Infrastructure_Percentage,Agriculture_Percentage,State_Transfers_Percentage,Social_Welfare_Percentage,Administration_and_Others_Percentage,Defense_Amount_Billions_USD,Education_Amount_Billions_USD,Health_Amount_Billions_USD,Interest_Payments_Amount_Billions_USD,Infrastructure_Amount_Billions_USD,Agriculture_Amount_Billions_USD,State_Transfers_Amount_Billions_USD,Social_Welfare_Amount_Billions_USD,Administration_and_Others_Amount_Billions_USD
1946,4.0,9.8,11.8,3.71,2.623,10.6,7.07,14.14,24.74,14.14,0.105,0.257,0.309,0.097,0.278,0.185,0.371,0.649,0.371
1947,4.0,9.8,11.8,3.71,2.754,10.6,7.07,14.14,24.74,14.14,0.11,0.27,0.325,0.102,0.292,0.195,0.389,0.681,0.389
1948,4.0,9.8,11.8,3.71,2.892,10.6,7.07,14.14,24.74,14.14,0.116,0.283,0.341,0.107,0.307,0.204,0.409,0.715,0.409
1949,4.0,9.8,11.8,3.71,3.036,10.6,7.07,14.14,24.74,14.14,0.121,0.298,0.358,0.113,0.322,0.215,0.429,0.751,0.429
1950,4.0,9.8,11.8,3.71,3.188,10.6,7.07,14.14,24.74,14.14,0.128,0.312,0.376,0.118,0.338,0.225,0.451,0.789,0.451
1951,4.0,9.8,11.8,3.71,3.347,10.6,7.07,14.14,24.74,14.14,0.134,0.328,0.395,0.124,0.355,0.237,0.473,0.828,0.473
1952,4.0,9.8,11.8,3.71,3.515,10.6,7.07,14.14,24.74,14.14,0.141,0.344,0.415,0.13,0.373,0.248,0.497,0.87,0.497
1953,4.0,9.8,11.8,3.71,3.69,10.6,7.07,14.14,24.74,14.14,0.148,0.362,0.435,0.137,0.391,0.261,0.522,0.913,0.522
1954,4.0,9.8,11.8,3.71,3.875,10.6,7.07,14.14,24.74,14.14,0.155,0.38,0.457,0.144,0.411,0.274,0.548,0.959,0.548
1955,4.0,9.8,11.8,3.71,4.069,10.6,7.07,14.14,24.74,14.14,0.163,0.399,0.48,0.151,0.431,0.288,0.575,1.007,0.575
1956,4.0,9.8,11.8,3.71,4.272,10.6,7.07,14.14,24.74,14.14,0.171,0.419,0.504,0.158,0.453,0.302,0.604,1.057,0.604
1957,4.0,9.8,11.8,3.71,4.486,10.6,7.07,14.14,24.74,14.14,0.179,0.44,0.529,0.166,0.475,0.317,0.634,1.11,0.634
1958,4.0,9.8,11.8,3.71,4.71,10.6,7.07,14.14,24.74,14.14,0.188,0.462,0.556,0.175,0.499,0.333,0.666,1.165,0.666
1959,4.0,9.8,11.8,3.71,4.945,10.6,7.07,14.14,24.74,14.14,0.198,0.485,0.584,0.183,0.524,0.35,0.699,1.224,0.699
1960,4.0,9.8,11.8,3.71,5.193,10.6,7.07,14.14,24.74,14.14,0.208,0.509,0.613,0.193,0.55,0.367,0.734,1.285,0.734
1961,4.0,9.8,11.8,3.71,5.649,10.6,7.07,14.14,24.74,14.14,0.226,0.554,0.667,0.21,0.599,0.399,0.799,1.398,0.799
1962,4.0,9.8,11.8,3.71,6.126,10.6,7.07,14.14,24.74,14.14,0.245,0.6,0.723,0.227,0.649,0.433,0.866,1.516,0.866
1963,4.0,9.8,11.8,3.71,6.631,10.6,7.07,14.14,24.74,14.14,0.265,0.65,0.782,0.246,0.703,0.469,0.938,1.64,0.938
1964,4.0,9.8,11.8,3.71,7.395,10.6,7.07,14.14,24.74,14.14,0.296,0.725,0.873,0.274,0.784,0.523,1.046,1.829,1.046
1965,4.0,9.8,11.8,3.71,8.138,10.6,7.07,14.14,24.74,14.14,0.326,0.797,0.96,0.302,0.863,0.575,1.151,2.013,1.151
1966,4.0,9.8,11.8,3.71,8.852,10.6,7.07,14.14,24.74,14.14,0.354,0.867,1.044,0.328,0.938,0.626,1.252,2.19,1.252
1967,4.0,9.8,11.8,3.71,9.608,10.6,7.07,14.14,24.74,14.14,0.384,0.942,1.134,0.356,1.018,0.679,1.359,2.377,1.359
