Year,Defense_Percentage,Education_Percentage,Health_Percentage,Interest_Payments_Percentage,Total_Budget_Billions_USD,Infrastructure_Percentage,Agriculture_Percentage,State_Transfers_Percentage,Social_Welfare_Percentage,Administration_and_Others_Percentage,Defense_Amount_Billions_USD,Education_Amount_Billions_USD,Health_Amount_Billions_USD,Interest_Payments_Amount_Billions_USD,Infrastructure_Amount_Billions_USD,Agriculture_Amount_Billions_USD,State_Transfers_Amount_Billions_USD,Social_Welfare_Amount_Billions_USD,Administration_and_Others_Amount_Billions_USD
1946,5.38,15.59,7.84,2.04,1.126,10.37,6.92,13.83,24.21,13.83,0.061,0.175,0.088,0.023,0.117,0.078,0.156,0.273,0.156
1947,5.38,15.59,7.84,2.04,1.182,10.37,6.92,13.83,24.21,13.83,0.064,0.184,0.093,0.024,0.123,0.082,0.163,0.286,0.163
1948,5.38,15.59,7.84,2.04,1.241,10.37,6.92,13.83,24.21,13.83,0.067,0.193,0.097,0.025,0.129,0.086,0.172,0.3,0.172
1949,5.38,15.59,7.84,2.04,1.303,10.37,6.92,13.83,24.21,13.83,0.07,0.203,0.102,0.027,0.135,0.09,0.18,0.315,0.18
1950,5.38,15.59,7.84,2.04,1.368,10.37,6.92,13.83,24.21,13.83,0.074,0.213,0.107,0.028,0.142,0.095,0.189,0.331,0.189
1951,5.38,15.59,7.84,2.04,1.437,10.37,6.92,13.83,24.21,13.83,0.077,0.224,0.113,0.029,0.149,0.099,0.199,0.348,0.199
1952,5.38,15.59,7.84,2.04,1.508,10.37,6.92,13.83,24.21,13.83,0.081,0.235,0.118,0.031,0.156,0.104,0.209,0.365,0.209
1953,5.38,15.59,7.84,2.04,1.584,10.37,6.92,13.83,24.21,13.83,0.085,0.247,0.124,0.032,0.164,0.11,0.219,0.383,0.219
1954,5.38,15.59,7.84,2.04,1.663,10.37,6.92,13.83,24.21,13.83,0.089,0.259,0.13,0.034,0.172,0.115,0.23,0.403,0.23
1955,5.38,15.59,7.84,2.04,1.746,10.37,6.92,13.83,24.21,13.83,0.094,0.272,0.137,0.036,0.181,0.121,0.241,0.423,0.241
1956,5.38,15.59,7.84,2.04,1.834,10.37,6.92,13.83,24.21,13.83,0.099,0.286,0.144,0.037,0.19,0.127,0.254,0.444,0.254
1957,5.38,15.59,7.84,2.04,1.925,10.37,6.92,13.83,24.21,13.83,0.104,0.3,0.151,0.039,0.2,0.133,0.266,0.466,0.266
1958,5.38,15.59,7.84,2.04,2.021,10.37,6.92,13.83,24.21,13.83,0.109,0.315,0.158,0.041,0.21,0.14,0.28,0.489,0.28
1959,5.38,15.59,7.84,2.04,2.123,10.37,6.92,13.83,24.21,13.83,0.114,0.331,0.166,0.043,0.22,0.147,0.294,0.514,0.294
1960,5.38,15.59,7.84,2.04,2.229,10.37,6.92,13.83,24.21,13.83,0.12,0.347,0.175,0.045,0.231,0.154,0.308,0.54,0.308
1961,5.38,15.59,7.84,2.04,2.507,10.37,6.92,13.83,24.21,13.83,0.135,0.391,0.197,0.051,0.26,0.173,0.347,0.607,0.347
1962,5.38,15.59,7.84,2.04,2.78,10.37,6.92,13.83,24.21,13.83,0.15,0.433,0.218,0.057,0.288,0.192,0.385,0.673,0.385
1963,5.38,15.59,7.84,2.04,3.057,10.37,6.92,13.83,24.21,13.83,0.164,0.477,0.24,0.062,0.317,0.212,0.423,0.74,0.423
1964,5.38,15.59,7.84,2.04,3.389,10.37,6.92,13.83,24.21,13.83,0.182,0.528,0.266,0.069,0.351,0.235,0.469,0.82,0.469
1965,5.38,15.59,7.84,2.04,3.592,10.37,6.92,13.83,24.21,13.83,0.193,0.56,0.282,0.073,0.372,0.249,0.497,0.87,0.497
1966,5.38,15.59,7.84,2.04,3.857,10.37,6.92,13.83,24.21,13.83,0.208,0.601,0.302,0.079,0.4,0.267,0.533,0.934,0.533
1967,5.38,15.59,7.84,2.04,4.152,10.37,6.92,13.83,24.21,13.83,0.223,0.647,0.325,0.085,0.431,0.287,0.574,1.005,0.574
1968,5.38,15.59,7.84,2.04,4.433,10.37,6.92,13.83,24.21,13.83,0.239,0.691,0.348,0.09,0.46,0.307,0.613,1.073,0.613
1969,5.38,15.59,7.84,2.04,4.804,10.37,6.92,13.83,24.21,13.83,0.258,0.749,0.377,0.098,0.498,0.332,0.664,1.163,0.664
1970,5.38,15.59,7.84,2.04,5.351,10.37,6.92,13.83,24.21,13.83,0.288,0.834,0.419,0.109,0.555,0.37,0.74,1.295,0.74
1971,5.38,15.59,7.84,2.04,6.43,10.37,6.92,13.83,24.21,13.83,0.346,1.002,0.504,0.131,0.667,0.445,0.889,1.557,0.889
1972,5.38,15.59,7.84,2.04,7.886,10.37,6.92,13.83,24.21,13.83,0.424,1.229,0.618,0.161,0.818,0.546,1.091,1.909,1.091
1973,5.38,15.59,7.84,1.85,11.833,10.4,6.93,13.87,24.27,13.87,0.637,1.845,0.928,0.219,1.231,0.82,1.641,2.872,1.641
1974,5.38,15.59,7.84,1.96,14.339,10.38,6.92,13.85,24.23,13.85,0.771,2.235,1.124,0.281,1.488,0.992,1.986,3.474,1.986
1975,5.38,15.59,7.84,2.22,19.122,10.35,6.9,13.8,24.14,13.8,1.029,2.981,1.499,0.425,1.979,1.319,2.639,4.616,2.639
1976,5.38,15.59,7.84,2.01,22.426,10.38,6.92,13.84,24.21,13.84,1.207,3.496,1.758,0.451,2.328,1.552,3.104,5.429,3.104
1977,5.38,15.59,7.84,2.64,24.306,10.28,6.86,13.71,23.99,13.71,1.308,3.789,1.906,0.642,2.499,1.667,3.332,5.831,3.332
1978,5.38,15.59,7.84,2.55,33.408,10.3,6.86,13.73,24.03,13.73,1.797,5.208,2.619,0.852,3.441,2.292,4.587,8.028,4.587
1979,5.38,15.59,7.84,2.45,37.768,10.31,6.87,13.75,24.06,13.75,2.032,5.888,2.961,0.925,3.894,2.595,5.193,9.087,5.193
1980,5.38,15.59,7.84,2.58,39.358,10.29,6.86,13.72,24.02,13.72,2.117,6.136,3.086,1.015,4.05,2.7,5.4,9.454,5.4
1981,5.38,15.59,7.84,2.93,34.618,10.24,6.83,13.65,23.89,13.65,1.862,5.397,2.714,1.014,3.545,2.364,4.725,8.27,4.725
1982,5.38,15.59,7.84,2.63,37.109,10.28,6.86,13.71,24.0,13.71,1.996,5.785,2.909,0.976,3.815,2.546,5.088,8.906,5.088
1983,5.38,15.59,7.84,2.43,37.896,10.31,6.88,13.75,24.07,13.75,2.039,5.908,2.971,0.921,3.907,2.607,5.211,9.122,5.211
1984,5.38,15.59,7.84,2.21,36.365,10.35,6.9,13.8,24.14,13.8,1.956,5.669,2.851,0.804,3.764,2.509,5.018,8.778,5.018
1985,5.38,15.52,7.84,3.53,30.031,10.16,6.77,13.55,23.71,13.55,1.616,4.661,2.354,1.06,3.051,2.033,4.069,7.12,4.069
1986,5.38,15.73,7.84,3.53,43.05,10.13,6.75,13.51,23.63,13.51,2.316,6.772,3.375,1.52,4.361,2.906,5.816,10.173,5.816
