Year,Defense_Percentage,Education_Percentage,Health_Percentage,Interest_Payments_Percentage,Total_Budget_Billions_USD,Infrastructure_Percentage,Agriculture_Percentage,State_Transfers_Percentage,Social_Welfare_Percentage,Administration_and_Others_Percentage,Defense_Amount_Billions_USD,Education_Amount_Billions_USD,Health_Amount_Billions_USD,Interest_Payments_Amount_Billions_USD,Infrastructure_Amount_Billions_USD,Agriculture_Amount_Billions_USD,State_Transfers_Amount_Billions_USD,Social_Welfare_Amount_Billions_USD,Administration_and_Others_Amount_Billions_USD
1946,13.67,18.9,9.25,10.44,0.241,14.32,7.16,7.16,7.16,11.94,0.033,0.046,0.022,0.025,0.035,0.017,0.017,0.017,0.029
1947,13.67,18.9,9.25,10.44,0.253,14.32,7.16,7.16,7.16,11.94,0.035,0.048,0.023,0.026,0.036,0.018,0.018,0.018,0.03
1948,13.67,18.9,9.25,10.44,0.266,14.32,7.16,7.16,7.16,11.94,0.036,0.05,0.025,0.028,0.038,0.019,0.019,0.019,0.032
1949,13.67,18.9,9.25,10.44,0.279,14.32,7.16,7.16,7.16,11.94,0.038,0.053,0.026,0.029,0.04,0.02,0.02,0.02,0.033
1950,13.67,18.9,9.25,10.44,0.293,14.32,7.16,7.16,7.16,11.94,0.04,0.055,0.027,0.031,0.042,0.021,0.021,0.021,0.035
1951,13.67,18.9,9.25,10.44,0.308,14.32,7.16,7.16,7.16,11.94,0.042,0.058,0.028,0.032,0.044,0.022,0.022,0.022,0.037
1952,13.67,18.9,9.25,10.44,0.323,14.32,7.16,7.16,7.16,11.94,0.044,0.061,0.03,0.034,0.046,0.023,0.023,0.023,0.039
1953,13.67,18.9,9.25,10.44,0.339,14.32,7.16,7.16,7.16,11.94,0.046,0.064,0.031,0.035,0.049,0.024,0.024,0.024,0.04
1954,13.67,18.9,9.25,10.44,0.356,14.32,7.16,7.16,7.16,11.94,0.049,0.067,0.033,0.037,0.051,0.026,0.026,0.026,0.043
1955,13.67,18.9,9.25,10.44,0.374,14.32,7.16,7.16,7.16,11.94,0.051,0.071,0.035,0.039,0.054,0.027,0.027,0.027,0.045
