Year,Defense_Percentage,Education_Percentage,Health_Percentage,Interest_Payments_Percentage,Total_Budget_Billions_USD,Infrastructure_Percentage,Agriculture_Percentage,State_Transfers_Percentage,Social_Welfare_Percentage,Administration_and_Others_Percentage,Defense_Amount_Billions_USD,Education_Amount_Billions_USD,Health_Amount_Billions_USD,Interest_Payments_Amount_Billions_USD,Infrastructure_Amount_Billions_USD,Agriculture_Amount_Billions_USD,State_Transfers_Amount_Billions_USD,Social_Welfare_Amount_Billions_USD,Administration_and_Others_Amount_Billions_USD
1946,15.0,12.87,7.19,3.48,0.867,15.37,9.22,12.29,12.29,12.29,0.13,0.112,0.062,0.03,0.133,0.08,0.107,0.107,0.107
1947,15.0,12.87,7.19,3.48,0.911,15.37,9.22,12.29,12.29,12.29,0.137,0.117,0.065,0.032,0.14,0.084,0.112,0.112,0.112
1948,15.0,12.87,7.19,3.48,0.956,15.37,9.22,12.29,12.29,12.29,0.143,0.123,0.069,0.033,0.147,0.088,0.118,0.118,0.118
1949,15.0,12.87,7.19,3.48,1.004,15.37,9.22,12.29,12.29,12.29,0.151,0.129,0.072,0.035,0.154,0.093,0.123,0.123,0.123
1950,15.0,12.87,7.19,3.48,1.054,15.37,9.22,12.29,12.29,12.29,0.158,0.136,0.076,0.037,0.162,0.097,0.13,0.13,0.13
1951,15.0,12.87,7.19,3.48,1.107,15.37,9.22,12.29,12.29,12.29,0.166,0.142,0.08,0.039,0.17,0.102,0.136,0.136,0.136
1952,15.0,12.87,7.19,3.48,1.163,15.37,9.22,12.29,12.29,12.29,0.174,0.15,0.084,0.04,0.179,0.107,0.143,0.143,0.143
1953,15.0,12.87,7.19,3.48,1.221,15.37,9.22,12.29,12.29,12.29,0.183,0.157,0.088,0.042,0.188,0.113,0.15,0.15,0.15
1954,15.0,12.87,7.19,3.48,1.282,15.37,9.22,12.29,12.29,12.29,0.192,0.165,0.092,0.045,0.197,0.118,0.158,0.158,0.158
1955,15.0,12.87,7.19,3.48,1.346,15.37,9.22,12.29,12.29,12.29,0.202,0.173,0.097,0.047,0.207,0.124,0.165,0.165,0.165
1956,15.0,12.87,7.19,3.48,1.413,15.37,9.22,12.29,12.29,12.29,0.212,0.182,0.102,0.049,0.217,0.13,0.174,0.174,0.174
1957,15.0,12.87,7.19,3.48,1.484,15.37,9.22,12.29,12.29,12.29,0.223,0.191,0.107,0.052,0.228,0.137,0.182,0.182,0.182
1958,15.0,12.87,7.19,3.48,1.558,15.37,9.22,12.29,12.29,12.29,0.234,0.2,0.112,0.054,0.239,0.144,0.191,0.191,0.191
1959,15.0,12.87,7.19,3.48,1.636,15.37,9.22,12.29,12.29,12.29,0.245,0.211,0.118,0.057,0.251,0.151,0.201,0.201,0.201
1960,15.0,12.87,7.19,3.48,1.718,15.37,9.22,12.29,12.29,12.29,0.258,0.221,0.123,0.06,0.264,0.158,0.211,0.211,0.211
1961,15.0,12.87,7.19,3.48,1.813,15.37,9.22,12.29,12.29,12.29,0.272,0.233,0.13,0.063,0.279,0.167,0.223,0.223,0.223
1962,15.0,12.87,7.19,3.48,2.025,15.37,9.22,12.29,12.29,12.29,0.304,0.261,0.146,0.07,0.311,0.187,0.249,0.249,0.249
1963,15.0,12.87,7.19,3.48,2.351,15.37,9.22,12.29,12.29,12.29,0.353,0.303,0.169,0.082,0.361,0.217,0.289,0.289,0.289
1964,15.0,12.87,7.19,3.48,2.537,15.37,9.22,12.29,12.29,12.29,0.381,0.327,0.182,0.088,0.39,0.234,0.312,0.312,0.312
1965,15.0,12.87,7.19,3.48,2.716,15.37,9.22,12.29,12.29,12.29,0.407,0.35,0.195,0.095,0.417,0.25,0.334,0.334,0.334
1966,15.0,12.87,7.19,3.48,3.201,15.37,9.22,12.29,12.29,12.29,0.48,0.412,0.23,0.111,0.492,0.295,0.393,0.393,0.393
1967,15.0,12.87,7.19,3.48,3.551,15.37,9.22,12.29,12.29,12.29,0.533,0.457,0.255,0.124,0.546,0.327,0.436,0.436,0.436
1968,15.0,12.87,7.19,3.48,3.972,15.37,9.22,12.29,12.29,12.29,0.596,0.511,0.286,0.138,0.611,0.366,0.488,0.488,0.488
1969,15.0,12.87,7.19,3.48,4.419,15.37,9.22,12.29,12.29,12.29,0.663,0.569,0.318,0.154,0.679,0.407,0.543,0.543,0.543
1970,15.0,12.87,7.19,3.48,4.055,15.37,9.22,12.29,12.29,12.29,0.608,0.522,0.292,0.141,0.623,0.374,0.498,0.498,0.498
1971,15.0,12.87,7.19,3.48,3.67,15.37,9.22,12.29,12.29,12.29,0.55,0.472,0.264,0.128,0.564,0.338,0.451,0.451,0.451
1972,15.0,12.87,7.19,3.48,4.687,15.37,9.22,12.29,12.29,12.29,0.703,0.603,0.337,0.163,0.72,0.432,0.576,0.576,0.576
1973,15.0,12.87,7.19,3.63,5.992,15.33,9.2,12.26,12.26,12.26,0.899,0.771,0.431,0.218,0.919,0.551,0.735,0.735,0.735
1974,15.0,12.87,7.19,3.78,6.623,15.29,9.18,12.23,12.23,12.23,0.993,0.852,0.476,0.25,1.013,0.608,0.81,0.81,0.81
1975,15.0,12.87,7.19,3.6,9.973,15.34,9.2,12.27,12.27,12.27,1.496,1.284,0.717,0.359,1.53,0.918,1.224,1.224,1.224
1976,15.0,12.87,7.19,3.54,11.029,15.35,9.21,12.28,12.28,12.28,1.654,1.419,0.793,0.39,1.693,1.016,1.354,1.354,1.354
1977,15.0,12.87,7.19,3.03,14.228,15.48,9.29,12.38,12.38,12.38,2.134,1.831,1.023,0.431,2.202,1.322,1.761,1.761,1.761
1978,15.0,12.87,7.19,2.83,16.114,15.53,9.32,12.42,12.42,12.42,2.417,2.074,1.159,0.456,2.502,1.502,2.001,2.001,2.001
1979,15.0,12.87,7.19,2.86,25.545,15.52,9.31,12.42,12.42,12.42,3.832,3.288,1.837,0.731,3.965,2.378,3.173,3.173,3.173
1980,15.0,12.87,7.19,2.93,19.114,15.5,9.3,12.4,12.4,12.4,2.867,2.46,1.374,0.56,2.963,1.778,2.37,2.37,2.37
1981,15.0,12.87,7.19,6.22,17.043,14.68,8.81,11.75,11.75,11.75,2.556,2.193,1.225,1.06,2.502,1.502,2.003,2.003,2.003
1982,15.0,12.87,7.19,7.79,16.419,14.29,8.57,11.43,11.43,11.43,2.463,2.113,1.181,1.279,2.346,1.407,1.877,1.877,1.877
1983,15.0,12.87,7.19,7.79,15.764,14.29,8.57,11.43,11.43,11.43,2.365,2.029,1.133,1.228,2.253,1.351,1.802,1.802,1.802
1984,15.0,12.87,7.19,9.72,16.005,13.81,8.28,11.05,11.05,11.05,2.401,2.06,1.151,1.556,2.21,1.325,1.768,1.768,1.768
1985,15.0,12.87,7.19,10.15,17.123,13.7,8.22,10.96,10.96,10.96,2.568,2.204,1.231,1.738,2.346,1.408,1.877,1.877,1.877
1986,15.0,12.87,7.19,15.53,15.749,12.35,7.41,9.88,9.88,9.88,2.362,2.027,1.132,2.446,1.945,1.167,1.556,1.556,1.556
1987,15.0,12.87,7.19,17.72,19.174,11.81,7.08,9.45,9.45,9.45,2.876,2.468,1.379,3.398,2.264,1.358,1.812,1.812,1.812
1988,15.0,12.87,7.19,18.05,19.98,11.72,7.03,9.38,9.38,9.38,2.997,2.571,1.437,3.606,2.342,1.405,1.874,1.874,1.874
1989,15.0,12.87,7.19,18.14,24.442,11.7,7.02,9.36,9.36,9.36,3.666,3.146,1.757,4.434,2.86,1.716,2.288,2.288,2.288
1990,15.0,12.87,7.19,20.77,35.086,11.04,6.63,8.84,8.84,8.84,5.263,4.516,2.523,7.287,3.873,2.326,3.102,3.102,3.102
1991,15.0,12.87,7.19,15.35,44.229,12.4,7.44,9.92,9.92,9.92,6.634,5.692,3.18,6.789,5.484,3.291,4.388,4.388,4.388
1992,15.0,12.87,7.19,13.09,45.706,12.96,7.78,10.37,10.37,10.37,6.856,5.882,3.286,5.983,5.924,3.556,4.74,4.74,4.74
1993,15.0,12.87,7.19,15.19,63.002,12.44,7.46,9.95,9.95,9.95,9.45,8.108,4.53,9.57,7.837,4.7,6.269,6.269,6.269
1994,15.0,12.87,7.19,20.91,43.635,11.01,6.61,8.81,8.81,8.81,6.545,5.616,3.137,9.124,4.804,2.884,3.844,3.844,3.844
1995,15.0,12.87,7.19,12.99,54.024,12.99,7.79,10.39,10.39,10.39,8.104,6.953,3.884,7.018,7.018,4.208,5.613,5.613,5.613
1996,15.0,12.87,7.19,13.34,69.552,12.9,7.74,10.32,10.32,10.32,10.433,8.951,5.001,9.278,8.972,5.383,7.178,7.178,7.178
1997,15.0,12.87,7.19,28.67,79.709,9.07,5.44,7.26,7.26,7.26,11.956,10.259,5.731,22.853,7.23,4.336,5.787,5.787,5.787
1998,15.0,12.87,7.19,39.29,91.797,6.41,3.85,5.13,5.13,5.13,13.77,11.814,6.6,36.067,5.884,3.534,4.709,4.709,4.709
1999,15.0,12.87,7.19,17.16,117.812,11.95,7.17,9.56,9.56,9.56,17.672,15.162,8.471,20.217,14.079,8.447,11.263,11.263,11.263
2000,15.0,12.87,7.19,17.16,126.108,11.95,7.17,9.56,9.56,9.56,18.916,16.23,9.067,21.64,15.07,9.042,12.056,12.056,12.056
2001,15.0,12.87,7.46,17.16,92.806,11.88,7.13,9.5,9.5,9.5,13.921,11.944,6.923,15.926,11.025,6.617,8.817,8.817,8.817
2002,15.0,12.87,8.64,17.16,110.516,11.58,6.95,9.27,9.27,9.27,16.577,14.223,9.549,18.964,12.798,7.681,10.245,10.245,10.245
2003,15.0,12.87,9.29,17.16,144.763,11.42,6.85,9.14,9.14,9.14,21.715,18.631,13.449,24.841,16.532,9.916,13.231,13.231,13.231
2004,15.0,12.87,10.19,17.16,188.26,11.2,6.72,8.96,8.96,8.96,28.239,24.229,19.184,32.305,21.085,12.651,16.868,16.868,16.868
2005,15.0,12.87,10.32,17.16,233.313,11.16,6.7,8.93,8.93,8.93,34.997,30.027,24.078,40.037,26.038,15.632,20.835,20.835,20.835
2006,15.0,12.87,10.56,17.16,256.884,11.1,6.66,8.88,8.88,8.88,38.533,33.061,27.127,44.081,28.514,17.108,22.811,22.811,22.811
2007,15.0,12.87,10.95,17.16,314.516,11.01,6.6,8.8,8.8,8.8,47.177,40.478,34.439,53.971,34.628,20.758,27.677,27.677,27.677
2008,15.0,12.87,11.26,17.16,355.911,10.93,6.56,8.74,8.74,8.74,53.387,45.806,40.076,61.074,38.901,23.348,31.107,31.107,31.107
2009,15.0,12.87,11.88,12.43,351.621,11.96,7.17,9.56,9.56,9.56,52.743,45.254,41.773,43.707,42.054,25.211,33.615,33.615,33.615
2010,15.0,12.87,11.04,10.27,388.924,12.71,7.62,10.17,10.17,10.17,58.339,50.055,42.937,39.943,49.432,29.636,39.554,39.554,39.554
2011,15.0,12.87,11.22,9.39,387.462,12.88,7.73,10.31,10.31,10.31,58.119,49.866,43.473,36.383,49.905,29.951,39.947,39.947,39.947
2012,15.0,12.85,10.31,8.77,396.588,13.27,7.96,10.61,10.61,10.61,59.488,50.962,40.888,34.781,52.627,31.568,42.078,42.078,42.078
2013,15.0,12.89,10.16,7.46,424.684,13.62,8.17,10.9,10.9,10.9,63.703,54.742,43.148,31.681,57.842,34.697,46.291,46.291,46.291
2014,15.0,13.53,10.29,7.05,419.983,13.53,8.12,10.83,10.83,10.83,62.997,56.824,43.216,29.609,56.824,34.103,45.484,45.484,45.484
2015,15.0,13.26,9.91,6.46,380.082,13.84,8.31,11.07,11.07,11.07,57.012,50.399,37.666,24.553,52.603,31.585,42.075,42.075,42.075
2016,15.0,13.69,9.94,5.97,405.796,13.85,8.31,11.08,11.08,11.08,60.869,55.553,40.336,24.226,56.203,33.722,44.962,44.962,44.962
2017,15.0,13.26,9.96,6.15,415.019,13.91,8.35,11.13,11.13,11.13,62.253,55.032,41.336,25.524,57.729,34.654,46.192,46.192,46.192
2018,15.0,12.53,9.3,7.95,397.843,13.81,8.28,11.04,11.04,11.04,59.677,49.85,36.999,31.629,54.942,32.941,43.922,43.922,43.922
2019,15.0,12.52,9.54,6.39,412.166,14.14,8.48,11.31,11.31,11.31,61.825,51.603,39.321,26.337,58.28,34.952,46.616,46.616,46.616
2020,15.0,11.63,10.5,8.47,373.651,13.6,8.16,10.88,10.88,10.88,56.048,43.456,39.233,31.648,50.817,30.49,40.653,40.653,40.653
2021,15.0,11.31,11.49,9.71,386.232,13.12,7.87,10.5,10.5,10.5,57.935,43.683,44.378,37.503,50.674,30.396,40.554,40.554,40.554
2022,15.0,11.33,10.18,14.62,409.796,12.22,7.33,9.77,9.77,9.77,61.469,46.43,41.717,59.912,50.077,30.038,40.037,40.037,40.037
2023,15.0,11.33,9.78,11.04,573.901,13.21,7.93,10.57,10.57,10.57,86.085,65.023,56.128,63.359,75.812,45.51,60.661,60.661,60.661
2024,15.0,11.33,9.78,11.04,683.468,13.21,7.93,10.57,10.57,10.57,102.52,77.437,66.843,75.455,90.286,54.199,72.243,72.243,72.243
2025,15.0,11.33,9.78,11.04,803.237,13.21,7.93,10.57,10.57,10.57,120.486,91.007,78.557,88.677,106.108,63.697,84.902,84.902,84.902
2026,15.0,11.33,9.78,11.04,831.35,13.21,7.93,10.57,10.57,10.57,124.702,94.192,81.306,91.781,109.821,65.926,87.874,87.874,87.874
