Year,Defense_Percentage,Education_Percentage,Health_Percentage,Interest_Payments_Percentage,Total_Budget_Billions_USD,Infrastructure_Percentage,Agriculture_Percentage,State_Transfers_Percentage,Social_Welfare_Percentage,Administration_and_Others_Percentage,Defense_Amount_Billions_USD,Education_Amount_Billions_USD,Health_Amount_Billions_USD,Interest_Payments_Amount_Billions_USD,Infrastructure_Amount_Billions_USD,Agriculture_Amount_Billions_USD,State_Transfers_Amount_Billions_USD,Social_Welfare_Amount_Billions_USD,Administration_and_Others_Amount_Billions_USD
1936,11.31,12.67,15.97,8.78,7.648,7.69,5.13,10.26,17.95,10.26,0.865,0.969,1.221,0.671,0.588,0.392,0.785,1.373,0.785
1937,11.31,12.67,15.97,8.78,8.03,7.69,5.13,10.26,17.95,10.26,0.908,1.017,1.282,0.705,0.618,0.412,0.824,1.441,0.824
1938,11.31,12.67,15.97,8.78,8.432,7.69,5.13,10.26,17.95,10.26,0.954,1.068,1.347,0.74,0.648,0.433,0.865,1.514,0.865
1939,11.31,12.67,15.97,8.78,8.853,7.69,5.13,10.26,17.95,10.26,1.001,1.122,1.414,0.777,0.681,0.454,0.908,1.589,0.908
1940,11.31,12.67,15.97,8.78,9.296,7.69,5.13,10.26,17.95,10.26,1.051,1.178,1.485,0.816,0.715,0.477,0.954,1.669,0.954
1941,11.31,12.67,15.97,8.78,9.761,7.69,5.13,10.26,17.95,10.26,1.104,1.237,1.559,0.857,0.751,0.501,1.001,1.752,1.001
1942,11.31,12.67,15.97,8.78,10.249,7.69,5.13,10.26,17.95,10.26,1.159,1.299,1.637,0.9,0.788,0.526,1.052,1.84,1.052
1943,11.31,12.67,15.97,8.78,10.761,7.69,5.13,10.26,17.95,10.26,1.217,1.363,1.719,0.945,0.828,0.552,1.104,1.932,1.104
1944,11.31,12.67,15.97,8.78,11.299,7.69,5.13,10.26,17.95,10.26,1.278,1.432,1.805,0.992,0.869,0.58,1.159,2.028,1.159
1945,11.31,12.67,15.97,8.78,11.864,7.69,5.13,10.26,17.95,10.26,1.342,1.503,1.895,1.042,0.912,0.609,1.217,2.13,1.217
1946,11.31,12.67,15.97,8.78,12.458,7.69,5.13,10.26,17.95,10.26,1.409,1.578,1.989,1.094,0.958,0.639,1.278,2.236,1.278
1947,11.31,12.67,15.97,8.78,13.081,7.69,5.13,10.26,17.95,10.26,1.479,1.657,2.089,1.148,1.006,0.671,1.342,2.348,1.342
1948,11.31,12.67,15.97,8.78,13.735,7.69,5.13,10.26,17.95,10.26,1.553,1.74,2.193,1.206,1.056,0.705,1.409,2.465,1.409
1949,11.31,12.67,15.97,8.78,14.421,7.69,5.13,10.26,17.95,10.26,1.631,1.827,2.303,1.266,1.109,0.74,1.48,2.589,1.48
1950,11.31,12.67,15.97,8.78,15.142,7.69,5.13,10.26,17.95,10.26,1.713,1.919,2.418,1.329,1.164,0.777,1.554,2.718,1.554
1951,11.31,12.67,15.97,8.78,15.899,7.69,5.13,10.26,17.95,10.26,1.798,2.014,2.539,1.396,1.223,0.816,1.631,2.854,1.631
1952,11.31,12.67,15.97,8.78,16.694,7.69,5.13,10.26,17.95,10.26,1.888,2.115,2.666,1.466,1.284,0.856,1.713,2.997,1.713
1953,11.31,12.67,15.97,8.78,17.529,7.69,5.13,10.26,17.95,10.26,1.983,2.221,2.799,1.539,1.348,0.899,1.798,3.146,1.798
1954,11.31,12.67,15.97,8.78,18.406,7.69,5.13,10.26,17.95,10.26,2.082,2.332,2.939,1.616,1.415,0.944,1.888,3.304,1.888
1955,11.31,12.67,15.97,8.78,19.326,7.69,5.13,10.26,17.95,10.26,2.186,2.449,3.086,1.697,1.486,0.991,1.983,3.469,1.983
1956,11.31,12.67,15.97,8.78,20.292,7.69,5.13,10.26,17.95,10.26,2.295,2.571,3.241,1.782,1.56,1.041,2.082,3.642,2.082
1957,11.31,12.67,15.97,8.78,21.307,7.69,5.13,10.26,17.95,10.26,2.41,2.7,3.403,1.871,1.638,1.093,2.186,3.825,2.186
1958,11.31,12.67,15.97,8.78,22.372,7.69,5.13,10.26,17.95,10.26,2.53,2.835,3.573,1.964,1.72,1.148,2.295,4.016,2.295
1959,11.31,12.67,15.97,8.78,23.491,7.69,5.13,10.26,17.95,10.26,2.657,2.976,3.751,2.062,1.806,1.205,2.41,4.217,2.41
1960,11.31,12.67,15.97,8.78,24.665,7.69,5.13,10.26,17.95,10.26,2.79,3.125,3.939,2.166,1.897,1.265,2.531,4.427,2.531
1961,11.31,12.67,15.97,8.78,26.184,7.69,5.13,10.26,17.95,10.26,2.961,3.317,4.182,2.299,2.014,1.343,2.686,4.7,2.686
1962,11.31,12.67,15.97,8.78,27.364,7.69,5.13,10.26,17.95,10.26,3.095,3.467,4.37,2.403,2.104,1.404,2.808,4.912,2.808
1963,11.31,12.67,15.97,8.78,29.154,7.69,5.13,10.26,17.95,10.26,3.297,3.694,4.656,2.56,2.242,1.496,2.991,5.233,2.991
1964,11.31,12.67,15.97,8.78,31.797,7.69,5.13,10.26,17.95,10.26,3.596,4.029,5.078,2.792,2.445,1.631,3.262,5.707,3.262
1965,11.31,12.67,15.97,8.78,34.295,7.69,5.13,10.26,17.95,10.26,3.879,4.345,5.477,3.011,2.637,1.759,3.519,6.156,3.519
1966,11.31,12.67,15.97,8.78,36.567,7.69,5.13,10.26,17.95,10.26,4.136,4.633,5.84,3.211,2.812,1.876,3.752,6.564,3.752
1967,11.31,12.67,15.97,8.78,38.098,7.69,5.13,10.26,17.95,10.26,4.309,4.827,6.084,3.345,2.93,1.954,3.909,6.839,3.909
1968,11.31,12.67,15.97,8.78,36.294,7.69,5.13,10.26,17.95,10.26,4.105,4.598,5.796,3.187,2.791,1.862,3.724,6.515,3.724
1969,11.31,12.67,15.97,8.78,39.226,7.69,5.13,10.26,17.95,10.26,4.436,4.97,6.264,3.444,3.016,2.012,4.025,7.041,4.025
1970,11.31,12.67,15.97,8.78,44.011,7.69,5.13,10.26,17.95,10.26,4.978,5.576,7.028,3.864,3.384,2.258,4.515,7.9,4.515
1971,11.31,12.67,15.97,8.78,49.885,7.69,5.13,10.26,17.95,10.26,5.642,6.32,7.967,4.38,3.836,2.559,5.118,8.954,5.118
1972,11.31,12.67,15.97,8.78,57.245,7.69,5.13,10.26,17.95,10.26,6.474,7.253,9.142,5.026,4.402,2.937,5.873,10.275,5.873
1973,11.31,12.67,15.97,9.41,63.367,7.6,5.06,10.13,17.72,10.13,7.167,8.029,10.12,5.963,4.816,3.206,6.419,11.229,6.419
1974,11.31,12.67,15.97,8.95,78.228,7.67,5.11,10.22,17.89,10.22,8.848,9.911,12.493,7.001,6.0,3.997,7.995,13.995,7.995
1975,11.31,12.67,15.97,8.72,100.674,7.7,5.13,10.27,17.97,10.27,11.386,12.755,16.078,8.779,7.752,5.165,10.339,18.091,10.339
1976,11.31,12.67,15.97,9.07,96.75,7.65,5.1,10.2,17.84,10.2,10.942,12.258,15.451,8.775,7.401,4.934,9.869,17.26,9.869
1977,11.31,12.67,15.97,9.24,103.661,7.62,5.08,10.16,17.78,10.16,11.724,13.134,16.555,9.578,7.899,5.266,10.532,18.431,10.532
1978,11.31,12.67,15.97,9.91,132.205,7.52,5.01,10.03,17.55,10.03,14.952,16.75,21.113,13.101,9.942,6.623,13.26,23.202,13.26
1979,11.31,12.67,15.97,10.77,170.239,7.39,4.93,9.86,17.25,9.86,19.254,21.569,27.187,18.335,12.581,8.393,16.786,29.366,16.786
1980,11.31,12.67,15.97,10.89,229.269,7.37,4.92,9.83,17.21,9.83,25.93,29.048,36.614,24.967,16.897,11.28,22.537,39.457,22.537
1981,11.31,12.67,15.97,10.52,231.333,7.43,4.95,9.91,17.34,9.91,26.164,29.31,36.944,24.336,17.188,11.451,22.925,40.113,22.925
1982,11.31,11.62,15.97,9.89,221.432,7.68,5.12,10.24,17.92,10.24,25.044,25.73,35.363,21.9,17.006,11.337,22.675,39.681,22.675
1983,11.31,11.43,15.97,10.03,206.084,7.69,5.13,10.25,17.94,10.25,23.308,23.555,32.912,20.67,15.848,10.572,21.124,36.972,21.124
1984,11.31,11.23,15.97,10.4,193.917,7.66,5.11,10.22,17.88,10.22,21.932,21.777,30.969,20.167,14.854,9.909,19.818,34.672,19.818
1985,11.31,10.47,15.97,10.63,200.646,7.74,5.16,10.32,18.07,10.32,22.693,21.008,32.043,21.329,15.53,10.353,20.707,36.257,20.707
