Year,Defense_Percentage,Education_Percentage,Health_Percentage,Interest_Payments_Percentage,Total_Budget_Billions_USD,Infrastructure_Percentage,Agriculture_Percentage,State_Transfers_Percentage,Social_Welfare_Percentage,Administration_and_Others_Percentage,Defense_Amount_Billions_USD,Education_Amount_Billions_USD,Health_Amount_Billions_USD,Interest_Payments_Amount_Billions_USD,Infrastructure_Amount_Billions_USD,Agriculture_Amount_Billions_USD,State_Transfers_Amount_Billions_USD,Social_Welfare_Amount_Billions_USD,Administration_and_Others_Amount_Billions_USD
1936,9.56,13.55,16.16,6.51,49.76,8.13,5.42,10.84,18.98,10.84,4.757,6.742,8.041,3.239,4.045,2.697,5.394,9.444,5.394
1937,9.56,13.55,16.16,6.51,52.248,8.13,5.42,10.84,18.98,10.84,4.995,7.08,8.443,3.401,4.248,2.832,5.664,9.917,5.664
1938,9.56,13.55,16.16,6.51,54.86,8.13,5.42,10.84,18.98,10.84,5.245,7.434,8.865,3.571,4.46,2.973,5.947,10.413,5.947
1939,9.56,13.55,16.16,6.51,57.603,8.13,5.42,10.84,18.98,10.84,5.507,7.805,9.309,3.75,4.683,3.122,6.244,10.933,6.244
1940,9.56,13.55,16.16,6.51,60.484,8.13,5.42,10.84,18.98,10.84,5.782,8.196,9.774,3.937,4.917,3.278,6.556,11.48,6.556
1941,9.56,13.55,16.16,6.51,63.508,8.13,5.42,10.84,18.98,10.84,6.071,8.605,10.263,4.134,5.163,3.442,6.884,12.054,6.884
1942,9.56,13.55,16.16,6.51,66.683,8.13,5.42,10.84,18.98,10.84,6.375,9.036,10.776,4.341,5.421,3.614,7.228,12.656,7.228
1943,9.56,13.55,16.16,6.51,70.017,8.13,5.42,10.84,18.98,10.84,6.694,9.487,11.315,4.558,5.692,3.795,7.59,13.289,7.59
1944,9.56,13.55,16.16,6.51,73.518,8.13,5.42,10.84,18.98,10.84,7.028,9.962,11.881,4.786,5.977,3.985,7.969,13.954,7.969
1945,9.56,13.55,16.16,6.51,77.194,8.13,5.42,10.84,18.98,10.84,7.38,10.46,12.475,5.025,6.276,4.184,8.368,14.651,8.368
1946,9.56,13.55,16.16,6.51,81.054,8.13,5.42,10.84,18.98,10.84,7.749,10.983,13.098,5.277,6.59,4.393,8.786,15.384,8.786
1947,9.56,13.55,16.16,6.51,85.107,8.13,5.42,10.84,18.98,10.84,8.136,11.532,13.753,5.54,6.919,4.613,9.226,16.153,9.226
1948,9.56,13.55,16.16,6.51,89.362,8.13,5.42,10.84,18.98,10.84,8.543,12.109,14.441,5.817,7.265,4.843,9.687,16.961,9.687
1949,9.56,13.55,16.16,6.51,93.83,8.13,5.42,10.84,18.98,10.84,8.97,12.714,15.163,6.108,7.628,5.086,10.171,17.809,10.171
1950,9.56,13.55,16.16,6.51,98.521,8.13,5.42,10.84,18.98,10.84,9.419,13.35,15.921,6.414,8.01,5.34,10.68,18.699,10.68
1951,9.56,13.55,16.16,6.51,103.448,8.13,5.42,10.84,18.98,10.84,9.89,14.017,16.717,6.734,8.41,5.607,11.214,19.634,11.214
1952,9.56,13.55,16.16,6.51,108.62,8.13,5.42,10.84,18.98,10.84,10.384,14.718,17.553,7.071,8.831,5.887,11.774,20.616,11.774
1953,9.56,13.55,16.16,6.51,114.051,8.13,5.42,10.84,18.98,10.84,10.903,15.454,18.431,7.425,9.272,6.182,12.363,21.647,12.363
1954,9.56,13.55,16.16,6.51,119.753,8.13,5.42,10.84,18.98,10.84,11.448,16.227,19.352,7.796,9.736,6.491,12.981,22.729,12.981
1955,9.56,13.55,16.16,6.51,125.741,8.13,5.42,10.84,18.98,10.84,12.021,17.038,20.32,8.186,10.223,6.815,13.63,23.866,13.63
1956,9.56,13.55,16.16,6.51,132.028,8.13,5.42,10.84,18.98,10.84,12.622,17.89,21.336,8.595,10.734,7.156,14.312,25.059,14.312
1957,9.56,13.55,16.16,6.51,138.63,8.13,5.42,10.84,18.98,10.84,13.253,18.784,22.403,9.025,11.271,7.514,15.027,26.312,15.027
1958,9.56,13.55,16.16,6.51,145.561,8.13,5.42,10.84,18.98,10.84,13.916,19.724,23.523,9.476,11.834,7.889,15.779,27.627,15.779
1959,9.56,13.55,16.16,6.51,152.839,8.13,5.42,10.84,18.98,10.84,14.611,20.71,24.699,9.95,12.426,8.284,16.568,29.009,16.568
1960,9.56,13.55,16.16,6.51,160.481,8.13,5.42,10.84,18.98,10.84,15.342,21.745,25.934,10.447,13.047,8.698,17.396,30.459,17.396
1961,9.56,13.55,16.16,6.51,166.389,8.13,5.42,10.84,18.98,10.84,15.907,22.546,26.888,10.832,13.527,9.018,18.037,31.581,18.037
1962,9.56,13.55,16.16,6.51,178.736,8.13,5.42,10.84,18.98,10.84,17.087,24.219,28.884,11.636,14.531,9.687,19.375,33.924,19.375
1963,9.56,13.55,16.16,6.51,188.631,8.13,5.42,10.84,18.98,10.84,18.033,25.56,30.483,12.28,15.336,10.224,20.448,35.802,20.448
1964,9.56,13.55,16.16,6.51,202.573,8.13,5.42,10.84,18.98,10.84,19.366,27.449,32.736,13.188,16.469,10.979,21.959,38.448,21.959
1965,9.56,13.55,16.16,6.51,219.676,8.13,5.42,10.84,18.98,10.84,21.001,29.766,35.5,14.301,17.86,11.906,23.813,41.694,23.813
1966,9.56,13.55,16.16,6.51,240.736,8.13,5.42,10.84,18.98,10.84,23.014,32.62,38.903,15.672,19.572,13.048,26.096,45.692,26.096
1967,9.56,13.55,16.16,6.51,254.531,8.13,5.42,10.84,18.98,10.84,24.333,34.489,41.132,16.57,20.693,13.796,27.591,48.31,27.591
1968,9.56,13.55,16.16,6.51,278.398,8.13,5.42,10.84,18.98,10.84,26.615,37.723,44.989,18.124,22.634,15.089,30.178,52.84,30.178
1969,9.56,13.55,16.16,6.51,301.26,8.13,5.42,10.84,18.98,10.84,28.8,40.821,48.684,19.612,24.492,16.328,32.657,57.179,32.657
1970,9.56,13.55,16.16,6.51,317.802,8.13,5.42,10.84,18.98,10.84,30.382,43.062,51.357,20.689,25.837,17.225,34.45,60.319,34.45
1971,9.56,13.55,16.16,6.51,344.908,8.13,5.42,10.84,18.98,10.84,32.973,46.735,55.737,22.454,28.041,18.694,37.388,65.464,37.388
1972,9.56,13.55,16.16,6.51,378.74,8.13,5.42,10.84,18.98,10.84,36.208,51.319,61.204,24.656,30.792,20.528,41.055,71.885,41.055
1973,9.56,13.55,16.16,6.15,424.374,8.19,5.46,10.92,19.11,10.92,40.57,57.503,68.579,26.099,34.756,23.171,46.342,81.098,46.342
1974,9.56,13.55,16.16,8.32,459.709,7.86,5.24,10.48,18.34,10.48,43.948,62.291,74.289,38.248,36.133,24.089,48.177,84.311,48.177
1975,9.56,13.55,16.16,7.48,545.768,7.99,5.32,10.65,18.64,10.65,52.175,73.952,88.196,40.823,43.607,29.035,58.124,101.731,58.124
1976,9.56,13.55,16.16,7.76,614.992,7.95,5.3,10.59,18.54,10.59,58.793,83.331,99.383,47.723,48.892,32.595,65.128,114.019,65.128
1977,9.56,13.55,16.16,8.19,678.925,7.88,5.25,10.51,18.39,10.51,64.905,91.994,109.714,55.604,53.499,35.644,71.355,124.854,71.355
1978,9.56,13.55,16.16,7.62,748.148,7.97,5.31,10.62,18.59,10.62,71.523,101.374,120.901,57.009,59.627,39.727,79.453,139.081,79.453
1979,9.56,13.55,16.16,9.47,827.02,7.69,5.13,10.25,17.94,10.25,79.063,112.061,133.646,78.319,63.598,42.426,84.77,148.367,84.77
1980,9.56,13.55,16.16,10.45,976.563,7.54,5.03,10.06,17.6,10.06,93.359,132.324,157.813,102.051,73.633,49.121,98.242,171.875,98.242
1981,9.56,13.55,16.16,11.65,1120.666,7.36,4.91,9.82,17.18,9.82,107.136,151.85,181.1,130.558,82.481,55.025,110.049,192.53,110.049
1982,9.56,13.55,16.16,12.9,1249.58,7.18,4.78,9.57,16.74,9.57,119.46,169.318,201.932,161.196,89.72,59.73,119.585,209.18,119.585
1983,9.56,13.55,16.16,12.91,1378.578,7.17,4.78,9.56,16.74,9.56,131.792,186.797,222.778,177.974,98.844,65.896,131.792,230.774,131.792
1984,9.56,13.55,16.16,14.26,1442.178,6.97,4.65,9.3,16.27,9.3,137.872,195.415,233.056,205.655,100.52,67.061,134.123,234.642,134.123
1985,9.56,13.55,16.16,15.82,1600.671,6.74,4.49,8.98,15.72,8.98,153.024,216.891,258.669,253.226,107.885,71.87,143.74,251.626,143.74
1986,9.56,13.55,16.16,15.2,1693.701,6.83,4.55,9.11,15.94,9.11,161.918,229.497,273.702,257.443,115.68,77.063,154.296,269.976,154.296
1987,9.56,13.55,16.16,15.06,1726.458,6.85,4.57,9.14,15.99,9.14,165.049,233.935,278.996,260.005,118.262,78.899,157.798,276.061,157.798
1988,9.56,13.55,16.16,15.28,1832.048,6.82,4.55,9.09,15.91,9.09,175.144,248.243,296.059,279.937,124.946,83.358,166.533,291.479,166.533
1989,9.56,13.55,16.16,15.36,1958.101,6.81,4.54,9.07,15.88,9.07,187.194,265.323,316.429,300.764,133.347,88.898,177.6,310.946,177.6
1990,9.56,13.55,16.16,15.27,2138.737,6.82,4.55,9.09,15.91,9.09,204.463,289.799,345.62,326.585,145.862,97.313,194.411,340.273,194.411
1991,9.56,13.55,16.16,15.54,2344.461,6.78,4.52,9.04,15.82,9.04,224.13,317.674,378.865,364.329,158.954,105.97,211.939,370.894,211.939
1992,9.56,13.55,16.16,15.22,2366.72,6.83,4.55,9.1,15.93,9.1,226.258,320.691,382.462,360.215,161.647,107.686,215.372,377.018,215.372
1993,9.56,13.55,16.16,14.36,2443.746,6.96,4.64,9.27,16.23,9.27,233.622,331.128,394.909,350.922,170.085,113.39,226.535,396.62,226.535
1994,9.56,13.55,16.16,14.19,2513.318,6.98,4.65,9.31,16.29,9.31,240.273,340.555,406.152,356.64,175.43,116.869,233.99,409.42,233.99
1995,9.56,13.55,16.16,14.93,2609.675,6.87,4.58,9.16,16.03,9.16,249.485,353.611,421.724,389.625,179.285,119.523,239.046,418.331,239.046
1996,9.56,13.55,16.16,15.62,2686.851,6.77,4.51,9.02,15.79,9.02,256.863,364.068,434.195,419.686,181.9,121.177,242.354,424.254,242.354
1997,9.56,13.55,16.16,15.3,2766.871,6.82,4.54,9.09,15.9,9.09,264.513,374.911,447.126,423.331,188.701,125.616,251.509,439.933,251.509
1998,9.56,13.55,16.16,14.92,2822.636,6.87,4.58,9.16,16.03,9.16,269.844,382.467,456.138,421.137,193.915,129.277,258.553,452.469,258.553
1999,9.56,13.55,16.16,13.82,2900.809,7.04,4.69,9.38,16.42,9.38,277.317,393.06,468.771,400.892,204.217,136.048,272.096,476.313,272.096
2000,9.56,13.55,16.16,12.86,3057.14,7.18,4.79,9.57,16.75,9.57,292.263,414.242,494.034,393.148,219.503,146.437,292.568,512.071,292.568
2001,9.56,13.55,16.76,12.53,3434.565,7.14,4.76,9.52,16.66,9.52,328.344,465.384,575.633,430.351,245.228,163.485,326.971,572.199,326.971
2002,10.28,13.55,17.22,10.37,3651.659,7.29,4.86,9.72,17.0,9.72,375.391,494.8,628.816,378.677,266.206,177.471,354.941,620.782,354.941
2003,11.3,13.55,17.51,8.98,3937.751,7.3,4.87,9.73,17.03,9.73,444.966,533.565,689.5,353.61,287.456,191.768,383.143,670.599,383.143
2004,11.97,13.55,17.93,8.84,4156.125,7.16,4.77,9.54,16.7,9.54,497.488,563.155,745.193,367.401,297.579,198.247,396.494,694.073,396.494
2005,12.05,13.55,17.94,9.52,4500.092,7.04,4.69,9.39,16.43,9.39,542.261,609.763,807.317,428.409,316.806,211.054,422.559,739.365,422.559
2006,12.0,13.55,18.57,9.86,4733.571,6.9,4.6,9.2,16.11,9.2,568.029,641.399,879.024,466.73,326.616,217.744,435.489,762.578,435.489
2007,11.79,13.55,18.5,10.39,5024.135,6.87,4.58,9.16,16.02,9.16,592.346,680.77,929.465,522.008,345.158,230.105,460.211,804.866,460.211
2008,11.97,13.55,18.2,8.71,5599.256,7.14,4.76,9.51,16.65,9.51,670.231,758.699,1019.065,487.695,399.787,266.525,532.489,932.276,532.489
2009,11.78,13.55,18.23,6.84,6160.371,7.44,4.96,9.92,17.36,9.92,725.692,834.73,1123.036,421.369,458.332,305.554,611.109,1069.44,611.109
2010,12.33,13.55,18.43,7.16,6522.979,7.28,4.85,9.71,16.98,9.71,804.283,883.864,1202.185,467.045,474.873,316.365,633.381,1107.602,633.381
2011,12.43,13.55,18.93,8.21,6577.734,7.03,4.69,9.38,16.41,9.38,817.612,891.283,1245.165,540.032,462.415,308.496,616.991,1079.406,616.991
2012,11.99,13.55,19.64,8.17,6465.893,7.0,4.67,9.33,16.33,9.33,775.261,876.129,1269.901,528.263,452.613,301.957,603.268,1055.88,603.268
2013,11.24,13.55,20.36,7.64,6425.823,7.08,4.72,9.44,16.52,9.44,722.262,870.699,1308.297,490.933,454.948,303.299,606.598,1061.546,606.598
