Year,Defense_Percentage,Education_Percentage,Health_Percentage,Interest_Payments_Percentage,Total_Budget_Billions_USD,Infrastructure_Percentage,Agriculture_Percentage,State_Transfers_Percentage,Social_Welfare_Percentage,Administration_and_Others_Percentage,Defense_Amount_Billions_USD,Education_Amount_Billions_USD,Health_Amount_Billions_USD,Interest_Payments_Amount_Billions_USD,Infrastructure_Amount_Billions_USD,Agriculture_Amount_Billions_USD,State_Transfers_Amount_Billions_USD,Social_Welfare_Amount_Billions_USD,Administration_and_Others_Amount_Billions_USD
1946,19.16,13.57,7.57,0.0,0.064,14.93,2.99,14.93,11.94,14.93,0.012,0.009,0.005,0.0,0.009,0.002,0.009,0.008,0.009
1947,19.16,13.57,7.57,0.0,0.067,14.93,2.99,14.93,11.94,14.93,0.013,0.009,0.005,0.0,0.01,0.002,0.01,0.008,0.01
1948,19.16,13.57,7.57,0.0,0.07,14.93,2.99,14.93,11.94,14.93,0.013,0.01,0.005,0.0,0.01,0.002,0.01,0.008,0.01
1949,19.16,13.57,7.57,0.0,0.074,14.93,2.99,14.93,11.94,14.93,0.014,0.01,0.006,0.0,0.011,0.002,0.011,0.009,0.011
1950,19.16,13.57,7.57,0.0,0.077,14.93,2.99,14.93,11.94,14.93,0.015,0.01,0.006,0.0,0.012,0.002,0.012,0.009,0.012
1951,19.16,13.57,7.57,0.0,0.081,14.93,2.99,14.93,11.94,14.93,0.016,0.011,0.006,0.0,0.012,0.002,0.012,0.01,0.012
1952,19.16,13.57,7.57,0.0,0.085,14.93,2.99,14.93,11.94,14.93,0.016,0.012,0.006,0.0,0.013,0.003,0.013,0.01,0.013
1953,19.16,13.57,7.57,0.0,0.089,14.93,2.99,14.93,11.94,14.93,0.017,0.012,0.007,0.0,0.013,0.003,0.013,0.011,0.013
1954,19.16,13.57,7.57,0.0,0.094,14.93,2.99,14.93,11.94,14.93,0.018,0.013,0.007,0.0,0.014,0.003,0.014,0.011,0.014
1955,19.16,13.57,7.57,0.0,0.099,14.93,2.99,14.93,11.94,14.93,0.019,0.013,0.007,0.0,0.015,0.003,0.015,0.012,0.015
1956,19.16,13.57,7.57,0.0,0.104,14.93,2.99,14.93,11.94,14.93,0.02,0.014,0.008,0.0,0.015,0.003,0.015,0.012,0.015
