Year,Defense_Percentage,Education_Percentage,Health_Percentage,Interest_Payments_Percentage,Total_Budget_Billions_USD,Infrastructure_Percentage,Agriculture_Percentage,State_Transfers_Percentage,Social_Welfare_Percentage,Administration_and_Others_Percentage,Defense_Amount_Billions_USD,Education_Amount_Billions_USD,Health_Amount_Billions_USD,Interest_Payments_Amount_Billions_USD,Infrastructure_Amount_Billions_USD,Agriculture_Amount_Billions_USD,State_Transfers_Amount_Billions_USD,Social_Welfare_Amount_Billions_USD,Administration_and_Others_Amount_Billions_USD
1946,7.55,18.0,9.48,5.0,0.462,17.99,8.99,8.99,8.99,14.99,0.035,0.083,0.044,0.023,0.083,0.042,0.042,0.042,0.069
1947,7.55,18.0,9.48,5.0,0.486,17.99,8.99,8.99,8.99,14.99,0.037,0.087,0.046,0.024,0.087,0.044,0.044,0.044,0.073
1948,7.55,18.0,9.48,5.0,0.51,17.99,8.99,8.99,8.99,14.99,0.038,0.092,0.048,0.025,0.092,0.046,0.046,0.046,0.076
1949,7.55,18.0,9.48,5.0,0.535,17.99,8.99,8.99,8.99,14.99,0.04,0.096,0.051,0.027,0.096,0.048,0.048,0.048,0.08
1950,7.55,18.0,9.48,5.0,0.562,17.99,8.99,8.99,8.99,14.99,0.042,0.101,0.053,0.028,0.101,0.051,0.051,0.051,0.084
1951,7.55,18.0,9.48,5.0,0.59,17.99,8.99,8.99,8.99,14.99,0.045,0.106,0.056,0.03,0.106,0.053,0.053,0.053,0.088
1952,7.55,18.0,9.48,5.0,0.62,17.99,8.99,8.99,8.99,14.99,0.047,0.112,0.059,0.031,0.111,0.056,0.056,0.056,0.093
1953,7.55,18.0,9.48,5.0,0.651,17.99,8.99,8.99,8.99,14.99,0.049,0.117,0.062,0.033,0.117,0.059,0.059,0.059,0.098
1954,7.55,18.0,9.48,5.0,0.683,17.99,8.99,8.99,8.99,14.99,0.052,0.123,0.065,0.034,0.123,0.061,0.061,0.061,0.102
1955,7.55,18.0,9.48,5.0,0.717,17.99,8.99,8.99,8.99,14.99,0.054,0.129,0.068,0.036,0.129,0.064,0.064,0.064,0.108
1956,7.55,18.0,9.48,5.0,0.753,17.99,8.99,8.99,8.99,14.99,0.057,0.136,0.071,0.038,0.136,0.068,0.068,0.068,0.113
1957,7.55,18.0,9.48,5.0,0.791,17.99,8.99,8.99,8.99,14.99,0.06,0.142,0.075,0.04,0.142,0.071,0.071,0.071,0.119
1958,7.55,18.0,9.48,5.0,0.831,17.99,8.99,8.99,8.99,14.99,0.063,0.149,0.079,0.042,0.149,0.075,0.075,0.075,0.124
1959,7.55,18.0,9.48,5.0,0.872,17.99,8.99,8.99,8.99,14.99,0.066,0.157,0.083,0.044,0.157,0.078,0.078,0.078,0.131
1960,7.55,18.0,9.48,5.0,0.916,17.99,8.99,8.99,8.99,14.99,0.069,0.165,0.087,0.046,0.165,0.082,0.082,0.082,0.137
1961,7.55,18.0,9.48,5.0,0.961,17.99,8.99,8.99,8.99,14.99,0.073,0.173,0.091,0.048,0.173,0.086,0.086,0.086,0.144
1962,7.55,18.0,9.48,5.0,1.01,17.99,8.99,8.99,8.99,14.99,0.076,0.182,0.096,0.05,0.182,0.091,0.091,0.091,0.151
1963,7.55,18.0,9.48,5.0,1.06,17.99,8.99,8.99,8.99,14.99,0.08,0.191,0.1,0.053,0.191,0.095,0.095,0.095,0.159
1964,7.55,18.0,9.48,5.0,1.113,17.99,8.99,8.99,8.99,14.99,0.084,0.2,0.106,0.056,0.2,0.1,0.1,0.1,0.167
1965,7.55,18.0,9.48,5.0,1.169,17.99,8.99,8.99,8.99,14.99,0.088,0.21,0.111,0.058,0.21,0.105,0.105,0.105,0.175
1966,7.55,18.0,9.48,5.0,1.227,17.99,8.99,8.99,8.99,14.99,0.093,0.221,0.116,0.061,0.221,0.11,0.11,0.11,0.184
1967,7.55,18.0,9.48,5.0,1.288,17.99,8.99,8.99,8.99,14.99,0.097,0.232,0.122,0.064,0.232,0.116,0.116,0.116,0.193
1968,7.55,18.0,9.48,5.0,1.353,17.99,8.99,8.99,8.99,14.99,0.102,0.244,0.128,0.068,0.243,0.122,0.122,0.122,0.203
1969,7.55,18.0,9.48,5.0,1.421,17.99,8.99,8.99,8.99,14.99,0.107,0.256,0.135,0.071,0.256,0.128,0.128,0.128,0.213
1970,7.55,18.0,9.48,5.0,1.492,17.99,8.99,8.99,8.99,14.99,0.113,0.268,0.141,0.075,0.268,0.134,0.134,0.134,0.224
1971,7.55,18.0,9.48,5.0,1.566,17.99,8.99,8.99,8.99,14.99,0.118,0.282,0.148,0.078,0.282,0.141,0.141,0.141,0.235
1972,7.55,18.0,9.48,5.0,1.644,17.99,8.99,8.99,8.99,14.99,0.124,0.296,0.156,0.082,0.296,0.148,0.148,0.148,0.247
1973,7.55,18.0,9.48,5.0,1.727,17.99,8.99,8.99,8.99,14.99,0.13,0.311,0.164,0.086,0.311,0.155,0.155,0.155,0.259
1974,7.55,18.0,9.48,5.0,1.813,17.99,8.99,8.99,8.99,14.99,0.137,0.326,0.172,0.091,0.326,0.163,0.163,0.163,0.272
1975,7.55,18.0,9.48,5.0,1.904,17.99,8.99,8.99,8.99,14.99,0.144,0.343,0.18,0.095,0.342,0.171,0.171,0.171,0.285
